NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",10,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C.M.F.","1","",11,,,,
"Delano Medeiros Beder","BEDER, D. M.","2","",11,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",11,,,,
"Edson Toshimi Midorikawa","MIDORIKAWA, E. T.","1","",12,,,,
"Liria Matsumoto Sato","SATO, L. M.","3","",12,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",12,,,,
"Ricardo da Silva Torres","TORRES, R. da S.","1","",13,,,,
"João Paulo Papa","PAPA, J. P.","2","",13,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",13,,,,
"Maria Beatriz Felgar de Toledo","TOLEDO, M. B. F. de","1","",14,,,,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","2","",14,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",14,,,,
"Maria Beatriz Felgar de Toledo","TOLEDO, M. B. F. de","1","",15,,,,
"João Porto de Albuquerque","ALBUQUERQUE, J. P. de","2","",15,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",15,,,,
"Ricardo da Silva Torres","TORRES, R. da S.","1","",16,,,,
"Marcos André Gonçalves","GONÇALVES, M. A.","2","",16,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",16,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",17,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",17,,,,
"Jó Ueyama","UEYAMA, J.","2","",17,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","1","",18,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","3","",18,,,,
"Alfredo Goldman vel Lejbman","LEJBMAN, A. G. V.","2","",18,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",19,,,,
"Leandro Aparecido Villas","VILLAS, L. A.","1","",19,,,,
"Daniel Ludovico Guidoni","GUIDONI, D. L.","2","",19,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",20,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",20,,,,
"Alcides Calsavara","CALSAVARA, A.","2","",20,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",21,,,,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","2","",21,,,,
"Edson Borin","BORIN, E.","1","",21,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",22,,,,
"Paulo Lício de Geus","GEUS, P. L. de","1","",22,,,,
"Luis Carlos Erpen de Bona","BONA, L. C. E.","2","",22,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",23,,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",23,,,,
"Carlos Becker Westphall","WESTPHALL, C. B.","2","",23,,,,
"Islene Calciolari Garcia","GARCIA, I. C.","2","",24,,,,
"Gustavo Maciel Dias Vieira","VIEIRA, G. M. D.","1","",24,,,,
"Fabio Luciano Verdi","VERDI, F. L.","3","",24,,,,
"Islene Calciolari Garcia","GARCIA, I.C.","1","",25,,,,
"Gustavo Maciel Dias Vieira","VIEIRA, G. M. D.","2","",25,,,,
"Luiz Fernando Bittencourt","BITTENCOURT, L. F.","3","",25,,,,
"Islene Calciolari Garcia","GARCIA, ISLENE CALCIOLARI","3","",26,,,,
"VIEIRA, GUSTAVO M. D.","VIEIRA, GUSTAVO M. D.","1","",26,,,,
"Irineu Sotoma","SOTOMA, I.","2","",26,,,,
"Luiz Augusto de Paula Lima Júnior","LIMA JUNIOR, L. A. de P.","1","",27,,,,
"Alcides Calsavara","CALSAVARA, A.","3","",27,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",27,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","3","1870389730408675",,0,,,
"Edson Toshimi Midorikawa","MIDORIKAWA, E. T.","2","",,0,,,
"Fernando José von Zuben","ZUBEN, F. J. V.","5","",,0,,,
"Ivan Luiz Marques Ricarte","RICARTE, I. L. M.","6","",,0,,,
"Marco Aurélio Amaral Henriques","HENRIQUES, M. A. A.","1","",,0,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","4","6947551604323520",,0,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","4","1870389730408675",,1,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",,1,,,
"Edmundo de Souza e Silva","SILVA, E. S. E.","2","",,1,,,
"José Ferreira de Rezende","REZENDE, J. F.","3","",,1,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,1,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","4","",,2,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,2,,,
"Joni da Silva Fraga","FRAGA, J. S.","2","",,2,,,
"Elias Procópio Duarte Júnior","DUARTE JUNIOR, E. P.","3","",,2,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,2,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","4","1870389730408675",,3,,,
"Itana Maria de Souza Gimenes","GIMENES, I. M. de S.","1","",,3,,,
"Marcos Roberto da Silva Borges","BORGES, M. R. da S.","2","",,3,,,
"Regina Maria Maciel Braga","BRAGA, R. M. M.","3","",,3,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,3,,,
"Claudia Bauzer Medeiros","MEDEIROS, C. B.","4","",,4,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,4,,,
"Fábio Kon","KON, F.","2","",,4,,,
"Thaís Vasconcelos Batista","BATISTA, T. V.","3","",,4,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,4,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,5,,,
"Francisco Vilar Brasileiro","BRASILEIRO, F. V.","2","",,5,,,
"Ingrid Eleonora Schreiber Jansch Porto","PORTO, I. E. S. J.","3","",,5,,,
"Ricardo de Oliveira Anido","ANIDO, R. de O.","4","",,5,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,5,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","4","1870389730408675",,6,,,
"Itana Maria de Souza Gimenes","GIMENES, I. M. de S.","3","",,6,,,
"Maria Beatriz Felgar de Toledo","TOLEDO, M. B. F. de","1","",,6,,,
"Markus Endler","ENDLER, M.","2","",,6,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,6,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",,7,,,
"Artur Ziviani","ZIVIANI, A.","2","",,7,,,
"Flávio Keidi Miyazawa","MIYAZAWA, F.K.","3","",,7,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","4","6947551604323520",,7,,,
"Ricardo da Silva Torres","TORRES, R. da S.","1","",,8,,,
"André Santanché","SANTANCHÉ, A.","4","",,8,,,
"Marcos André Gonçalves","GONÇALVES, M. A.","2","",,8,,,
"Carmem Satie Hara","HARA, C. S.","3","",,8,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,8,,,
"Pedro Peixoto Ferreira","FERREIRA, P. P.","1","",,9,,,
"Sérgio Amadeu da Silveira","SILVEIRA, S. A.","2","",,9,,,
"Henrique Zoqui Martins Parra","PARRA, H. Z. M.","3","",,9,,,
"Rafael de Almeida Evangelista","EVANGELISTA, R. A.","5","",,9,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","4","6947551604323520",,9,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,10,,,
"Célio Vinícius Neves de Albuquerque","ALBUQUERQUE, C. V. N.","2","",,10,,,
"Lisandro Zambenedetti Granville","GRANVILLE, L. Z.","3","",,10,,,
"Juliana Freitag Borin","BORIN, J. F.","5","",,10,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","4","6947551604323520",,10,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,11,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","4","",,11,,,
"José Ferreira de Rezende","REZENDE, J. F.","3","",,11,,,
"Michele Nogueira Lima","LIMA, M. N.","2","",,11,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","5","6947551604323520",,11,,,
"Islene Calciolari Garcia","GARCIA, I. C.","4","",,12,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,12,,,
"Regina Borges Araujo","ARAUJO, R. B.","3","",,12,,,
"Juliana Freitag Borin","BORIN, J. F.","5","",,12,,,
"Aldri Luiz dos Santos","SANTOS, A. L.","2","",,12,,,
"Islene Calciolari Garcia","GARCIA, I. C.","5","",,13,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,13,,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","4","",,13,,,
"Bruno Richard Schulze","SCHULZE, B. R.","3","",,13,,,
"Thaís Vasconcelos Batista","BATISTA, T. V.","2","",,13,,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,14,,,
"Maria Cecília Calani Baranauskas","BARANAUSKAS, M. C. C.","1","",,14,,,
"Debora Pignatari Drucker","DRUCKER, D. P.","2","",,14,,,
"Islene Calciolari Garcia","GARCIA, I. C.","5","",,15,,,
"Lisandro Zambenedetti Granville","GRANVILLE, L. Z.","2","",,15,,,
"MADEIRA, EDMUNDO R. M.","MADEIRA, EDMUNDO R. M.","1","",,15,,,
"Fabio Luciano Verdi","VERDI, F. L.","3","",,15,,,
"Christian Rodolfo Esteve Rothenberg","ROTHENBERG, C. R. E.","4","",,15,,,
"Islene Calciolari Garcia","GARCIA, I.C.","5","",,16,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",,16,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","4","1870389730408675",,16,,,
"Fernando Pedone","PEDONE, F.","2","",,16,,,
"Fernando Luís Dotti","DOTTI, F. L.","3","",,16,,,
"Fábio Kon","KON, F.","1","",,,0,,
"Siang Wun Song","SONG, S. W.","3","",,,0,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",,,0,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,1,,
"Bruno Richard Schulze","SCHULZE, B. R.","2","",,,1,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,1,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","3","",,,2,,
"Célio Vinícius Neves de Albuquerque","ALBUQUERQUE, C. V. N.","2","",,,2,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",,,2,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",,,3,,
"José Ferreira de Rezende","REZENDE, J. F.","2","",,,3,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,3,,
"André Santanché","SANTANCHÉ, A.","1","",,,4,,
"Cristina Dutra de Aguiar Ciferri","CIFERRI, C. D. de A.","2","",,,4,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,4,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",,,5,,
"Regina Borges Araujo","ARAUJO, R. B.","2","",,,5,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,5,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,6,,
"Eleri Cardozo","CARDOZO, E.","2","",,,6,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,6,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,7,,
"Eleri Cardozo","CARDOZO, E.","2","",,,7,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,7,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,8,,
"Claudia Bauzer Medeiros","MEDEIROS, C. B.","1","",,,8,,
"Eduardo Alves do Valle Junior","VALLE JUNIOR, E. A.","2","",,,8,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,9,,
"Gustavo Maciel Dias Vieira","VIEIRA, G. M. D.","2","",,,9,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,9,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,10,,
"Nelson Luis Saldanha da Fonseca","FONSECA, N. L. S.","1","",,,10,,
"Bruno Richard Schulze","SCHULZE, B. R.","2","",,,10,,
"Islene Calciolari Garcia","GARCIA, I. C.","1","",,,11,,
"Delano Medeiros Beder","BEDER, D. M.","2","",,,11,,
"Juliana Freitag Borin","BORIN, J. F.","3","",,,11,,
"Islene Calciolari Garcia","GARCIA, I. C.","1","",,,12,,
"Juliana Freitag Borin","BORIN, J. F.","2","",,,12,,
"Roberto Sadao Yokoyama","YOKOYAMA, R. S.","3","",,,12,,
"Islene Calciolari Garcia","GARCIA, I. C.","1","",,,13,,
"Rafael Crivellari Saliba Schouery","SCHOUERY, R. C. S.","2","",,,13,,
"Thiago Henrique Silva","SILVA, T. H.","3","",,,13,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,14,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,14,,
"Christian Rodolfo Esteve Rothenberg","ROTHENBERG, C. R. E.","2","",,,14,,
"Islene Calciolari Garcia","GARCIA, I.C.","1","",,,15,,
"Juliana Freitag Borin","BORIN, J. F.","4","",,,15,,
"Daniel Ludovico Guidoni","GUIDONI, D. L.","3","",,,15,,
"Luis Henrique Maciel Kosmalski Costa","COSTA, L. H. M. K.","2","",,,15,,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,16,,
"Edmundo Roberto Mauro Madeira","MADEIRA, E. R. M.","1","1870389730408675",,,16,,
"Alfredo Goldman vel Lejbman","LEJBMAN, A. G. V.","2","",,,16,,
"Tiemi Christine Sakata","SAKATA, T. C.","1","",,,,0,
"Graça Bressan","BRESSAN, G.","2","",,,,0,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,,0,
"Said Sadique Adi","ADI, S. S.","1","",,,,1,
"Sarita Mazinni Bruschi","BRUSCHI, S. M.","3","",,,,1,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",,,,1,
"Rômulo Silva de Oliveira","OLIVEIRA, R. S.","1","",,,,2,
"Fábio Rodrigues de la Rocha","ROCHA, F. R. L.","2","",,,,2,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","3","6947551604323520",,,,2,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,,3,
"Renata Pontin de Mattos Fortes","FORTES, R. P. M.","1","",,,,3,
"Fernando William Cruz","CRUZ, F. W.","2","",,,,3,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",,,,,0
