NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,5,
"Carlos Fernando Fiorini","FIORINI, C. F.","1","",,5,
"Maria Cecília de Araújo Rodrigues Torres","TORRES, M. C. A. R.","3","",,5,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,6,
"Claudiney Rodrigues carrasco","CARRASCO, C. R.","1","",,6,
"Susana Ester Kruger Dissenha","DISSENHA, S. E. K.","2","",,6,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,7,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,7,
"Soely Aparecida Jorge Polydoro","POLYDORO, S. A. J.","3","",,7,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,8,
"Carlos Fernando Fiorini","FIORINI, C. F.","1","",,8,
"Fabio Scarduelli","SCARDUELLI, F.","3","",,8,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,9,
"Mauricy Matos Martin","MARTIN, M. M.","1","",,9,
"Jonatas Manzolli","MANZOLLI, J.","2","",,9,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,10,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,10,
"Maria Lucia Senna Machado Pascoal","PASCOAL, M. L. S. M.","2","",,10,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,11,
"Lucia Helena Reilly","REILLY, L. H.","1","",,11,
"Rita de Cássia Ietto Montilha","MONTILHA, R. C. I.","2","",,11,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,12,
"Aci Taveira Meyer","MEYER, Aci Taveira","2","",,12,
"Maria José Dias Carrasqueira de Moraes","Carrasqueira, Maria josé","1","",,12,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,13,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,13,
"Eduardo Fornari","FORNARI, Eduardo","3","",,13,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,14,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,14,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","2","",,14,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,15,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,16,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,17,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,18,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,19,
"Daniel Marcondes Gohn","GOHN, D. M.","3","",,19,
"José Eduardo Ribeiro de Paiva","PAIVA, José Eduardo R.","1","",,19,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","5","",,20,
"Ilza Zenker Joly","JOLY, I. Z.","2","",,20,
"Claudiney Rodrigues carrasco","CARRASCO, C. R.","1","",,20,
"Danilo Ramos","RAMOS, Danilo","3","",,20,
"Silvia Cordeiro Nassif","NASSIF, Silvia C.","4","",,20,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,21,
"Vilson Zattera","ZATTERA, Vilson","2","",,21,
"Maria Flavia Silveira Barbosa","BARBOSA, Maria Flavia S.","3","",,21,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,22,
"Angelo José Fernandes","FERNANDES, Angelo José","2","",,22,
"Regina Machado","MACHADO, Regina","3","",,22,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,23,
"Ricardo Goldemberg","GOLDEMBERG, R.","3","",,23,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","2","",,23,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,24,
"Antonio Rafael Carvalho dos Santos","SANTOS, R.","2","",,24,
"Maria Flavia Silveira Barbosa","BARBOSA, Maria Flavia S.","3","",,24,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,25,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,25,
"Daniel Marcondes Gohn","GOHN, D. M.","3","",,25,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,26,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","3","",,26,
"Daniel Marcondes Gohn","GOHN, D. M.","2","",,26,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,27,
"Fernando Augusto de Almeida Hashimoto","HASHIMOTO, F. A. A.","1","",,27,
"Paulo Adriano Ronqui","RONQUI, Paulo A.","3","",,27,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,28,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","1","",,28,
"Beatriz Raposo de Medeiros","RAPOSO DE MEDEIROS, B.","3","",,28,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,29,
"Samuel Mendonça","MENDONÇA, Samuel","1","",,29,
"Mônica Piccione Gomes Rios","RIOS, Mônica P. G.","3","",,29,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,30,
"Angelo José Fernandes","FERNANDES, Angelo José","3","",,30,
"Elaine Prodócimo","PRODÓCIMO, Elaine","2","",,30,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","3","",,31,
"Maura Lúcia Fernandes Penna","PENNA, Maura","1","",,31,
"Valéria Lázaro de Carvalho","CARVALHO, Valéria L.","2","",,31,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","4","",,32,
"Ilza Zenker Joly","JOLY, I. Z.","2","",,32,
"Eliana Ayoub","AYOUB, E.","5","",,32,
"Guilherme do Val Toledo Prado","PRADO, G. V. T.","1","",,32,
"Marcia Aparecida Baldin Guimarães","GUIMARÃES, Márcia A. B.","3","",,32,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,33,
"Vilson Zattera","ZATTERA, Vilson","1","",,33,
"Mariana Baruco Machado Andraus","ANDRAUS, Mariana B. M.","3","",,33,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,34,
"Aci Taveira Meyer","MEYER, Aci Taveira","1","",,34,
"Lenita Waldige Mendes Nogueira","NOGUEIRA, Lenita W. M.","3","",,34,
"Áurea Helena de Jesus Ambiel","AMBIEL, Áurea H. J.","4","",,34,
"José Fortunato Fernandes","FERNANDES, José F.","5","",,34,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,35,
"Daniel Marcondes Gohn","GOHN, D. M.","3","",,35,
"José Eduardo Ribeiro de Paiva","PAIVA, José Eduardo R.","1","",,35,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,36,
"Fernando Augusto de Almeida Hashimoto","HASHIMOTO, F. A. A.","1","",,36,
"Paulo Adriano Ronqui","RONQUI, Paulo A.","3","",,36,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,37,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,37,
"Paulo Adriano Ronqui","RONQUI, Paulo A.","3","",,37,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,38,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,38,
"Marcelo Gimenes","GIMENES, Marcelo","3","",,38,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,39,
"Ricardo Goldemberg","GOLDEMBERG, R.","2","",,39,
"Manuel Silveira Falleiros","FALLEIROS, Manuel S.","3","",,39,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,40,
"Carlos Fernando Fiorini","FIORINI, C. F.","3","",,40,
"José Eduardo Ribeiro de Paiva","PAIVA, José Eduardo R.","1","",,40,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,41,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","1","",,41,
"Adolfo Maia Junior","MAIA JR, Adolfo","3","",,41,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,42,
"Lucia Helena Reilly","REILLY, L. H.","1","",,42,
"Rita de Cássia Ietto Montilha","MONTILHA, R. C. I.","3","",,42,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,43,
"Angelo José Fernandes","FERNANDES, Angelo José","3","",,43,
"Elaine Prodócimo","PRODÓCIMO, Elaine","2","",,43,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,44,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,45,
"Vilson Zattera","ZATTERA, Vilson","1","",,45,
"Adriano Chaves Giesteira","GIESTEIRA, Adriano C.","3","",,45,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,46,
"Angelo José Fernandes","FERNANDES, Angelo José","3","",,46,
"Manuel Silveira Falleiros","FALLEIROS, Manuel S.","2","",,46,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,47,
"Ricardo Goldemberg","GOLDEMBERG, R.","1","",,47,
"Daniel Marcondes Gohn","GOHN, D. M.","3","",,47,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,48,
"Vilson Zattera","ZATTERA, Vilson","2","",,48,
"Andréia Miranda de Moraes Nascimento","NASCIMENTO, Andreia M. M.","3","",,48,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,49,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,50,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,51,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,52,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,53,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,54,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,55,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,56,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,57,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,58,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,59,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,60,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,61,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,62,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,63,
"Marisa Trench de Oliveira Fonterrada","FONTERRADA, M. T. O.","3","",,63,
"Iveta Maria Borges A Fernandes","FERNANDES, I. M. B. A.","1","",,63,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,64,
"Sonia Regina Albano de Lima","LIMA, S. R. A.","1","",,64,
"Wladmier Farto C de Mattos","MATTOS, W. F. C.","3","",,64,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,65,
"Luiza Helena da Silva Christov","CHRISTOV, L. H. S.","1","",,65,
"Maria Aparecida Guedes Monção","MONCAO, M. A. G.","3","",,65,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,66,
"Regina Machado","MACHADO, Regina","1","",,66,
"Thais dos Guimarães Alvim Nunes","NUNES, T. G. A.","3","",,66,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,67,
"Angelo José Fernandes","FERNANDES, Angelo José","1","",,67,
"Adriana Giarola Kayama","KAYAMA, A. G.","2","",,67,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,68,
"Angelo José Fernandes","FERNANDES, Angelo José","1","",,68,
"Adriana Giarola Kayama","KAYAMA, A. G.","2","",,68,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,69,
"Angelo José Fernandes","FERNANDES, Angelo José","1","",,69,
"Adriana Giarola Kayama","KAYAMA, A. G.","2","",,69,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","4","",,70,
"Nassim Chamel Elias","ELIAS, N. C.","1","",,70,
"Ana Karina Leme Arantes","ARANTES, A. K. L.","2","",,70,
"Iiza Zenker Leme Joy","JOY, I. Z. L.","3","",,70,
"Olga Mitsue Kubo","KUBO, O. M.","5","",,70,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,71,
"Adriana Giarola Kayama","KAYAMA, A. G.","2","",,71,
"Holly Elizabeth Cavrell","CAVRELL, H. E.","3","",,71,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,72,
"Angelo José Fernandes","FERNANDES, Angelo José","1","",,72,
"Adriana Giarola Kayama","KAYAMA, A. G.","3","",,72,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,73,
"Lucia Helena Reilly","REILLY, L. H.","2","",,73,
"Vilson Zattera","ZATTERA, Vilson","3","",,73,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,74,
"Silvia Cordeiro Nassif","NASSIF, Silvia C.","1","",,74,
"Ana Lúcia Horta Nogueira","NOGUEIRA, A. L. H.","3","",,74,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,75,
"Jonatas Manzolli","MANZOLLI, J.","2","",,75,
"Vívian Lis Ferreira Nogueira Dias","DIAS, V. L. F. N.","3","",,75,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","3","",,76,
"Flávia Candusso","CANDUSSO, Flávia","1","",,76,
"Cristiane Almeida","ALMEIDA, C.","2","",,76,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,77,
"Lucia Helena Reilly","REILLY, L. H.","2","",,77,
"Silvia Cordeiro Nassif","NASSIF, Silvia C.","3","",,77,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,78,
"Lucia Helena Reilly","REILLY, L. H.","2","",,78,
"Silvia Cordeiro Nassif","NASSIF, Silvia C.","3","",,78,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,79,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","2","",,79,
"Daniel Marcondes Gohn","GOHN, D. M.","3","",,79,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,80,
"Ilza Zenker Joly","JOLY, I. Z.","3","",,80,
"Guilherme do Val Toledo Prado","PRADO, G. V. T.","1","",,80,
"Maria Carolina Bovério Galzerani","GALZERANI, Maria Carolina B.","4","",,80,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,0
"Sandra Maria Boscolo Brienza","BRIENZA, S. M. B.","2","",,,0
"Débora Letícia Costa Pereira Batista","BATISTA, D. L. C. P.","3","",,,0
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","6","",,,1
"Antonio Rafael Carvalho dos Santos","SANTOS, R.","3","",,,1
"Helena jank","JANK, H.","1","",,,1
"Fernando Augusto de Almeida Hashimoto","HASHIMOTO, F. A. A.","2","",,,1
"Eduardo Henrique Soares Monteiro","MONTEIRO, Eduardo","4","",,,1
"Marcelo Oliveira Verzoni","VERZONI, M. O.","5","",,,1
"Ney Fialkow","FIALKOW, N.","7","",,,1
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,2
"Daniela Dotto Machado","MACHADO, Daniela D.","2","",,,2
"Leila Yuri Sugahara","SUGAHARA, Leila Y.","3","",,,2
