NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MUSICA_Id
"Teca Alencar de Brito","BRITO, T. A.","3","",,,,,,,,,3,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","4","",,,,,,,,,3,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,4,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,5,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,6,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,7,,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","1","",,,,,,,,,8,,
"Beatriz Raposo de Medeiros","RAPOSO DE MEDEIROS, B.","2","",,,,,,,,,8,,
"Luis Felipe Oliveira","OLIVEIRA, L. F.","3","",,,,,,,,,8,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","4","",,,,,,,,,8,,
"Maria José Dias Carrasqueira de Moraes","Carrasqueira, Maria josé","5","",,,,,,,,,8,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,,,,9,,
"Ana Cristina G. S. Tourinho","TOURINHO, A. C. G. S.","2","",,,,,,,,,9,,
"Roberta Azzi","AZZI, Roberta","3","",,,,,,,,,9,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,,,,10,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,11,,
"Silvia Cordeiro Nassif","NASSIF, S. C.","2","",,,,,,,,,11,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,12,,
"Gláucia Maria Pastore","PASTORE, G. M.","1","",,,,,,,,,13,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",,,,,,,,,13,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,,,,14,,
"Silvia Cordeiro Nassif","NASSIF, Silvia C.","2","",,,,,,,,,14,,
"Isadora Conte","CONTE, Isadora","3","",,,,,,,,,14,,
"KAWAGUCHI CESAR, PATRICIA","KAWAGUCHI CESAR, PATRICIA","4","",,,,,,,,,14,,
"Matheus Barros de Paula","PAULA, Matheus B.","5","",,,,,,,,,14,,
"Gisele Terezinha Gomes","GOMES, G. T.","6","",,,,,,,,,14,,
"Ronaldo do Prado Lima","LIMA, R. P.","1","",,,,,,,,,15,,
"Adriana Barreto","BARRETO, A.","2","",,,,,,,,,15,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",,,,,,,,,15,,
"Renata Oliveira","OLIVEIRA, R.","4","",,,,,,,,,15,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,0,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,,,,,1,
"BLUMER, Caroline","Blumer, Caroline","2","",,,,,,,,,,1,
"Jorge Oscar de Souza","SOUZA, Jorge O.","3","",,,,,,,,,,1,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,,,,,2,
"Maura Lúcia Fernandes Penna","PENNA, Maura","2","",,,,,,,,,,2,
"Gloria da Cunha","CUNHA, Gloria","3","",,,,,,,,,,2,
"Violeta Hemsy de Gainza","GAINZA, Violeta H.","4","",,,,,,,,,,2,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,3,
"Edson Pfutzenreuter","PFUTZENREUTER, E.","2","",,,,,,,,,,3,
"Marisa Lambert","LAMBERT, M.","3","",,,,,,,,,,3,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,4,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,5,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,6,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,7,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,8,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,9,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,10,
"BLUMER, Caroline","Blumer, Caroline","2","",,,,,,,,,,10,
"Souza, Jorge Oscar","Souza, Jorge Oscar","3","",,,,,,,,,,10,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,11,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,12,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,13,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,14,
"Souza, Jorge Oscar","Souza, Jorge Oscar","2","",,,,,,,,,,14,
"BLUMER, Caroline","Blumer, Caroline","3","",,,,,,,,,,14,
"Douglas Ellwanger","ELLWANGER, D.","1","",,,,,,,,,,,0
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,,,,,,,,,0
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,1
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,2
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,3
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,4
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,5
"Germmano Falcão","FALCÂO, Germmano","2","",,,,,,,,,,,5
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,,,,,,6
"Germmano Falcão","FALCÂO, Germmano","2","",,,,,,,,,,,6
