NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","5","7115792628126490",,2,,,,,,,
"Max Schultz","SCHULTZ, M.","6","5153396376982283",,2,,,,,,,
"Olinto José Varella Furtado","FURTADO, O. J. V.","7","9156645330801555",,2,,,,,,,
"BERGAMASCHI, REINALDO A.","BERGAMASCHI, REINALDO A.","1","",,3,,,,,,,
"PIGA, LEONARDO","PIGA, LEONARDO","2","",,3,,,,,,,
"Sandro Rigo","Rigo, Sandro","3","",,3,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","4","2046981671187343",,3,,,,,,,
"Guido Araújo","ARAÚJO, Guido","5","8683914780987242",,3,,,,,,,
"Albertini, Bruno","Albertini, Bruno","1","",,4,,,,,,,
"Sandro Rigo","Rigo, Sandro","2","",,4,,,,,,,
"Araujo, Guido","Araujo, Guido","3","8683914780987242",,4,,,,,,,
"PIGA, LEONARDO","PIGA, LEONARDO","1","",,5,,,,,,,
"Reinaldo Bergamaschi","BERGAMASCHI, R.","2","",,5,,,,,,,
"mauricio breternitz","BRETERNITZ, M.","3","",,5,,,,,,,
"Sandro Rigo","RIGO, S.","4","",,5,,,,,,,
"PIGA, LEONARDO","PIGA, LEONARDO","1","",,6,,,,,,,
"Reinaldo Bergamaschi","BERGAMASCHI, R.","2","",,6,,,,,,,
"Sandro Rigo","RIGO, S.","3","",,6,,,,,,,
"Fernando André Kronbauer","KRONBAUER, Fernando André","1","5347838085795671",,7,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,7,,,,,,,
"GARCIA, MAXIWELL","GARCIA, MAXIWELL","1","",,8,,,,,,,
"FRANCESQUINI, EMILIO","FRANCESQUINI, EMILIO","2","",,8,,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","3","2046981671187343",,8,,,,,,,
"Sandro Rigo","Rigo, Sandro","4","",,8,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","1","2046981671187343",,9,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,9,,,,,,,
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","3","2913682696452678",,9,,,,,,,
"Guido Araújo","ARAÚJO, Guido","4","8683914780987242",,9,,,,,,,
"Cristiano Araújo","ARAÚJO, Cristiano","5","9638500605562489",,9,,,,,,,
"Edna Barros","BARROS, Edna","6","6291354144339437",,9,,,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,0,,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","2","2046981671187343",,,0,,,,,,
"Luiz Claudio Villar dos Santos","SANTOS, L. C. V.","3","7115792628126490",,,0,,,,,,
"Guido Araújo","ARAÚJO, Guido","1","8683914780987242",,,,0,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,,,0,,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","3","2046981671187343",,,,0,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","1","2046981671187343",,,,1,,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","2","8308517667746974",,,,1,,,,,
"Guido Araújo","ARAÚJO, Guido","3","8683914780987242",,,,1,,,,,
"Leonardo Piga","Leonardo Piga","1","5959617774140362",,,,,0,,,,
"Reinaldo Bergamaschi","BERGAMASCHI, R.","2","",,,,,0,,,,
"Rodolfo Azevedo","AZEVEDO, Rodolfo","3","2046981671187343",,,,,0,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","4","8308517667746974",,,,,0,,,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,0,,,
"Guido Araújo","ARAÚJO, Guido","2","8683914780987242",,,,,,0,,,
"Marcus Bartholomeu","BARTHOLOMEU, Marcus","3","2913682696452678",,,,,,0,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","4","2046981671187343",,,,,,0,,,
"Sandro Rigo","RIGO, S.","1","",,,,,,,0,,
"Sandro Rigo","RIGO, S.","1","",,,,,,,1,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,2,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,0,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","2","2046981671187343",,,,,,,,0,
"Guido Araújo","ARAÚJO, Guido","3","8683914780987242",,,,,,,,0,
"Paulo César Centoducatte","CENTODUCATTE, Paulo César","4","0758877444698557",,,,,,,,0,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,1,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,2,
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","2","0758877444698557",,,,,,,,2,
"Alexandro Baldassin","BALDASSIN, Alexandro","3","4738829911864396",,,,,,,,2,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,0
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,1
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,2
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,3
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,4
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,5
"Sandro Rigo","RIGO, S.","1","",,,,,,,,,6
"Sandro Rigo","RIGO, S.","1","",,,,,,,,,7
"Sandro Rigo","RIGO, S.","1","",,,,,,,,,8
"Sandro Rigo","RIGO, S.","1","",,,,,,,,,9
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,,,,,,,10
