NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"CONFERENCIA","São Paulo: Cidade Mundial na periferia do capitalismo","2001","Brasil","Português","NAO","","","NAO",30
"OUTRA","Política urbana","2001","Brasil","Português","NAO","","","NAO",31
"CONFERENCIA","Como o capital imobiliário desenha a cidade: o entorno do Rio Pinheiros em São Paulo","2001","Brasil","Português","NAO","","","NAO",32
"SIMPOSIO","Global City Sao Paulo","2006","Brasil","Português","NAO","","","NAO",33
"CONFERENCIA","Financeirização e transformações recentes no circuito imobiliário no Brasil","2011","Brasil","Português","NAO","","","NAO",34
"CONFERENCIA","O mercado imobiliário norte americano","2008","Brasil","Português","NAO","","","NAO",35
"CONFERENCIA","Direito à cidade","2006","Brasil","Português","NAO","","","NAO",36
"CONFERENCIA","Como o governo Lula pretende resolver o problema habitacional","2011","Brasil","Português","NAO","","","NAO",37
"CONGRESSO","Operações Urbanas: Limites de Contradições","2011","Brasil","Português","NAO","","","NAO",38
"SEMINARIO","A luta pelo direito à moradia e os negócios imobiliários: novos elementos de uma antiga disputa","2011","Brasil","Português","NAO","","","NAO",39
"OUTRA","Moderadora da sessão Sociabilidade e convício na arte [algumas experiências do teatro]","2011","Brasil","Português","NAO","","","NAO",40
"CONGRESSO","O todo sem a parte não é todo, a parte sem o todo não é parte.","2011","Brasil","Português","NAO","","","NAO",41
"CONGRESSO","O impacto dos megaprojetos e as violações do direito à cidade.","2011","Brasil","Português","NAO","","","NAO",42
"OUTRA","O enigma do capital","2011","Brasil","Português","NAO","","","NAO",43
"OUTRA","Comentário sobre o livro Enigma do capital e as crises do capitalismo","2012","Brasil","Português","NAO","","","NAO",44
"CONFERENCIA","Operações urbanas: direito à cidade?","2010","Brasil","Português","NAO","","","NAO",45
"SEMINARIO","A cidade e suas margens: uma ponte para especulação","2009","Brasil","Português","NAO","","","NAO",46
"CONFERENCIA","Ascenção e queda da casa como ativo financeiro: de lastro da valorização da riqueza a estopim da crise mundial","2009","Brasil","Português","NAO","","","NAO",47
"OUTRA","Desafios urbanos às metrópoles latino-americanas","2008","Brasil","Português","NAO","","","NAO",48
"CONFERENCIA","São Paulo: coalizões e conflitos na produção do espaço urbano","2006","Brasil","Português","NAO","","","NAO",49
"SEMINARIO","São Paulo Ville Global? Fondements financers de un mirage","2005","Brasil","Português","NAO","","","NAO",50
"SEMINARIO","Cidade ideal, cidade real","2005","Brasil","Português","NAO","","","NAO",51
"OUTRA","II Debate: 7 Prêmio Jovens Arquitetos","2005","Brasil","Português","NAO","","","NAO",52
"OUTRA","Operação Urbana Faria Lima","2005","Brasil","Português","NAO","","","NAO",53
"SEMINARIO","Operações urbanas: uma fórmula mágica","2005","Brasil","Português","NAO","","","NAO",54
"SEMINARIO","São Paulo: cidade global?","2004","Brasil","Português","NAO","","","NAO",55
"SEMINARIO","São Paulo: metrópole periféria no capitalismo financeirizado","2004","Brasil","Português","NAO","","","NAO",56
"OUTRA","Operações urbanas consorciadas: como garantir transformaões urbanísticas com participação?","2003","Brasil","Português","NAO","","","NAO",57
"CONGRESSO","Grandes projetos urbanos: um novo modo de planejar as cidades (Sessão Livre 13)","2003","Brasil","Português","NAO","","","NAO",58
"OUTRA","A prática e o conceito de projeto: referências para um debate. Grandes projetos urbanos: referências para o debate.","2002","Brasil","Português","NAO","","","NAO",59
"SEMINARIO","Operação Urbana Centro e Plano Diretor: como vão afetar a habitação no Centro de São Paulo?","2002","Brasil","Português","NAO","","","NAO",60
"OUTRA","Plano Diretor","2001","Brasil","Português","NAO","","","NAO",61
"CONFERENCIA","Urban restructuring and social polatization: the case of São Paulo","2002","Brasil","Português","NAO","","","NAO",62
"SEMINARIO","Concessão de uso especial para fins de moradia","2001","Brasil","Português","NAO","","","NAO",63
"OUTRA","Operações urbanas no projeto do novo Plano Diretor de São Paulo","2001","Brasil","Português","NAO","","","NAO",64
"SEMINARIO","Trabalho, poder e dinheiro na Cidade de São Paulo","2001","Brasil","Português","NAO","","","NAO",65
"SIMPOSIO","Quando a ocupação dos mananciais é promovida por uma ação da Prefeitura: o caso da remoção de favelas no novo pólo empresarial de São Paulo","2001","Brasil","Português","NAO","","","NAO",66
"CONFERENCIA","Novas fronteiras urbanas: civilização na cracolândia","2012","Brasil","Português","NAO","","","NAO",67
"CONFERENCIA","Centros urbanos em disputa: o caso do projeto Nova Luz","2012","Brasil","Português","NAO","","","NAO",68
"SEMINARIO","Financeirização e transformações recentes no circuito imobiliário no Brasil","2012","Brasil","Português","NAO","","","NAO",69
"SEMINARIO","Financeirização e transformações recentes no circuito imobiliário no Brasil","2012","Brasil","Português","NAO","","","NAO",70
"CONFERENCIA","Máquina imobiliária de crescimento na globalização financeira: das Operações Urbanas Consorciadas ao programa MInha Casa Minha Vida","2012","Brasil","Português","NAO","","","NAO",71
"CONFERENCIA","Financialization of the Home and the City: From the United States to Brazil","2013","Estados Unidos","Inglês","NAO","","","NAO",72
"CONFERENCIA","Financialization of the Home and the City: From the United States to Brazil","2013","Estados Unidos","Inglês","NAO","","","NAO",73
"CONFERENCIA","Global Finance & Predatory Land Ocupation in Brazilian Cities","2013","Estados Unidos","Inglês","NAO","","","NAO",74
"CONGRESSO","Direito à cidade na mundialização financeira: Transformações recentes na política habitacional e no circuito imobiliário no Brasil","2013","Brasil","Português","NAO","","","NAO",75
"SEMINARIO","O Brasil na economia internacional:novas dinâmicas e desigualdades regionais e urbanas","2013","Brasil","Português","NAO","","","NAO",76
"CONGRESSO","Real Estate Boom in Brazil: &#8232;growth machine, global finance and right to the city","2013","Brasil","Português","NAO","","Real Estate Boom in Brazil: &#8232;growth machine, global finance and right to the city","NAO",77
"CONFERENCIA","Global finance and the right to the city struggle in Brazil","2013","Brasil","Português","NAO","","Global finance and the right to the city struggle in Brazil","NAO",78
"SEMINARIO","Parcerias público-privadas nas intervenções urbanas","2013","Brasil","Português","NAO","","","NAO",79
"CONGRESSO","Global finance and right to the city in Brazil","2013","Brasil","Português","NAO","","","NAO",80
"OUTRA","What's your crisis?","2013","Brasil","Português","NAO","","","NAO",81
"OUTRA","Operações Urbanas Consorciadas e Outora Onerosa do Direito de Construir: uma conversa com magistrados","2013","Brasil","Português","NAO","","","NAO",82
"SEMINARIO","Cidade como máquina do crescimento","2013","Brasil","Português","NAO","","","NAO",83
"SEMINARIO","Grandes Empreendimentos Imobiliários e Sua Financeirização: há limites para a máquina de crescimento urbano?","2013","Brasil","Português","NAO","","","NAO",84
"OUTRA","Direito à cidade","2014","Brasil","Português","NAO","","","NAO",85
"CONFERENCIA","Operações urbanas consorciadas em São Paulo","2014","Brasil","Português","NAO","","","NAO",86
"CONFERENCIA","A cidade e a ditadura","2014","Brasil","Português","NAO","","","NAO",87
"CONGRESSO","Who Builds our homes? The Power of Homebuliders in the Urban Landscapes in Brazil and the United States (ISA, Japão)","2014","Brasil","Inglês","NAO","","","NAO",88
"OUTRA","A brigde to speculation: Land rent, property capital and right to the city struggle in Brazil (DPU, Londres)","2015","Brasil","Português","NAO","","","NAO",89
"CONFERENCIA","Real Estate Circuit and the City Under Financialization: New Brazilian Urban Frontiers from the 1990s Onwards (seminário internacional na FAUUSP)","2015","Brasil","Inglês","NAO","","","NAO",90
"CONFERENCIA","Economia e urbanização: desigualdade e acumulação de capital","2015","Brasil","Português","NAO","","","NAO",91
"CONFERENCIA","Novas fronteiras do circuito imobiliário: cidades brasileiras na mundialização financeira","2015","Brasil","Português","NAO","","","NAO",92
"CONFERENCIA","Operações Urbanas e memória","2015","Brasil","Português","NAO","","","NAO",93
"CONFERENCIA","The Real Estate Circuit and (the Right to) the City: Notes on the Housing Question in Brazil","2015","Brasil","Português","NAO","","The Real Estate Circuit and (the Right to) the City: Notes on the Housing Question in Brazil","NAO",94
"SEMINARIO","Mapping the Housing System? Evidences from a Peripheral Capitalist Country (HKW, Berlim)","2015","Brasil","Português","NAO","","","NAO",95
"CONFERENCIA","Dos cortiços ao real estate","2015","Brasil","Português","NAO","","","NAO",96
"OUTRA","Financiarización global y lucha por el derecho a la ciudad (Chile)","2015","Brasil","Português","NAO","","","NAO",97
"CONFERENCIA","A produção social do urbano no Brasil contemporâneo (IFCH, Unicamp)","2015","Brasil","Português","NAO","","","NAO",98
"SIMPOSIO","Informal Urbanisaton: origins, drivers and impacts (TU Delft)","2016","Brasil","Inglês","NAO","","Informal Urbanisaton: origins, drivers and impacts","NAO",99
"SIMPOSIO","Land Value Capture and the Right to the City in Unequal Cities (México)","2016","Brasil","Português","NAO","","","NAO",100
"OUTRA","Land Value Capture and the Right to the City in Sao Paulo (Conferência preparatória Habitat III, México)","2016","Brasil","Português","NAO","","","NAO",101
"CONFERENCIA","A questão da habitação na mundialização: o caso do Brasil.","2016","Brasil","Português","NAO","","","NAO",102
"CONFERENCIA","Nação Especulação (debate sobre documentário espanhol)","2016","Brasil","Português","NAO","","","NAO",103
"SIMPOSIO","The housing question under neoliberalism in Brazil and the US (IPPE, Lisboa)","2016","Brasil","Português","NAO","","","NAO",104
"OUTRA","A cidade global e os limites do capital (conferência sobre a obra de David Harvey Limits to Capital)","2015","Brasil","Português","NAO","","","NAO",105
"CONGRESSO","Mapping the housing system after the neoliberal turn: evidence from Brazil (ISA, México)","2016","Brasil","Inglês","NAO","","","NAO",106
"CONFERENCIA","Financeirização da Habitação","2015","Brasil","Português","NAO","","","NAO",107
"SEMINARIO","Mundialização financeira, política habitacional e direito à cidade","2017","Brasil","Português","NAO","","","NAO",108
"CONFERENCIA","Mudanças Recentes no Jogo Imobiliário e alguns de seus antecedentes históricos","2017","Brasil","Português","NAO","","","NAO",109
"OUTRA","Circuito imobiliário, rentismo e finanças","2017","Brasil","Português","NAO","","","NAO",110
"OUTRA","Trabalho na construção civil durante a retomada do financiamento habitacional no Brasil,","2017","Brasil","Português","NAO","","","NAO",111
"CONFERENCIA","Dinâmicas Imobiliárias e Desigualdades Territoriais","2017","Brasil","Português","NAO","","","NAO",112
"CONFERENCIA","Novas fronteiras urbanas: 'civilização' na cracolândia'","2017","Brasil","Português","NAO","","","NAO",113
"OUTRA","Notas sobre as especificidades da produção urbana no capitalismo dependente e o enigma do capital imobiliário","2017","Brasil","Português","NAO","","","NAO",114
"CONFERENCIA","Financiarización de la habitación en el capitalismo dependiente? Evidencias de Brasil","2017","Brasil","Português","NAO","","","NAO",115
"CONGRESSO","Housing Financialization Under Conditions of Dependent Capitalism?. Evidences from Brazil","2017","Brasil","Português","NAO","","Housing Financialization Under Conditions of Dependent Capitalism. Evidences from Brazil","NAO",116
"CONFERENCIA","Circuito inmobiliario y Derecho a la Ciudad","2017","Brasil","Português","NAO","","","NAO",117
"CONFERENCIA","Habitação e Cidade: modelos hegemônicos, pesquisa e lutas sociais","2017","Brasil","Português","NAO","","","NAO",118
"CONFERENCIA","São Paulo Cidade Global: Fundamentos Financeiros de uma Miragem","2007","Brasil","Português","NAO","","","NAO",119
