NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,17,
"Tiarajú Pablo D'Andrea","D'Andrea, T. P.","3","",,,,17,
"Bruno de Conti","Conti, Bruno de","2","",,,,17,
"Mariana de Azevedo Barretto Fix","FIX, M.","3","",,,,18,
"Ethel Leon","Leon, Ethel","1","",,,,18,
"Tatiana Maranhão","Maranhão, Tatiana","2","",,,,18,
"Mariana de Azevedo Barretto Fix","FIX, M.","1","",,,,,0
"Mariana de Azevedo Barretto Fix","Fix, Mariana","5","",,,,,1
"Adauto Cardoso","Cardoso, Adauto","1","",,,,,1
"Jan Bitoun","Bitoun, Jan","2","",,,,,1
"Jorge Luiz Barbosa","Barbosa, Jorge Luiz","3","",,,,,1
"Tamara Benakouche","Benakouche, Tamara","4","",,,,,1
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,2
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,3
"Gisela Cunha Viana Leonelli","Leonelli, Gisela","2","",,,,,3
"Karina Leitão","Leitão, Karina","3","",,,,,3
"Mariana de Azevedo Barretto Fix","Fix, Mariana","1","",,,,,4
"Gisela Cunha Viana Leonelli","Leonelli, Gisela","2","",,,,,4
"Karina Leitão","Leitão, Karina","3","",,,,,4
