PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Política Habitacional","México","","","","",,,,,,,,,,,,,,,,,7,,,,,,,
"América Latina","Política Habitacional","","","","",,,,,,,,,,,,,,,,,8,,,,,,,
"financeirização","Parceria público-privada","habitação social","Política Habitacional","","",,,,,,,,,,,,,,,,,9,,,,,,,
"Parceria público-privada","financeirização","","","","",,,,,,,,,,,,,,,,,10,,,,,,,
"circuito imobiliário","crise urbana","capital financeiro","","","",,,,,,,,,,,,,,,,,11,,,,,,,
"operações urbanas consorciadas","habitação social","","","","",,,,,,,,,,,,,,,,,12,,,,,,,
"Construção Civil","Emprego e renda","","","","",,,,,,,,,,,,,,,,,13,,,,,,,
"renda da terra","imobiliário","Ribeirão Preto","","","",,,,,,,,,,,,,,,,,15,,,,,,,
"circuito imobiliário","Pará","","","","",,,,,,,,,,,,,,,,,16,,,,,,,
"financeirização","Cepacs","Operações Urbanas","operações urbanas consorciadas","","",,,,,,,,,,,,,,,,,17,,,,,,,
"infrastrutura","rodoviarismo","concessões","","","",,,,,,,,,,,,,,,,,18,,,,,,,
"imobiliário","","","","","",,,,,,,,,,,,,,,,,19,,,,,,,
"ativos financeiros","especulação","bolha imobiliária","","","",,,,,,,,,,,,,,,,,20,,,,,,,
"mercado imobiliário","fronteira urbana","Centro Histórico","Revitalização","São Paulo (cidade)","",,,,,,,,,,,,,,,,,,3,,,,,,
"financeirização","mercado imobiliário","Mercado financeiro","Moradia","São Paulo (cidade)","",,,,,,,,,,,,,,,,,,4,,,,,,
"Minha Casa Minha Vida","Política Habitacional","","","","",,,,,,,,,,,,,,,,,,11,,,,,,
"Transportes","Önibus","tarifa","","","",,,,,,,,,,,,,,,,,,12,,,,,,
"terceirização","trabalho","Unicamp","","","",,,,,,,,,,,,,,,,,,13,,,,,,
"Política urbana","bolha imobiliária","","","","",,,,,,,,,,,,,,,,,,15,,,,,,
"Gentrificação","cidades","América Latina","","","",,,,,,,,,,,,,,,,,,16,,,,,,
"Periferia","Vila Missionária","São Paulo (cidade)","","","",,,,,,,,,,,,,,,,,,17,,,,,,
"grandes projetos urbanos","","","","","",,,,,,,,,,,,,,,,,,,0,,,,,
"grandes projetos urbanos","Operações Urbanas","São Paulo (cidade)","Faria Lima","","",,,,,,,,,,,,,,,,,,,,7,,,,
"grandes projetos urbanos","Operações Urbanas","Política urbana","Renovação urbana","Revitalização","",,,,,,,,,,,,,,,,,,,,,6,,,
"mercado imobiliário","Operações Urbanas","Parceria público-privada","Política urbana","São Paulo (cidade)","",,,,,,,,,,,,,,,,,,,,,,15,,
"segregação urbana","cidades","","","","",,,,,,,,,,,,,,,,,,,,,,,1,
"financeirização","mercado imobiliário","Amazônia","","","",,,,,,,,,,,,,,,,,,,,,,,,5
