DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"29 de agosto, 19h30
com Alvaro, Defensor público, Doutor Carlos Reis, representantes dos grupos de extensão da faculdade, Clínica de Direitos Humanos e SAJU, Serviço de Assessoria Jurídica Universitária.","",,,,,,22,,,,,,,,,,,
"20 de novembro","",,,,,,23,,,,,,,,,,,
"IV Semana de Geografia do IFSP
24 de novembro","",,,,,,24,,,,,,,,,,,
"aula no curso da professora Clara Irrazabal, 16/9","",,,,,,25,,,,,,,,,,,
"Representante da Revista Caramelo em debate, realizado no âmbito de mostra sobre Editoria Alternativa","",,,,,,28,,,,,,,,,,,
"Palestra como parte da assessoria do Labhab ao GEA, Grupo de Estudos de Moradia","",,,,,,30,,,,,,,,,,,
"15 de outubro","",,,,,,32,,,,,,,,,,,
"Paper aprovado pelo Planning Committe do simpósio. O evento reuniu pesquisadores de pós-graduação de muitas instituições norte-americanas e de outros países. David Harvey foi o conferencista convidado.","",,,,,,33,,,,,,,,,,,
"Participação a convite da professora Laura Bueno no dia 26/5/2008","",,,,,,35,,,,,,,,,,,
"10/5/2006","",,,,,,36,,,,,,,,,,,
"Participação a convite da professora Roberta Menezes, em mesa redonza com José Júlio Lima, Juliano Ximenes e Roberta Menezes.","",,,,,,37,,,,,,,,,,,
"Mesa redonda com Guilherme Bonfanti (Teatro da Vertigem), José Fernando (Teatro de Narradores) e Georgette Fadel (Cia. São Jorge de Variedades).","",,,,,,40,,,,,,,,,,,
"Participação em mesa redonda com Alexania Rossato - Movimento dos Atingidos por Barragens ? MAB e Francisco Comarú ? Universidade Federal do ABC","",,,,,,42,,,,,,,,,,,
"Participação em mesa redonda com Paul Singer e Ruy Braga","",,,,,,43,,,,,,,,,,,
"","data: 28/2/2012
participação em mesa redonda",,,,,,44,,,,,,,,,,,
"Mesa redonda com Lucília Lacreta, Movimento Defenda São Paulo e Marsene, do Movimento de Urbanização e Legalização do jardim Pantanal","",,,,,,45,,,,,,,,,,,
"Participação de mesa com Jorge Menna Barreto (moderador), Guilherme Wisnik e os artistas Ana Maria Tavares, Nuno Ramos e Hector Zamora. Seminário coordenado pela arquiteta Lígia Nobre.","",,,,,,46,,,,,,,,,,,
"Aula no curso da profesora Daniela Sandler","",,,,,,49,,,,,,,,,,,
"Mesa redonda com Kazuo Nakano e Luciana Itikawa","",,,,,,55,,,,,,,,,,,
"Participação em mesa redonda com a presidente da Emurb Nadia Somek e o arquiteto Júlio Neves","",,,,,,57,,,,,,,,,,,
"Participação em mesa redonda com Glauco Bienstein (FAU-UFF), Fernanda Sanchez (FAU-UFF), coordenada por Carlos Vainer (IPPUR-UFRJ). Debatedor: Martin Smolka (Lincoln Institute of Land Policy).","",,,,,,58,,,,,,,,,,,
"Mesa redonda com Eduardo Della Manna e Elizângela Fátima da Silva","",,,,,,60,,,,,,,,,,,
"Oficina ministrada no Encontro.","",,,,,,61,,,,,,,,,,,
"Mesa redonda com João Whitaker Sette Ferreira","",,,,,,64,,,,,,,,,,,
"","data: 14/06/2012
participação em mesa redonda",,,,,,67,,,,,,,,,,,
"data: 5/6/2012
participação em mesa redonda","",,,,,,68,,,,,,,,,,,
"5/7/2012","",,,,,,69,,,,,,,,,,,
"data: 1 a 5 de outubro de 2012
participação em mesa redonda","",,,,,,70,,,,,,,,,,,
"data: 8/11/2012
palestra","",,,,,,71,,,,,,,,,,,
"data: 14/2/2013
Apresentação do trabalho que realizei como bolsista da Urban Studies Foundation aos alunos de pós-graduação do The College of Architecture and Urban Studies? da Virginia Tech","",,,,,,72,,,,,,,,,,,
"15/2/2013
O evento foi organizado pelo Latin Lab e pelo the Buell Center, ambos da Columbia University, que me convidaram para apresentar o trabalho que realizei como bolsista da Urban Studies Foundation e pesquisadora visitante na CUNY University em Nova York.","",,,,,,73,,,,,,,,,,,
"Apresentei o trabalho que estava desenvolvendo como bolsista da Urban Studies Foundation aos alunos e professores a convite da Georgia Tech.
18/1/2013
A apresentação fez parte da Phd Lectures Series 5, que traz convidados uma vez por semana.
Local: Georgia Tech, Architecture East Building, Room 217","",,,,,,74,,,,,,,,,,,
"data: 24/5/2013
Organizadora da Sessão Livre e apresentação de trabalho na mesma sessão, composta também por Luciana Royer, Roberta Rodrigues, Raul Ventura e Beatriz Ruffino.
A sessão ocorreu no congresso nacional da ANPUR.","",,,,,,75,,,,,,,,,,,
"Participação em mesa-redonda de abertura do evento no IPPUR à convite dos organizadores.","",,,,,,76,,,,,,,,,,,
"Participação em mesa redonda na conferência anual da Planners Network, em Nova York.
7/6/2013","",,,,,,77,,,,,,,,,,,
"Organizado pelo professor Roberto Rocco
data: 18/4/2013
A apresentação fez parte dos seminários organizados pelo Spacial Planning and Strategy Chair, da TU-Delft","",,,,,,78,,,,,,,,,,,
"Aulas Abertas da Pós-Graduação / Área de Concentração de Planejamento Urbano  
 
Disciplina "Seminários de Planejamento Urbano" 

Professoras responsáveis: 
Maria de Lourdes Zuquim
Heliana Vargas
Raquel Rolnik

14 de maio de 2013 (terça-feira), 09:00h
Debate: Parcerias Público-Privadas em Intervenções Urbanas
Convidados:
Mariana Fix: Profa. Dra. do Instituto de Economia da UNICAMP
Philip Yang: URBEM - Instituto de Urbanismo e Estudos para a Metrópole

Rua Maranhão, 88
Sala dos Espelhos","",,,,,,79,,,,,,,,,,,
"Apresentação de trabalho no congresso da Royal Geography Society, em Londres.

Título da sessão: New Geographies of Resistance in the (Post)Neoliberal City: 1
Organizadores
Jason Luger (King's College London)
James Field (King's College London)
Coordenador:
Andrew Harris (University College London)
Data Friday 30 August 2013, Session 3
Room 	Skempton Building, Room 060b","",,,,,,80,,,,,,,,,,,
"data: 5/11/2013
Participação em mesa redonda no seminário da Bienal Internacional de Arquitetura","",,,,,,81,,,,,,,,,,,
"data: 5/12/2013
participação em mesa-redonda à convite da EPM","",,,,,,82,,,,,,,,,,,
"data: 8/11/2013
Participação em mesa-redonda composta por John Logan, Mariana Fix e Paula Santoro em seminário realizado na Bienal de Arquitetura, no teatro do Sesc Pompéia","",,,,,,83,,,,,,,,,,,
"data: 13/11/2013
Mesa redonda com:
Carlos Vainer - IPPUR/UFRJ
Fernando Macedo - CEDE/IE/UNICAMP
em evento promovido pela LEP","",,,,,,84,,,,,,,,,,,
"Participação em mesa redonda na semana de recepção ao calouros da IFCH","",,,,,,85,,,,,,,,,,,
"26/3/2014 das 9 às 12 horas
SENAC, bairro Santo Amaro, São Paulo - SP","",,,,,,86,,,,,,,,,,,
"data: 5/4/2014","",,,,,,87,,,,,,,,,,,
"Roundtable: Unequal Cities and the Political Economy of Housing Part III
Apresentação oral
Data: 15-7-2014
Local: Pacifico Yokohama, Yokohama, Japão","",,,,,,88,,,,,,,,,,,
"2/6/2015
Apresentação oral em painel em workshop fechado","",,,,,,89,,,,,,,,,,,
"23/9
mesa redonda Mariana Fix, César Ricardo Simoni (FFLCH-USP) e Silvia Zanirato (EACH-USP)
Campus da UNIFESP em OSASCO","",,,,,,91,,,,,,,,,,,
"Mesa redonda coordenada por José Marcos, com Francisco Sabadini (Universidade Católica do Chile) e Anderson Kazuo Nakano (FGV-SP e FIAM-FAAM)
13/10/2105
14 horas","",,,,,,92,,,,,,,,,,,
"8/10/2015
19 às 22 horas","",,,,,,93,,,,,,,,,,,
"23/10/2015
Conferência no evento de abertura que foi a parte pública da Wohnungsfrage Academy Housing System.","",,,,,,94,,,,,,,,,,,
"27/10/15
Seminário em diálogo com Abdoulmalique Simone e os participantes da Wohnungsfrage Housing System Academy mediado por Reinhold Martin, da Columbia University. Realizei uma das duas apresentações iniciais, seguidas de debate. 
O seminário fez parte da Wohnungsfrage Housing Systema Academy e ocorreu das 11:35 às 13 horas.","",,,,,,95,,,,,,,,,,,
"14/10
mesa com Antonio Soukeff, Carlos Teixeira, Augusto Aneas, Daniel Ferreira e Natacha Rena","",,,,,,96,,,,,,,,,,,
"9/12/2015
Palestra à convite do professor Carlos de Mattos
e participação como debatedora, das 9 às 18 horas","",,,,,,97,,,,,,,,,,,
"10/11/2015
palestra em curso no Departamento de Sociologia do IFCH","",,,,,,98,,,,,,,,,,,
"17/3/2016
Palestra realizada a convite da Universidade TU Delft na sessao 1 Exclusion in Urbanism, que contou também com a participaçao de Mathis Antonsson, da Ushahidi, Estocolmo, Suécia","",,,,,,99,,,,,,,,,,,
"Palestra na sessão intitutlada Gasto público y Derecho a la Ciudade, que contou também com a participaçao de Martha Laura Almaraz Domínguez (Subsecretaria de Participación y Ciudadania del Gobierno de la Ciudade de México), Dr. Perló Cohen Manuel (Director del área de EStudios Urbanos y Regionals del Instituto de INvestigaciones Sociales UNAM), Jordi Borja Sebastià (Universidade Abierta de Catalunia); coordenada por Mtra. Tanit Carolina Borja Martínez
data 8/3/2016
hora 9 às 13:30","",,,,,,100,,,,,,,,,,,
"9/3/2016)","",,,,,,101,,,,,,,,,,,
"mesa rendoa: FINANCIARIZACIÓN, NUEVA GEOGRAFÍA DE LA URBANIZACIÓN Y CRISIS URBANA

Participantes: 
?	CARLOS A. DE MATTOS (Chile). Presentación general sobre el tema de la Mesa.
?	MARIANA FIX (Brasil). A questão da habitaçãonamundialização: o caso do Brasil. 
?	ANTONIO DAHER (Chile). La urbanización del capital, la ?hipótesis geográfica? y la desigualdad.
?	MANUEL DELGADO CABEZA (España). Reflexión general desde la perspectiva de a economía crítica sobre los temas planteados.

5/10/2016","",,,,,,102,,,,,,,,,,,
"Mesa redonda com Pedro Rossi, mediada por Gisela Leoneli, em 8/11/2016","",,,,,,103,,,,,,,,,,,
"7/7/2016","",,,,,,104,,,,,,,,,,,
"Aula em 11/6 em curso sobre a obra de David Harvey para mais de 1000 alunos inscritos","",,,,,,105,,,,,,,,,,,
"23/7/2016
Composição da mesa: 
1. Alan Mabin, University of the Witwatersrand. ?Divergent and convergent shi s in northern and southern city regions
2. Luiz Cesar de Queiroz Ribeiro, Universidade Federal do Rio de Janeiro. ?Urban Transformations in Brazilian Metropolises: re ections and results of a networking comparative research? [não esteve presente]
3. Sascha Facius, Humboldt University Berlin. ?Rethinking the scale of spa- tial comparison: does neighborhood comparison make sense??
4. Gayatri A. Menon, Azim Premji University ? e City as a Place of Com- parisons: Aspirations, Di erence and Evictions in postcolonial Mumbai?
5. Mariana Fix (University of Campinas) ?Mapping the housing system af- ter the neoliberal turn: evidence from Brazil.?","",,,,,,106,,,,,,,,,,,
"","18/3/2015
a convite da Professora Ermínia Maricato",,,,,,107,,,,,,,,,,,
"15/3/2017
Mesa Redonda com Carlos Brandão (IPPUR/UFRJ) e Luciano Fedozzi (UFRGS/ Observatório das Metrópoles), coordenada por André Doca,
no Auditório da Faculdade de Economia da UFRGS","",,,,,,108,,,,,,,,,,,
"SESSÃO LIVRE 33
25/5/2017

Título: A financeirização em escalas múltiplas: da metrópole à PEC 241/55

Felipe Nunes Coelho Magalhães ? coordenação 
Daniel de Mello Sanfelici ? debatedor 
Expositores: Mariana Fix (CEDE), Leda Paulani (FEA-USP), Marcos Barcellos de Souza (UFABC), Carlos Antônio Brandão (IPPUR-UFRJ), Luciana de Oliveira Royer (FAU-USP) e Felipe Nunes Coelho Magalhães (IGC-UFMG)

Hora: 18h
Local (sala): Novotel Jaraguá. Sala Pietro Maria Bardi","",,,,,,110,,,,,,,,,,,
"Trabalho apresentado na Sessão Temática 5.2 Mercado Imobiliário e Estruturação Urbana

Título: Trabalho na construção civil durante a retomada do financiamento habitacional no Brasil, por Melissa Ronconi de Oliveira (CEDE) e Mariana Fix (CEDE).

Hora: 16 hs às 18 hs
Data: 22/5/2017
Local (sala): Novotel Jaraguá. Sala A. Block + D. Alzugaray","",,,,,,111,,,,,,,,,,,
"20/6/2017","",,,,,,112,,,,,,,,,,,
"em Mesa Redonda com Taniele Rui
9/8/2017","",,,,,,113,,,,,,,,,,,
"23/08/2017
com Isadora Guerreiro
Coordenação Pablo Nava
Endereço:
Rua Dr. Plínio Barreto, 285 - 4º andar
Bela Vista - São Paulo.","",,,,,,114,,,,,,,,,,,
"30/8/2017
Conferencia magistral (de abertura dos trabalhos do eixo Território)","",,,,,,115,,,,,,,,,,,
"12/9/2017
apresentação de 18 minutos e participação no debate
assisti também toda a programação do evento, da abertura ao encerramento, incluindo as sessões da track na qual a minha sessão se inseria.
A track é a 9 Reconstructing the Real Estate-Finance Link: Housing Financialization after the Crisis e foi organizada por Desiree Fields, Joe Beswick, Zac Taylor. Na minha sessão participaram também: Julien Migozzi, Gustavo Guntren e Carolina Pozzi de Castro.","",,,,,,116,,,,,,,,,,,
"22/9/2017
das 16 às 18 horas
evento organizado pelos estudantes do IAU-USP","",,,,,,118,,,,,,,,,,,
"A oficina fez parte do ciclo Curadoria e Contexto.
data: 24 a 27/10/2011","",,,,,,,0,,,,,,,,,,
"Palestra Ongs, Terceiro Setor e Voluntariado/Experiências de Práticas Alternativas, durante curso promovido por HABI-PMSP","",,,,,,,1,,,,,,,,,,
"O curso contou com 16 aulas entre maio e novembro. Participei como docente responsável pela aula sobre Direito à Moradia.
data: 20/11","",,,,,,,2,,,,,,,,,,
"data: 25/4/2009","",,,,,,,3,,,,,,,,,,
"data: 28/9/2013
endereço: Rua Boa Vista, 200","",,,,,,,4,,,,,,,,,,
"data: 27/10/2012 
endereço: Rua Boa Vista, 200","",,,,,,,5,,,,,,,,,,
"Participei do curso como professora a convite dos organizadores e curadores do curso, entre 22 a 28 de Outubro de 2015.
A participação incluiu uma conferência na abertura, um seminário, ministrar uma oficina e contribuição para a sessão de encerramento; além da participação nas atividades gerais, como excursão a projetos de habitação sociais e acompanhamento das demais aulas, seminários e oficinas ministrados pelos outros professores. 
Contribuí também com um ensaio para livro lançado durante o curso e com a preparação de material didático.","",,,,,,,6,,,,,,,,,,
"O curso inclui cerca de 16 sessões. Participei como docente responsável por duas aulas sobre Direito à cidade, uma delas ministrada junto com Pedro Arantes.
data: 5/11/2011","",,,,,,,7,,,,,,,,,,
"10 de dezembro de 1999, das 9 às 18.
O encontro incluiu ainda atividades com os convidados estrangeiros da Planners Network.","",,,,,,,,0,,,,,,,,,
"18 de maio de 2015
coordenação de mesa redonda","",,,,,,,,8,,,,,,,,,
"18/5/2015
local: Hotel Ourofino
Belo Horizonte","",,,,,,,,9,,,,,,,,,
"19/5/2015","",,,,,,,,10,,,,,,,,,
"10/5/2015","",,,,,,,,11,,,,,,,,,
"Organização do ciclo de debates para o encontro de 3.500 estudantes","",,,,,,,,14,,,,,,,,,
"Relatório realizado no âmbito da pesquisa Grandes Projetos de Desenvolvimento Urbano: O que se pode aprender com a experiência brasileira?, coordenada por Carlos Vainer e Fernanda Sanchez.","",,,,,,,,,0,,,,,,,,
"Junho de 2013","",,,,,,,,,,0,,,,,,,
"co-orientação: professor Paulo Eduardo de Andrade Batar","",,,,,,,,,,,0,,,,,,
"Giovani Espíndola Ribeiro","",,,,,,,,,,,,2,,,,,
"Banca em 8/7/2015
Com o professor Dari Krein
Nota 9,5","",,,,,,,,,,,,4,,,,,
"PIBIC","",,,,,,,,,,,,6,,,,,
"Chamada PIBIC","",,,,,,,,,,,,7,,,,,
"finalizada em julho de 2012","",,,,,,,,,,,,12,,,,,
"16 de outubro de 2012","",,,,,,,,,,,,,0,,,,
"14/10/2014
UNESP 
Campus de Presidente Prudente","",,,,,,,,,,,,,1,,,,
"23/2/2015, no Pavilhão de pós-graduação do Instituto de Economia da Unicamp 9:30","",,,,,,,,,,,,,2,,,,
"29/4/2015
local: Faculdade de Arquitetura e Urbanismo da USP","",,,,,,,,,,,,,3,,,,
"15/6/2015","",,,,,,,,,,,,,4,,,,
"7/3/2016","",,,,,,,,,,,,,5,,,,
"29/8/2016","",,,,,,,,,,,,,7,,,,
"25/11/2016","",,,,,,,,,,,,,8,,,,
"24/10/2014","",,,,,,,,,,,,,9,,,,
"data: 31/7/2014
local: IE Unicamp","",,,,,,,,,,,,,10,,,,
"","9/3/2015",,,,,,,,,,,,,,0,,,
"17/2/2016","",,,,,,,,,,,,,,1,,,
"Na pós-graduação da FAUUSP 
10/6/2016","",,,,,,,,,,,,,,2,,,
"1/8/2016
na Faculdade de Arquitetura","",,,,,,,,,,,,,,3,,,
"data: 27/09/2013","data: 27/09/2013",,,,,,,,,,,,,,,0,,
"01/11/2013
Local: Faculdade de Direito da Universidade de São Paulo","",,,,,,,,,,,,,,,1,,
"data: 6 de junho de 2014","",,,,,,,,,,,,,,,2,,
"3/6/2014","",,,,,,,,,,,,,,,3,,
"6/10/2014
local: Faculdade de Arquitetura e Urbanismo da UFMG, Belo Horizonte","",,,,,,,,,,,,,,,4,,
"15/9/2014
Local: Instituto de Economia da Unicamp","",,,,,,,,,,,,,,,5,,
"16/12/2014, no IE Unicamp","",,,,,,,,,,,,,,,6,,
"6/3/2015","",,,,,,,,,,,,,,,7,,
"","data: 23/12
local: IE-Unicamp",,,,,,,,,,,,,,,8,,
"13/5/2015
tipo de banca: Proposal Defense
A banca é internacional mas foi realizada por skype e eu estava no Brasil","",,,,,,,,,,,,,,,9,,
"Qualifying Review Examination
4/12/2012
por Skype
Eu estava em Nova York, como pesquisadora visitante na CUNY, e a candadidata e os outros membros da banca na Virginia Tech","",,,,,,,,,,,,,,,10,,
"data 8/10
horário 14 horas","",,,,,,,,,,,,,,,12,,
"data: 24/11, 16 horas","",,,,,,,,,,,,,,,13,,
"26/10/2016","",,,,,,,,,,,,,,,15,,
"23/3/2017
no Pavilhão de Pós Graduação do Instituto de Economia da Unicamp","",,,,,,,,,,,,,,,16,,
"24/3, 15 horas, no Campus de São Bernardo da UFABC","",,,,,,,,,,,,,,,17,,
"11/4/2017 no Pavilhão de Pós-Graduação do Instituto de Economia da Unicamp","",,,,,,,,,,,,,,,18,,
"25/8/2017","",,,,,,,,,,,,,,,19,,
"1/8/2015
no IFCH, Unicamp
orientador Arlete Moysés Rodrigues","",,,,,,,,,,,,,,,20,,
"data: 12/11/2012","",,,,,,,,,,,,,,,,7,
"data: 13/11/2012","",,,,,,,,,,,,,,,,8,
"13/11/2012","",,,,,,,,,,,,,,,,9,
"10 de dezembro de 2013, Faculdades Campinas, Barão Geraldo, Campinas","",,,,,,,,,,,,,,,,10,
"data: 15/8/2014
local: Instituto de Economia da Unicamp
Orientador: Humberto Miranda do Nascimento","",,,,,,,,,,,,,,,,11,
"2/7/2015
Participei da banca como orientadora","",,,,,,,,,,,,,,,,12,
"8/7/2015
no Instituto de Economia da Unicamp
nota: 9,5","",,,,,,,,,,,,,,,,13,
"3/12/2015","",,,,,,,,,,,,,,,,14,
"14/2/2017
Local: Faculdade de Arquitetura e urbanismo da USP","",,,,,,,,,,,,,,,,15,
"19/6/2017
no pavilhão de graduação do Instituto de Economia da Unicamp","",,,,,,,,,,,,,,,,16,
"data: 4/7/2017","",,,,,,,,,,,,,,,,17,
"Comissão para seleção das teses a serem indicadas para o prêmio","",,,,,,,,,,,,,,,,,3
