NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"ESQUERDO, JÚLIO CÉSAR DALLA MORA","ESQUERDO, JÚLIO CÉSAR DALLA MORA","3","",,43,,,,,,
"COUTINHO, ALEXANDRE CAMARGO","COUTINHO, ALEXANDRE CAMARGO","4","",,43,,,,,,
"Claudia Maria Bauzer Medeiros","Medeiros, Claudia Bauzer","5","",,43,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",,44,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,44,,,,,,
"Silvania Maria de Resende","RESENDE, Silvania Maria de","3","6707667227918280",,44,,,,,,
"Henrique Aparecido da Rocha","ROCHA, Henrique Aparecido da","4","",,44,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,0,,,,,
"Gilberto Camara","CAMARA, G.","1","0333390666972274",,,1,,,,,
"Marco Antonio Casanova","CASANOVA, M. A.","2","0400232298849115",,,1,,,,,
"A. Hemerly","HEMERLY, A.","3","",,,1,,,,,
"Geovane Cayres Magalhaes","MAGALHAES, G.","4","",,,1,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","5","4643608666899616",,,1,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,0,,,,
"Fatima Pires","PIRES, F.","2","",,,,0,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,1,,,,
"R. ZICARI","ZICARI, R.","2","",,,,1,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,2,,,,
"Alberto Henrique Frade Laender","LAENDER, Alberto Henrique Frade","1","9089204821424223",,,,3,,,,
"Karla Albuquerque de Vasconcelos Borges","BORGES, Karla Albuquerque de Vasconcelos","2","",,,,3,,,,
"Joyce C P Carvalho","CARVALHO, Joyce C P","3","",,,,3,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",,,,3,,,,
"Altigran Soares da Silva","SILVA, Altigran Soares da","5","3405503472010994",,,,3,,,,
"Clodoveu Davis Jr","DAVIS JR, Clodoveu","6","0471595469074043",,,,3,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,4,,,,
"Cugler, Daniel Cintra","Cugler, Daniel Cintra","1","",,,,5,,,,
"Claudia Maria Bauzer Medeiros","Medeiros, Claudia Bauzer","2","",,,,5,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,0,,,
"Ana Carolina Salgado","SALGADO, A. C.","1","",,,,,1,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,1,,,
"Fatima Pires","PIRES, F.","1","",,,,,2,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,2,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,3,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,0,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,1,,
"Paulo Sérgio Sampaio de Aragão","ARAGÃO, Paulo Sérgio Sampaio de","2","",,,,,,1,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",,,,,,2,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,,2,,
"Marcos André Gonçalves","GONÇALVES, Marcos André","3","3457219624656691",,,,,,2,,
"Edward A Fox","FOX, Edward A","4","",,,,,,2,,
"Renato Fileto","FILETO, Renato","1","6405951782839858",,,,,,3,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,,3,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",,,,,,4,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,,4,,
"Ed M Hallerman","HALLERMAN, Ed M","3","",,,,,,4,,
"Marcos André Gonçalves","GONÇALVES, Marcos André","4","3457219624656691",,,,,,4,,
"Edward A Fox","FOX, Edward A","5","",,,,,,4,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",,,,,,5,,
"Jose Perez-Alcazar","PEREZ-ALCAZAR, Jose","2","",,,,,,5,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",,,,,,5,,
"Joao Carlos Setubal","SETUBAL, Joao Carlos","4","0527652166877006",,,,,,5,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",,,,,,6,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,,6,,
"André Santanchè","SANTANCHÈ, André","3","5121623021406209",,,,,,6,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",,,,,,7,,
"Jaudete Daltio","DALTIO, Jaudete","2","7771072815395107",,,,,,7,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",,,,,,7,,
"Evandro Baccarin","BACCARIN, E.","1","1346756040555388",,,,,,8,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",,,,,,8,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","3","1870389730408675",,,,,,8,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,0,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,,0
"Max Egenhofer","EGENHOFER, Max","2","",,,,,,,,0
"Elisa Bertino","BERTINO, Elisa","3","",,,,,,,,0
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,,1
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,,2
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,,3
"Claudia Maria Bauzer Medeiros","Medeiros, Claudia Bauzer","1","",,,,,,,,4
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",,,,,,,,5
