SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"141","Agrupamento por Floresta de Caminhos Ótimos com Aplicações em Análise de Imagens","Tese de doutorado","",9
"158","Segmentação Interativa de Imagens Naturais baseada na Transformada Imagem-Floresta","Iniciação científica","",9
"169","","Orientação de outra natureza","",9
"171","Análise de Imagens de Parasitos Intestinais do Homem","Orientação de outra natureza","",9
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",9
"184","Semi-Automatic Classification of Remote Sensing Images","Tese de doutorado","",9
"202","Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais","Dissertação de mestrado","",9
"203","Novos algoritmos de aprendizado para classificação de padrões por floresta de caminhos ótimos","Dissertação de mestrado","",9
"204","Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico","Tese de doutorado","",9
"78","Classificação supervisionada de padrões por florestas de caminhos ótimos","Tese de doutorado","",10
"83","Um modelo discreto para reconhecimento e delineamento de objetos em imagens","Tese de doutorado","",10
"105","Registro de imagens 3D do Cérebro Humano","Dissertação de mestrado","",10
"141","Agrupamento por Floresta de Caminhos Ótimos com Aplicações em Análise de Imagens","Tese de doutorado","",10
"158","Segmentação Interativa de Imagens Naturais baseada na Transformada Imagem-Floresta","Iniciação científica","",10
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",10
"184","Semi-Automatic Classification of Remote Sensing Images","Tese de doutorado","",10
"202","Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais","Dissertação de mestrado","",10
"203","Novos algoritmos de aprendizado para classificação de padrões por floresta de caminhos ótimos","Dissertação de mestrado","",10
"204","Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico","Tese de doutorado","",10
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",11
"83","Um modelo discreto para reconhecimento e delineamento de objetos em imagens","Tese de doutorado","",12
"105","Registro de imagens 3D do Cérebro Humano","Dissertação de mestrado","",12
"158","Segmentação Interativa de Imagens Naturais baseada na Transformada Imagem-Floresta","Iniciação científica","",12
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",12
"203","Novos algoritmos de aprendizado para classificação de padrões por floresta de caminhos ótimos","Dissertação de mestrado","",12
"204","Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico","Tese de doutorado","",12
"65","Uma Plataforma de Hardware para Processamento de Imagens baseada na Transformada Imagem-Floresta","Dissertação de mestrado","",13
"66","Segmentação de Imagens pela Transformada Imagem-Floresta","Dissertação de mestrado","",13
"75","Descritores de forma baseados em tensor scale","Dissertação de mestrado","",13
"77","Segmentação de Imagens de Parasitos Intestinais do Homem","Dissertação de mestrado","",13
"80","Análise de Plantações por Índices de Vegetação obtidos de Imagens de Satélite","Iniciação científica","",13
"82","Projeto de Interfaces Gráficas","Iniciação científica","",13
"85","Visualização 3D baseada em Pontos","Iniciação científica","",13
"202","Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais","Dissertação de mestrado","",14
"227","Aprendizado de máquina com anotação em tempo real","Tese de doutorado","",14
"256","Avaliação de uma nova técnica (TF-TEST MODIFIED) destinada ao diagnóstico de parasitos intestinais em amostras fecais","Dissertação de mestrado","",14
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",15
"184","Semi-Automatic Classification of Remote Sensing Images","Tese de doutorado","",15
"202","Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais","Dissertação de mestrado","",15
"203","Novos algoritmos de aprendizado para classificação de padrões por floresta de caminhos ótimos","Dissertação de mestrado","",15
"204","Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico","Tese de doutorado","",15
"183","Recuperação de imagens por conteúdo usando realimentação de relevância e classificador por floresta de caminhos ótimos","Tese de doutorado","",16
"184","Semi-Automatic Classification of Remote Sensing Images","Tese de doutorado","",16
"202","Aglomeração de pixels por florestas de caminhos ótimos e sua aplicação em Segmentação de Fundo Imagens Naturais","Dissertação de mestrado","",16
"204","Caracterização e Reconhecimento de Faces: Uma Abordagem com Respaldo Biológico","Tese de doutorado","",16
"227","Aprendizado de máquina com anotação em tempo real","Tese de doutorado","",16
"228","Interactive Segmentation of Objects in Image and Video using Graphs and Fuzzy Models of Content Knowledge","Tese de doutorado","",16
"227","Aprendizado de máquina com anotação em tempo real","Tese de doutorado","",17
"228","Interactive Segmentation of Objects in Image and Video using Graphs and Fuzzy Models of Content Knowledge","Tese de doutorado","",17
"320","Interactive Image Analysis: From Segmentation to Classification","Tese de doutorado","Anotação Multi-Rótulos de Bancos de Imagens Naturais com Supervisão Mínima",17
"323","A Fast and Robust Negative Mining Approach for User Enrollment in Face Recognition Systems","Dissertação de mestrado","",17
"324","Medical Image Segmentation using Statistical and Fuzzy Object Shape Models","Dissertação de mestrado","",17
"326","Validação da Técnica de TF-TEST Quantified para o Diagnóstico da Esquistossomíase Mansônica","Dissertação de mestrado","",17
"363","Estudo, Implementação e Teste de Rotinas para Reconhecimento de Faces em Andróide","Iniciação científica","",17
"364","Interactive Segmentation of Multiple 3D Objects in Medical Images by Optimum Graph Cuts","Dissertação de mestrado","",17
"379","","Orientação de outra natureza","",17
"380","Novos Algoritmos de Aprendizado de Máquina por Floresta de Caminhos Ótimos","Tese de doutorado","",17
