DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PRODUTO-TECNOLOGICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"QUALIS B3","",84,,,,,,,,,,,,,,,
"Received Award of Honorable Mention for the Best Student Paper.
QUALIS B3","",85,,,,,,,,,,,,,,,
"Qualis B3","",86,,,,,,,,,,,,,,,
"Received the award of the 2nd best PhD Thesis.","",87,,,,,,,,,,,,,,,
"Qualis A2.http://dx.doi.org/10.1109/ICPR.2010.1012","",88,,,,,,,,,,,,,,,
"Qualis B4. to appear in IEEE Xplore","",89,,,,,,,,,,,,,,,
"Qualis B4.","",90,,,,,,,,,,,,,,,
"Qualis B4.","",91,,,,,,,,,,,,,,,
"Qualis B4. to appear in IEEE Xplore","",92,,,,,,,,,,,,,,,
"Qualis B2. http://dx.doi.org/10.1109/IEMBS.2010.5627634","",93,,,,,,,,,,,,,,,
"Qualis B3","",96,,,,,,,,,,,,,,,
"Qualis B3","",97,,,,,,,,,,,,,,,
"qualis B3","",98,,,,,,,,,,,,,,,
"qualis A2","qualis A2",101,,,,,,,,,,,,,,,
"Qualis A2","",102,,,,,,,,,,,,,,,
"Qualis A2.","",103,,,,,,,,,,,,,,,
"Qualis B3","",107,,,,,,,,,,,,,,,
"Qualis B1
aluna","",109,,,,,,,,,,,,,,,
"Qualis B4
ex-aluno","",110,,,,,,,,,,,,,,,
"Qualis B1
IEEE Xplore","",111,,,,,,,,,,,,,,,
"Qualis A1","",112,,,,,,,,,,,,,,,
"Qualis A1
aluno","",113,,,,,,,,,,,,,,,
"Qualis A1
aluno","",114,,,,,,,,,,,,,,,
"Qualis A2","",115,,,,,,,,,,,,,,,
"Qualis A2
aluno","",116,,,,,,,,,,,,,,,
"B1","",120,,,,,,,,,,,,,,,
"A1, aluna de doutorado","",122,,,,,,,,,,,,,,,
"B2, 10.1007/978-3-642-40246-3_29","",124,,,,,,,,,,,,,,,
"aluno de doutorado, artigo mostra que nosso método ganhou a competição.","",125,,,,,,,,,,,,,,,
"aluno de doutorado, B1","",126,,,,,,,,,,,,,,,
"2o lugar no WTD, aluno de doutorado.","",127,,,,,,,,,,,,,,,
"10.1007/978-3-319-02895-8_19, B3","",128,,,,,,,,,,,,,,,
"Aluno de mestrado.","",131,,,,,,,,,,,,,,,
"Aluno de mestrado. A1","",133,,,,,,,,,,,,,,,
"aluno de mestrado.","",134,,,,,,,,,,,,,,,
"to appear. Aluno de doutorado, A1","",135,,,,,,,,,,,,,,,
"ex-aluna de doutorado, A1","",136,,,,,,,,,,,,,,,
"A1","",137,,,,,,,,,,,,,,,
"B3.","",138,,,,,,,,,,,,,,,
"doi: 10.1117/12.2077607","",140,,,,,,,,,,,,,,,
"10.2312/eurova.20151098","",142,,,,,,,,,,,,,,,
"Título dos Anais: SPIE on Medical Imaging: Image Processing","",151,,,,,,,,,,,,,,,
"to appear","",152,,,,,,,,,,,,,,,
"Trabalho de melhoria de imagens através de reagentes para processamento e análise computadorizada.","",153,,,,,,,,,,,,,,,
"","Fator de impacto 0.913 (2008) QUALIS B1 (Computação)",,0,,,,,,,,,,,,,,
"Contribuição ITU-T-39-12 (Gerou patente para o CPqD - Telebrás)","",,1,,,,,,,,,,,,,,
"Fator de impacto 4.004 (2008) QUALIS A1 (computação)","",,2,,,,,,,,,,,,,,
"Mestrado - Bruno Santos Cunha - Concluído em 2001 (IC-UNICAMP)
Fator de impacto 3.279 (2008) - QUALIS A1 (Computação)","",,3,,,,,,,,,,,,,,
"Doutorado --- Renato Stehling --- Concluído em 2002 (IC-UNICAMP)
Fator de impacto 1.733 (2008) -- QUALIS B1","",,4,,,,,,,,,,,,,,
"QUALIS B1, among the top 25 hottest papers in this journal (ScienceDirect) from Apr to Jun 2005","",,5,,,,,,,,,,,,,,
"","Fator de impacto 5.960 (2008) QUALIS A1 (Computação)",,6,,,,,,,,,,,,,,
"Fator de impacto 4.004 (2008) QUALIS A1 (Computação)","",,7,,,,,,,,,,,,,,
"Doutorado - Ricardo Torres  - Concluído em 2004 (IC-UNICAMP)
Fator de impacto 3.279 (2008) QUALIS A1 (Computação)","",,8,,,,,,,,,,,,,,
"Mestrado - Felipe Bergo   - Concluído em 2004 (IC-UNICAMP)
Fator de impacto 4.004 (2008) QUALIS A1 (Computação)","",,9,,,,,,,,,,,,,,
"Mestrado - Romaric Audigier - Concluído em 2004 (FEEC-UNICAMP)
Fator de impacto 1.192 (2008) QUALIS B1 (Computação)","",,10,,,,,,,,,,,,,,
"Doutorado - Ricardo Torres  - Concluído em 2004 (IC-UNICAMP)
Qualis A2, among the top 25 hottest papers in this journal (ScienceDirect) from Jan to Mar
 2007.","",,12,,,,,,,,,,,,,,
"Doutorado - Felipe Bergo   - Concluído em 2008 (IC-UNICAMP)
Doutorado - Paulo Miranda   - Concluído em 2009 (IC-UNICAMP)
Doutorado - Leonardo Rocha  - Concluído em 2008 (FEEC-UNICAMP)
Fator de impacto 1.331 (2008) QUALIS B1 (Computação), A1 (Eng. IV), A2 (Matemática)","",,13,,,,,,,,,,,,,,
"Fator de impacto 1.055 (2008) QUALIS A2 nas Eng. IV
Doutorado - João Paulo Papa  - Concluído em 2008 (IC-UNICAMP)","",,14,,,,,,,,,,,,,,
"Artigo submetido quando o co-autor era aluno de doutorado.
Doutorado - Ricardo Torres  - Concluído em 2004 (IC-UNICAMP)
QUALIS A1. Among the top 25 hottest papers in this journal (ScienceDirect) from Oct to Dec 2008","",,15,,,,,,,,,,,,,,
"","Doutorado - Leonardo Rocha  - Concluído em 2008 (FEEC-UNICAMP)
Doutorado - Fábio Cappabianco - Andamento (IC-UNICAMP)
Fator de impacto em 2008: 0.415 QUALIS A2 nas Engenharias IV",,17,,,,,,,,,,,,,,
"Doutorado - João Paulo Papa  - Concluído em 2008 (IC-UNICAMP) 
Fator de impacto 0.415 (2008) QUALIS A2 nas Engenharias IV","",,18,,,,,,,,,,,,,,
"Doutorado - Felipe Bergo   - Concluído em 2008 (IC-UNICAMP)
Doutorado - Paulo Miranda   - Concluído em 2009 (IC-UNICAMP)
Doutorado - Leonardo Rocha  - Concluído em 2008 (FEEC-UNICAMP)
Fator de impacto 1.055 (2008) QUALIS A2 nas Engenharias IV","",,19,,,,,,,,,,,,,,
"Qualis A1","",,20,,,,,,,,,,,,,,
"Doutorado - Paulo Miranda   - Concluído em 2009 (IC-UNICAMP) 
Fator de impacto em 2008: 1.331 QUALIS B1 (Computação); A1 (Eng. IV); A2 (Matemática)","",,21,,,,,,,,,,,,,,
"Publicação impressa em Janeiro de 2010.
Doutorado - Paulo Miranda - Concluído em 2009 (IC-UNICAMP)
Fator de impacto 2.22 (2008) QUALIS A1 (Computação)","",,22,,,,,,,,,,,,,,
"Artigo convidado.","",,23,,,,,,,,,,,,,,
"Qualis B1","",,24,,,,,,,,,,,,,,
"Qualis B1
ex-aluno da FEEC","",,25,,,,,,,,,,,,,,
"Qualis B5
ex-aluno","",,26,,,,,,,,,,,,,,
"Qualis B2 na Geociência","",,27,,,,,,,,,,,,,,
"Qualis A1.
ex-aluno","",,28,,,,,,,,,,,,,,
"Qualis B1, among the top 25 hottest papers in this journal (ScienceDirect) from Apr to Jun 2010","",,29,,,,,,,,,,,,,,
"Qualis A1
aluno","",,30,,,,,,,,,,,,,,
"Qualis B1","",,31,,,,,,,,,,,,,,
"Qualis B2.","",,32,,,,,,,,,,,,,,
"Qualis A1
ex-aluno e aluno","",,33,,,,,,,,,,,,,,
"Qualis A1
aluno","",,34,,,,,,,,,,,,,,
"Qualis A1","",,36,,,,,,,,,,,,,,
"Qualis A1
ex-aluno","",,37,,,,,,,,,,,,,,
"Qualis A1
ex-aluno da FEEC","",,38,,,,,,,,,,,,,,
"Qualis A1
ex-aluno","",,39,,,,,,,,,,,,,,
"02/2013
Qualis A1","",,41,,,,,,,,,,,,,,
"A1","",,45,,,,,,,,,,,,,,
"aluna de doutorado. A1","",,46,,,,,,,,,,,,,,
"A1","",,47,,,,,,,,,,,,,,
"A1","",,49,,,,,,,,,,,,,,
"pp. 2089--2099, Dec 2014. Aluno de doutorado, atualmente pos-doc. B1","",,50,,,,,,,,,,,,,,
"pp. 5756--5769, Dec 2014. Aluno de doutorado.","",,51,,,,,,,,,,,,,,
"Qualis B2","",,75,,,,,,,,,,,,,,
"Patente Registrada no INPI, PI0605465-0","",,,0,,,,,,,,,,,,,
"PCT WO 2008/064442 A2. Aprovada na íntegra.","",,,1,,,,,,,,,,,,,
"INPI, PI 0802292-5","",,,2,,,,,,,,,,,,,
"Data de protocolo do PI matriz: 15.10.09
Número do processo matriz: PI0905833-8
Número do PCT: Ainda não disponível
Número de protocolo do PCT 018100037856
Data de protocolo do PCT de 08.10.10","",,,3,,,,,,,,,,,,,
"Palestrante convidado, 11/2010","",,,,0,,,,,,,,,,,,
"Palestrante convidado.","",,,,1,,,,,,,,,,,,
"Palestrante convidado","",,,,2,,,,,,,,,,,,
"palestrante convidado","",,,,3,,,,,,,,,,,,
"palestrante convidado.","",,,,4,,,,,,,,,,,,
"07/2009","",,,,5,,,,,,,,,,,,
"Co-Chair de programa","",,,,,0,,,,,,,,,,,
"Membro do comitê de programa","",,,,,1,,,,,,,,,,,
"Membro do comitê de programa e chair de sessão","",,,,,2,,,,,,,,,,,
"Membro do comitê de programa e chair de sessão","",,,,,3,,,,,,,,,,,
"Membro do comitê de programa e chair de sessão","",,,,,4,,,,,,,,,,,
"Membro do comitê de programa, co-chair da sessão de vídeo e chair de sessão","",,,,,5,,,,,,,,,,,
"Membro do comitê de programa","",,,,,6,,,,,,,,,,,
"Membro do Comitê de Programa","",,,,,7,,,,,,,,,,,
"Membro do Comitê de Programa","",,,,,8,,,,,,,,,,,
"Membro do Comitê de Programa, chair de sessão.","",,,,,9,,,,,,,,,,,
"Chairs de Tutoriais","",,,,,10,,,,,,,,,,,
"membro de comitê de programa","",,,,,11,,,,,,,,,,,
"membro de comitê de programa","",,,,,12,,,,,,,,,,,
"Membro do Comitê de Programa, Chair de Sessão","",,,,,13,,,,,,,,,,,
"Chair de sessão, membro de comitê de programa, co-autor de 2 artigos e de 1 tutorial","",,,,,14,,,,,,,,,,,
"Membro do comitê de programa, co-autor de artigo, e chair de sessão","",,,,,15,,,,,,,,,,,
"Membro do Comitê de Programa, co-autor de artigo","",,,,,16,,,,,,,,,,,
"Membro do comitê de prograpa e co-autor de artigo","",,,,,17,,,,,,,,,,,
"Membro do comitê de programa, chair de sessão e co-autor de artigo","",,,,,18,,,,,,,,,,,
"Membro do Comitê de Programa
27-29/08/2013","",,,,,19,,,,,,,,,,,
"membro de comitê de programa","",,,,,20,,,,,,,,,,,
"Chair de WTD e membro do comitê de programa","",,,,,21,,,,,,,,,,,
"chair de sessão, co-autor de artigo, e membro do comitê de programa","",,,,,22,,,,,,,,,,,
"Membro do comitê de programa, autor de artigo e palestrante convidado.","",,,,,23,,,,,,,,,,,
"Comitê de programa","",,,,,24,,,,,,,,,,,
"co-autor de artigo, chair de sessão, e membro do comitê de programa;","",,,,,25,,,,,,,,,,,
"membro de comitê de programa, autor de artigo.","",,,,,26,,,,,,,,,,,
"membro do comitê de programa","",,,,,27,,,,,,,,,,,
"membro do comitê de programa","",,,,,28,,,,,,,,,,,
"Membro do comitê de programa, chair de sessão e tutorialista","",,,,,29,,,,,,,,,,,
"Defendida em 30/08/2002","",,,,,,3,,,,,,,,,,
"O orientador principal foi o Prof. Dr. Roberto de A. Lotufo","",,,,,,5,,,,,,,,,,
"Selecionada entre as 10 primeiras dissertações no Concurso de Teses e Dissertações do Congresso da SBC em 2007.","",,,,,,7,,,,,,,,,,
"Primeiro lugar no Concurso de Teses e Dissertações do SIBGRAPI 2008.","",,,,,,8,,,,,,,,,,
"Orientador: Prof. Dr. Pedro Rezende (IC-UNICAMP)","",,,,,,13,,,,,,,,,,
"orientador principal: Jancarlo Ferreira Gomes","",,,,,,14,,,,,,,,,,
"orientador principal: Prof. Alexandre Campane Vidal","",,,,,,15,,,,,,,,,,
"Co-orientador: Giovani Chiachia","",,,,,,16,,,,,,,,,,
"orientação principal: Jancarlo Ferreira Gomes","",,,,,,18,,,,,,,,,,
"Orientador: Jancarlo Ferreira Gomes","",,,,,,23,,,,,,,,,,
"Co-orientação: Neucimar Jerônimo Leite (em memória)","",,,,,,24,,,,,,,,,,
"Defendida em 10/10/02.","",,,,,,,0,,,,,,,,,
"Primeiro lugar no Concurso de Teses e Dissertações do Congresso d SBC em 2005.","",,,,,,,1,,,,,,,,,
"Indicação ao Prêmio CAPES pelo Programa de Pós-Graduação em Ciência da Computação, UNICAMP.","",,,,,,,2,,,,,,,,,
"Indicação ao Prêmio CAPES pelo programa de pós-graduação em Biologia-Animal da UNICAMP.","",,,,,,,4,,,,,,,,,
"Co-orientador: Prof. Dr. Guido Araújo (IC-UNICAMP).","",,,,,,,6,,,,,,,,,
"Orientador: Prof. Dr. Léo Pini Magalhães (FEEC-UNICAMP)","",,,,,,,8,,,,,,,,,
"co-orientadores: Ricardo Torres, Sylvie Philipp-Foligutet, Philippe-Henri Gosselin, em co-tutela entre UNICAMP e ENSEA-UCP-França. ,","",,,,,,,9,,,,,,,,,
"Co-orientador: Prof. Dr. Anderson Rocha (IC-UNICAMP)","",,,,,,,10,,,,,,,,,
"Co-orientação: Pedro Jussieu Rezende","",,,,,,,11,,,,,,,,,
"Passou para o doutorado direto","",,,,,,,12,,,,,,,,,
"co-orientadores: Pedro Jussieu de Rezende, Alexandru Telea, e Jos Roerdink, em co-tutela University of Groningen e UNICAMP. Nos últimos 2 anos recebeu bolsa Ubbo Emmius.","co-orientador: Pedro Jussieu de Rezende

Paulo Eduardo Rauber. Effective image annotation through active learning applied
to natural image databases and malignant melanoma diagnosis. Co-tutela RuG-
Holanda e UNICAMP, CAPES, Ubbo Emmius, co-orientação: (1) Alexandre Falcao,
(1) Alexandru Telea, (2) Pedro Rezende, (2) Jos Roerdink, desde Agosto de 2012.",,,,,,,13,,,,,,,,,
"co-orientação: Alexandre Vidal (Eng. do Petróleo, UNICAMP)","",,,,,,,14,,,,,,,,,
"orientador: Marcelo Henriques (UFMS)","",,,,,,,15,,,,,,,,,
"supervisor principal: Ricardo Torres","",,,,,,,,3,,,,,,,,
"Pós-doutorado. Supervisor principal: Dr. Fernando Cendes (FCM-UNICAMP)","",,,,,,,,,5,,,,,,,
"O responsável foi o Professor Dr. Li Li Min da Faculdade de Ciências Médicas da UNICAMP","",,,,,,,,,6,,,,,,,
"Financiamento Samsung","",,,,,,,,,12,,,,,,,
"Maio/2011","",,,,,,,,,,0,,,,,,
"Março/2010","",,,,,,,,,,1,,,,,,
"março/2009","",,,,,,,,,,2,,,,,,
"FCM/UNICAMP","",,,,,,,,,,,1,,,,,
"School of Computer Science","",,,,,,,,,,,2,,,,,
"Maio/2009","",,,,,,,,,,,3,,,,,
"março/2013","",,,,,,,,,,,,0,,,,
"Instituto Politécnico da Universidade do Estado do Rio de Janeiro (IPRJ-UERJ), campus de Nova Friburgo, RJ","",,,,,,,,,,,,4,,,,
"28/09/2010","",,,,,,,,,,,,,0,,,
"Prof. Dr. Roberto Hirata Junior","",,,,,,,,,,,,,1,,,
"10/2009","",,,,,,,,,,,,,3,,,
"Co-orientação: João Paulo Papa (UNESP/Bauru)","",,,,,,,,,,,,,,0,,
"co-orientação: Jancarlo Ferreira Gomes","",,,,,,,,,,,,,,2,,
"co-orientação: Prof. Jancarlo Gomes (FCM-UNICAMP).","",,,,,,,,,,,,,,,0,
"co-orientação: Jeferson Alex dos Santos (UFMG)","",,,,,,,,,,,,,,,2,
"Thiago Vallin Spina. Medical Image Segmentation: How to integrate object appearance/shape models and interactive correction with minimum user intervention?
FAPESP 2015/09446-7","",,,,,,,,,,,,,,,,0
