NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SEMINARIO","Adaptatividade para elementos finitos em seus vários aspectos","1991","Brasil","Português","NAO","","","NAO",21
"SEMINARIO","Aplicações da computação orientada para objetos em computação científica","1991","Brasil","Português","NAO","","","NAO",22
"SIMPOSIO","Object oriented programming applied to massively parallel computing","1992","Brasil","Inglês","NAO","","","NAO",23
"CONGRESSO","Aplicação da programação orientada para objetos em computação científica","1995","Brasil","Português","NAO","","","NAO",24
"SIMPOSIO","Paralelização de calculos de elementos finitos utilizando a programação orientada para objetos","1997","Brasil","Português","NAO","","","NAO",25
"SEMINARIO","OOPAR : an object oriented environment for parallel programming","1997","Estados Unidos","Inglês","NAO","","","NAO",26
"SIMPOSIO","h-p Adaptivity for the finite element method in an object oriented framework","1999","Brasil","Inglês","NAO","","","NAO",27
"CONFERENCIA","On the mathematical formulation and object oriented implementation of 3D h-p adaptive finite element meshes","2000","Finlândia","Inglês","NAO","","","NAO",28
"SEMINARIO","Sur le développement d'outils orientés objets pour le calcul scientifique","2000","França","Francês","NAO","","","NAO",29
"CONFERENCIA","On the Brazilian Education and Research System","2004","Coréia do Sul","Inglês","NAO","","","NAO",30
"SEMINARIO","On the Development of Object Oriented Scientific Software","2004","Coréia do Sul","Inglês","NAO","","","NAO",31
"SEMINARIO","Seminário em Métodos Computacionais em Engenharia","1991","Brasil","Português","NAO","","","NAO",32
"CONGRESSO","Estimativa a posteriori do erro em termos de quantidade de interesse","2008","Brasil","Português","NAO","","","NAO",33
"CONFERENCIA","Desenvolvimento de ferramenta computacional para cálculo de índice de proditividade em pocos verticais e horizontas","2008","Brasil","Português","NAO","","","NAO",34
"CONFERENCIA","Emprego de funcoes de base singulares em malhas de Galerkin descontínuo","2008","Brasil","Português","NAO","","","NAO",35
"CONGRESSO","Um modelo numérico para a simulação de injeção de vapor em reservatórios","2011","Brasil","Português","NAO","","","NAO",36
"CONGRESSO","Finite Elements Approximation of Young Concrete through Viscoelasticity.","2012","Brasil","Português","NAO","","","NAO",37
"CONGRESSO","MULTIPHYSICS SIMULATION","2012","Brasil","Português","NAO","","","NAO",38
"CONGRESSO","Semelhança entre o método da dupla projeção Bubnov-Galerkin e o Método de Petrov Galerkin","2011","Brasil","Português","NAO","","","NAO",39
"CONGRESSO","O impacto do uso de funções de enriquecimento no método de Galerkin descontínuo","2009","Brasil","Português","NAO","","","NAO",40
"COMUNICACAO","Numerical Solution of the Girkmann Problem by Finite Element Method Continuos and Discontinuous","2010","Brasil","Português","NAO","","","NAO",41
"CONGRESSO","On the Numerical Simulation of Well Stability","2013","Brasil","Inglês","NAO","","","NAO",42
"CONGRESSO","A new methodological approach for elastoplastic calculations","2014","Brasil","Português","NAO","","A new methodological approach for elastoplastic calculations","NAO",43
"CONGRESSO","The construction of Multiscale Hybrid-Mixed (MHM) finite elements spaces using the object oriented computation library NeoPZ","2015","Argentina","Inglês","NAO","","The construction of Multiscale Hybrid-Mixed (MHM) finite elements spaces using the object oriented computation library NeoPZ","NAO",44
"CONGRESSO","Construction of Hdiv finite elements spaces for three-dimensional geometries","2015","Argentina","Inglês","NAO","","Construction of Hdiv finite elements spaces for three-dimensional geometries","NAO",45
"SEMINARIO","OOPAR : an object oriented environment for parallel programming","1998","Bélgica","Inglês","NAO","","","NAO",46
