NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",16,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",17,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",18,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",19,,,,,
"Renato Gomes Damas","DAMAS, R. G.","2","9705909592533525",19,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",20,,,,,
"Renato Gomes Damas","DAMAS, R. G.","2","9705909592533525",20,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",21,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",22,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",23,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",24,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",25,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",26,,,,,
"Fábio Rodrigo Barbado Fehr","FEHR, F. R. B.","2","",26,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",27,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",28,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",29,,,,,
"José Sérgio Rodrigues ALVES","ALVES, J. S. R.","2","",29,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",30,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",31,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",32,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",33,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",34,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",35,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",36,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",37,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",38,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",39,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",40,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",41,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",42,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",43,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",44,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",45,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",46,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",47,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",48,,,,,
"Erick Slis Raggio Santos","SANTOS, E. S. R.","2","6586851137916033",48,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",49,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",50,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",51,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",52,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",53,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",54,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",55,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",56,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",57,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",58,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",59,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",60,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",61,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",62,,,,,
"Luís Guilherme Decourt","Decourt, L. G.","2","",62,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",63,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",64,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",65,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",66,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",67,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",68,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",69,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",70,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",71,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",72,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",73,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",74,,,,,
"Fábio Amaral de Castro","CASTRO, F. A.","2","",74,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",75,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,0,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,1,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,2,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,0,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,1,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,2,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,3,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,4,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,5,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,6,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,7,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,0,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,1,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,2,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,3,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,4,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,5,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,6,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,7,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,0,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,1,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,2,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,3,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",,,,,,0
