NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Wavelets and adaptive grids for the discontinuous Galerkin method","2005","","Inglês","MEIO_DIGITAL","","NAO","10.1007/s11075-004-3626-9","Wavelets and adaptive grids for the discontinuous Galerkin method","NAO",19,
"COMPLETO","A finite element model for three dimensional hydraulic fracturing","2006","","Inglês","MEIO_DIGITAL","[http://labmec.fec.unicamp.br]","NAO","10.1016/j.matcom.2006.06.020","A finite element model for three dimensional hydraulic fracturing","NAO",20,
"COMPLETO","Systematic and generic construction of shape functions for p-adaptive meshes of multidimensional finite elements","2009","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.cma.2008.12.022","Systematic and generic construction of shape functions for p-adaptive meshes of multidimensional finite elements","NAO",21,
"COMPLETO","A new procedure for the construction of hierarchical high order Hdiv and Hcurl finite element spaces","2012","","Inglês","MEIO_DIGITAL","[http://www.sciencedirect.com/science/article/pii/S0377042712003998]","NAO","10.1016/j.cam.2012.09.026","","NAO",22,
"COMPLETO","Application of a combined continuous-discontinuous Galerkin finite element method for the solution of the Girkmann problem","2013","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.camwa.2013.03.015]","NAO","10.1016/j.camwa.2013.03.015","","NAO",23,
"COMPLETO","A combined continuous-discontinuous finite element method for convection-diffusion problems","2007","","Inglês","IMPRESSO","","NAO","","","NAO",24,
"COMPLETO","Computational Mechanics an Area that Blossom in Brazil","1999","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",25,
"COMPLETO","Uma Técnica Elemento-Por-Elemento Livre de Matrizes Para Avaliação de Resíduos","1995","Brasil","Português","IMPRESSO","","NAO","","","NAO",26,
"COMPLETO","A fully automatic hp-adaptivity","2002","","Inglês","IMPRESSO","[http://link.springer.com/article/10.1023%2FA%3A1015192312705]","NAO","","","NAO",27,
"COMPLETO","A goal-oriented <i>hp</i> -adaptive discontinuous Galerkin approach for biharmonic problems","2013","","Inglês","MEIO_DIGITAL","","NAO","10.1002/nme.4596","A goal-oriented <i>hp</i> -adaptive discontinuous Galerkin approach for biharmonic problems","NAO",28,
"COMPLETO","Definition of a P-interpolating space of hierarchical bases of finite elements on the pyramid","2014","","Inglês","MEIO_DIGITAL","[http://authors.elsevier.com/a/1PWzK5YnCHQLW]","NAO","10.1016/j.laa.2014.07.033","","NAO",29,
"COMPLETO","An improved numerical integration algorithm for elastoplastic constitutive equations","2015","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.compgeo.2014.10.013]","NAO","10.1016/j.compgeo.2014.10.013","An improved numerical integration algorithm for elastoplastic constitutive equations","NAO",30,
"COMPLETO","Accelerating engineering software on modern multi-core processors","2015","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.advengsoft.2014.12.003]","NAO","10.1016/j.advengsoft.2014.12.003","","NAO",31,
"COMPLETO","A comparative numerical study of different finite element formulations for 2D model elliptic problems: Continuous and discontinuous Galerkin, mixed and hybrid methods","2016","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.finel.2016.02.009]","NAO","10.1016/j.finel.2016.02.009","","NAO",32,
"COMPLETO","Implementation of continuous","2015","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.camwa.2015.06.033]","NAO","10.1016/j.camwa.2015.06.033","","NAO",33,
"COMPLETO","Hierarchical high order finite element bases for H(div) spaces based on curved meshes for two-dimensional regions or manifolds","2016","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.cam.2016.01.053]","NAO","10.1016/j.cam.2016.01.053","","NAO",34,
"COMPLETO","Two-dimensional hp adaptive finite element spaces for mixed formulations","2016","","Inglês","MEIO_DIGITAL","[doi:10.1016/j.matcom.2016.03.009]","NAO","10.1016/j.matcom.2016.03.009","","NAO",35,
"COMPLETO","Three dimensional hierarchical mixed finite element approximations with enhanced primal variable accuracy","2016","","Inglês","MEIO_DIGITAL","","SIM","10.1016/j.cma.2016.03.050","Three dimensional hierarchical mixed finite element approximations with enhanced primal variable accuracy","NAO",36,
"COMPLETO","The Implementation Of Directional Boundary Conditions For Finite Element Computations With Iterative Solvers.","1987","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",37,
"NAO_INFORMADO","Mixed finite element approximations based on 3D hp-adaptive curved meshes with two types of H(div)-conforming spaces","2017","","Inglês","NAO_INFORMADO","","NAO","","","NAO",,0
"NAO_INFORMADO","Two dimensional mixed finite element approximations for elliptic problems with enhanced accuracy for the potential and flux divergence","2017","","Inglês","NAO_INFORMADO","","NAO","","","NAO",,1
