NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Luiz Carlos Dias","DIAS, L. C.","1","2941335797138677",,,31,
"Antonio Claudio Herrera Braga","BRAGA, A. C. H.","2","",,,31,
"Carlos Roque Duarte Correia","CORREIA, C. R. D.","3","",,,31,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,,32,
"Ronaldo Aloise Pilli","PILLI, R. A.","2","",,,32,
"Carlos Roque Duarte Correia","CORREIA, C. R. D.","1","",,,32,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","4","",,,33,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,,33,
"Sisi Marcondes Paschoal","PASCHOAL, S. M.","2","",,,33,
"Carlos Henrique Inácio Ramos","RAMOS, C. H. I.","3","",,,33,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,,34,
"Fernando Antônio Santos Coelho","COELHO, F. A. S.","1","",,,34,
"Paulo José Samenho Moran","Moran, P. J. S.","2","",,,34,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,35,
"Maria da Graça Stupiello Andrietta","ANDRIETTA, M. G. S.","2","",,,35,
"Marco Aurélio Zezzi Arruda","ARRUDA, M. A. Z.","3","",,,35,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,36,
"Marcelo Lancellotti","LANCELLOTTI, M.","3","",,,36,
"Ljubica Tassic","TASSIC, L.","2","",,,36,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,,37,
"Carlos Roque Duarte Correia","CORREIA, C. R. D.","2","",,,37,
"Roberto Rittner Neto","RITTNER NETO, R.","1","",,,37,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,,38,
"Fabio Cesar Gozzo","Gozzo, F. C.","2","",,,38,
"Marcos Nogueira Eberlin","EBERLIN, M. N.","1","",,,38,
"Luciana Gonzaga de Oliveira","DE OLIVEIRA, LUCIANA G.","1","",,,39,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",,,40,
"Carlos Henrique Inácio Ramos","RAMOS, C. H. I.","1","",,,40,
"Ricardo Aparício","APARICIO, R.","2","",,,40,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,41,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,42,
"Cátia Cristina Capêlo Ornelas Megiatto","MEGIATTO, C. C. C. O.","2","",,,42,
"Pedro Paulo Corbi","CORBI, P. P.","3","",,,42,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,43,
"Fabio Cesar Gozzo","Gozzo, F. C.","3","",,,43,
"Fernando Aparecido Sigoli","SIGOLI, F. A.","2","",,,43,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,44,
"Julio Cezar Pastre","PASTRE, J. C.","3","",,,44,
"Fábio Cezar Gozzo","GOZZO, F. C.","1","",,,44,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,,45,
"Carlos Roque Duarte Correia","CORREIA, C. R. D.","3","",,,45,
"Fábio Cezar Gozzo","GOZZO, F. C.","1","",,,45,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,46,
"Paulo José Samenho Moran","Moran, P. J. S.","2","",,,46,
"Marco Aurélio Zezzi Arruda","ARRUDA, M. A. Z.","3","",,,46,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,,,0
"Daniel Fábio Kawano","KAWANO, D. F.","2","",,,,0
"Daisy Machado","MACHADO, D.","3","",,,,0
