DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"","The yeast Pichia pastoris is being increasingly used as a host for expressing enzymes on a large scale, but application in directed evolution requiring efficient expression of libraries of mutants is hampered due to the time-consuming multi-step procedure which includes an intermediate bacterial host (Escherichia coli). Here we introduce a fast and highly simplified method to produce gene libraries in P. pastoris expression vectors. For the purpose of illustration, Galactomyces geotrichum lipase 1 (GGL1) was used as the catalyst in the enantioselective hydrolytic kinetic resolution of 2-methyldecanoic acid p-nitrophenyl ester, the gene mutagenesis method being saturation mutagenesis. The phosphorylated linear plasmid which is integrated in the yeast genome was obtained by combination of partially overlapped fragments using overlap extension PCR. An intermediate bacterial host is not necessary, nor are restriction enzymes. This method is also applicable when using error-prone PCR for library creation in directed evolution.",13,,,,,,,,
"Um ensaio enzimático miniaturizado com sondas fluorescentes para triagem rápida de
microrganismos produtores de esterases foi implementado e aplicado a 64 linhagens de bactérias de solo. Os melhores resultados foram validados por métodos convencionais e substratos não fluorogênicos (feniletanol acetilado e propanoilado) e confirmaram os resultados obtidos nas triagens rápidas. Os microrganismos que apresentaram atividades enzimáticas mais relevantes (razão enantiomérica E > 30) na hidrólise de ésteres e na obtenção de boas razões enantioméricas foram identificados como pertencentes ao gênero Bacillus. Parte dos microrganismos se encontra
preservada em glicerol e/ou liofilizada no IQ/UNICAMP e três linhagens serão depositadas na CBMAI do CPQBA/UNICAMP como depósitos abertos.","A miniaturized enzymatic assay using fluorescent probes to reveal esterase producing
microorganisms was optimized and applied to screen 64 soil bacterial strains. The best results were validated using traditional non-fluorogenic assays with acetyl and propanoyl phenylethanol to confirm the miniaturized results. The most active microorganisms belong to the genus Bacillus showing esterase activity and good enantiomeric ratios for the resolution of phenylethanol derivatives (E > 30). Part of the microorganisms are kept in our laboratory in glycerol or freezedried and the best microorganisms will be deposited in the CBMAI/CPQBA/UNICAMP culture
collection.",14,,,,,,,,
"Microbial oxidation potentials of extremophiles recovered from Pampo Sul oil field, Campos Basin, Brazil, in pure culture or in consortia, were investigated using high-throughput screening (HTS) and multibioreactions. Camphor (1), cis-jasmone (2), 2-methyl-cyclohexanone (3), 1,2-epoxyoctane (4), phenylethyl acetate (5), phenylethyl propionate (6), and phenylethyl octanoate (7) were used to perform multibioreaction assays. Eighty-two bacterial iso- lates were recovered from oil and formation water samples and those presenting outstanding activities in HTS assays were identified by sequencing their 16S rRNA genes. These results revealed that most microorganisms belonged to the genus Bacillus and presented alcohol dehydrogenase, monooxygenase, epoxide hydrolase, esterase, and lipase activities.","",16,,,,,,,,
"The complex bis-spiroacetal polyether ionophore salinomycin has been identified as a uniquely selective agent against cancer stem cells and is also strikingly effective in an animal model of latent tuberculosis. The basis for these important activities is unknown. We show here that deletion of the salE gene abolishes salinomycin production and yields two new analogues, in both of which the C18[DOUBLE BOND]C19 cis double bond is replaced by a hydroxy group stereospecifically located at C19, but which differ from each other in the configuration of the bis-spiroacetal. These results identify SalE as a novel dehydratase and demonstrate that biosynthetic engineering can be used to redirect the reaction cascade of oxidative cyclization to yield new salinomycin analogues for use in mechanism-of-action studies.","",17,,,,,,,,
"","Polyketides and nonribosomal peptides are natural products widely found in bacteria, fungi and plants. The biological activities associated to these metabolites bring special attention on biopharmaceutical researches. Polyketide synthases act similarly to fatty acids synthetases and the whole multienzymatic set coordinating precursor and extending units selection and reduction levels during the chain growth. Acting in a similarly orchestrated model, non-ribosomal peptide synthetases biosynthesize NRPs. &#8232;
PKSs-I and NRPSs enzymatic modules and domains are collinearly organized with the parent gene sequence. This arrangement makes possible to use degenerated PCR primers to amplify targeted regions in the genes corresponding to specific enzymatic domains as ketosynthases and acyltransferases in PKSs and adenilation domains in NRPSs. Careful analysis of this short regions allows classifying a set of organisms according to their potential to biosynthesize PKs and NRPs. &#8232;Herein we the biosynthetic potential of a set of endophytic actinobacteria from Citrus reticulata to produce PKs and NRP metabolites was evaluated. The biosynthetic profiles were compared to the antimicrobial activity. After cluster analysis, metabolic trees were generated in order to classify some of the representative sequences throughout comparison with homologous genes. Using this approach a molecular fingerprint was generated in order to direct the future studies to the most promising strains.",18,,,,,,,,
"","Biocatalysis currently is focusing on enzymatic and multi-enzymatic cascade processes instead of single steps imbedded into chemical pathways. Alongside this scientific revolution, this review provides an overview on multi-enzymatic cascades that are responsible for the biosynthesis of some terpenes, alkaloids and polyethers, which are important classes of natural products. Herein, we illustrate the development of studies inspired by multi- and chemo-enzymatic approaches to build the core moieties of polyethers, polypeptide alkaloids, piperidines and pyrrolidines promoted by the joint action of oxidoreductases, hydrolases, cyclases, transaminases and imine reductases.",19,,,,,,,,
"Herein we describe a new protocol that allows direct mass spectrometry imaging (IMS) of agar cultures. A simple sample dehydration leads to a thin solid agar, which enables the direct use of spray-based ambient mass spectrometry techniques. To demonstrate its applicability, metal scavengers siderophores were imaged directly from agar culture of S. wadayamensis and well resolved and intense images were obtained using both desorption electrospray ionization (DESI) and easy ambient sonic-spray ionization (EASI) with well-defined selective spatial distributions for the free and the metal-bound molecules, providing clues for their roles in cellular metabolism.","",20,,,,,,,,
"Tetrahydropyran rings are a common feature of complex polyketide natural products, but much remains to be learned about the enzymology of their formation. The enzyme SalBIII from the salinomycin biosynthetic pathway resembles other polyether epoxide hydrolases/cyclases of the MonB family, but SalBIII plays no role in the conventional cascade of ring opening/closing. Mutation in the salBIII gene gave a metabolite in which ring&#8197;A is not formed. Using this metabolite in&#8197;vitro as a substrate analogue, SalBIII has been shown to form pyran ring&#8197;A. We have determined the X-ray crystal structure of SalBIII, and structure-guided mutagenesis of putative active-site residues has identified Asp38 and Asp104 as an essential catalytic dyad. The demonstrated pyran synthase activity of SalBIII further extends the impressive catalytic versatility of &#945;+&#946; barrel fold proteins.","",21,,,,,,,,
"The actinobacteria Streptomyces wadayamensis A23, an endophitic strain, was recently sequenced and previous work showed qualitatively that the strain inhibits the growth of some pathogens. Herein we report the genome analysis of S. wadayamensis which reveals several antibiotic biosynthetic pathways. Using mass spectrometry, we were able to identify desferoxamines, several antimycins and candicidin, as predicted. Additionally, it was possible to con rm that the biosynthetic machinery of the strain when compared to identi ed known metabolites is far underestimated. As suggested by biochemical qualitative tests, genome encoded information reveals that the strain A23 has high capability to produce antibiotics.","",22,,,,,,,,
"We report the complete genome of Streptomyces sp. RTd22, an endophytic actinobacterium that was isolated from the roots of the Mexican sunflower Tithonia diversifolia. The bacterium's 11.1 Mb linear chromosome is predicted to encode for a large number of unknown natural products.","",23,,,,,,,,
"","The chemistry of natural products has been remarkably growing in the past few decades in Brazil. Aspects related to the isolation and identification of new natural products, as well as their biological activities, have been achieved in different laboratories working on this subject in the country. More recently, the introduction of new molecular biology tools has strongly influenced the research on natural products, mainly those produced by microorganisms, creating new possibilities to assess the chemical diversity of secondary metabolites. This paper describes some ideas on how the research on natural products can have a considerable input from molecular biology in the generation of chemical diversity. We also explore the role of microbial natural products in mediating interspecific interactions and their relevance to ecological studies. Examples of the generation of chemical diversity are highlighted by using genome mining, mutasynthesis, combinatorial biosynthesis, metagenomics, and synthetic biology, while some aspects of microbial ecology are also discussed. The idea to bring up this topic is linked to the remarkable development of molecular biology techniques to generate useful chemicals from different organisms. Here, we focus mainly on microorganisms, even though similar approaches have also been applied to the study of plants and other organisms. Investigations in the frontier of chemistry and biology require interactions between different areas, characterizing the interdisciplinarity of this research field. The necessity of a real integration of chemistry and biology is pivotal to finding correct answers to a number of biological phenomena. The use of molecular biology tools to generate chemical diversity and control biosynthetic pathways is largely explored in the production of important biologically active compounds. Finally, we briefly comment on the Brazilian organization of research in this area, the necessity of new strategies for the graduation prog",25,,,,,,,,
"Capítulo de Livro: CAPÍTULO 5: ESTRATÉGIAS GENOMA GUIADAS PARA A BUSCA DE ENZIMAS DE INTERESSE BIOTECNOLÓGICO

Informações Gerais: O conceito Biotecnologia é bastante geral e engloba uma ampla variedade de procedimentos para a modificação de organismos vivos com o objetivo de permitir e/ou melhorar a produção de um determinado bioproduto. Ao contrário de uma disciplina científica isolada, a biotecnologia trata-se de um campo multidisciplinar emergente, e envolve diversas áreas científicas, como a biologia, a genética, a química, a bioquímica, e a ciência de alimentos. Neste livro, os autores convidados retratam temas de suas pesquisas em laboratório e em sala de aula, onde muitos deles se relacionam com o cenário atual da biotecnologia e biocatálise, de forma a consolidar todos os segmentos explorados no VII Workshop de Biocatálise e Biotransformações e I Simpósio LatinoAmericano de Biocatalisis y Biotrasformaciones, realizados no ano de 2014, em Búzios, Rio de Janeiro, Brasil.
IDEALIZAÇÃO
Prof. Dr. Rodrigo Octavio Mendonça Alves de Souza
Instituto de Química ? Universidade Federal do Rio de Janeiro
ORGANIZAÇÃO E REVISÃO
Prof. Dr. Ivaldo Itabaiana Jr
Escola de Química ? Universidade Federal do Rio de Janeiro","",,1,,,,,,,
"This isolate showed high capability to promote in vitro inhibition of Xilela fastidiosa growth as well as to promote degradation of xanthan gum. Additionally, S. wadayamensis ethyl acetate extracts were able to inhibit Candida albicans pathogen. Careful analysis of the genome annotation reveals a great ability to biosynthesize antibiotic metabolites.

Bioproject: http://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241453
Biosample: http://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02692260
This Whole Genome Shotgun project has been deposited at DDBJ/EMBL/GenBank
under the accession JHDU00000000. 
GOLD CARD: Gi0071400","",,,0,,,,,,
"[1]	Esta invenção se insere no campo da biotecnologia e descreve o método de obtenção da enzima epóxido-hidrolase recombinante, obtida a partir de Streptomyces sp B1, uma actinobactéria endofítica da planta Citrus reticulata, e expressa em uma bactéria Escherichia coli geneticamente modificada pelo vetor pET29b(+) contendo a sequência gênica de interesse. São também objeto de proteção deste pedido o referido vetor e a microrganismo E. coli geneticamente modificada.
[2]	A enzima recombinante atua enantiosseletivamente na hidrólise de epóxidos racêmicos, tornando possível a obtenção de epóxidos e dióis vicinais enatiomericamente puros, os quais são compostos de grande interesse comercial por serem utilizados como intermediários ou produtos finais nas indústrias de química fina, farmacêutica e de alimentos.","",,,,1,,,,,
"Nesta conferencia apresentada durante a sessao coordenada da 28a RASBQ forma apresentados os resultados otidos para a síntese total da Crocacina D, tópico do meu trabalho de doutoramento.","",,,,,0,,,,
"Durante esta "short presentation" foram discutidos os resultados que nos levaram a propor a reatribuicao para as estruturas propostas para os espirocetais das espirofunginas A e B por Kyota e colaboradores.","",,,,,1,,,,
"CONTRIBUTION OF WOMEN SCIENTISTS? IN NATURAL PRODUCT RESEARCH","",,,,,21,,,,
"Neste seminário foram apresentados e discutidos os resultados obtidos durante o meu trabalho de doutoramento com relação à síntese total da Crocacina C, assim como os resultados obtidos e as pespectivas e expectativas com relação as sínteses das moléculas Crocacina D e Espirofunginas A e B.","",,,,,25,,,,
"Mini-curso ministrado pela Dra. Maria da Graça Stupiello Andrietta.","",,,,,,0,,,
"Supervisão durante estágio de iniciação científica; Responsável: Prof. Luiz Carlos Dias","",,,,,,,0,,
"Supervisão durante estágio de iniciação científica; Responsável: Prof. Luiz Carlos Dias","",,,,,,,1,,
"Supervisão durante estágio de iniciação científica; Responsável: Prof. Luiz Carlos Dias","",,,,,,,2,,
"Supervisão durante estágio de Iniciação científica; Responsável: Prof. Anita Jocelyne Marsaioli","",,,,,,,3,,
"Defesa da Dissertação de Mestrado","",,,,,,,,7,
"Exame de Qualificação de Mestrado","",,,,,,,,,0
"Exame de Qualificação Geral de Doutorado (Presidente da Banca)","",,,,,,,,,2
