DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Oficina ministrada durante a realização do I Encontro Brasileiro de Música Popular na Universidade. UFRGS 2015","",,,,,6,,,,,,,,,,,,,,,
"Curso ministrado dentro do programa de pós-graduação em Canção Popular (Latu Senso) oferecido pela Faculdade Santa Marcelina - maio / junho de 2015","",,,,,8,,,,,,,,,,,,,,,
"Aulas ministradas na Pós-graduação em Canção Popular oferecida pela Faculdade Santa Marcelina.","",,,,,9,,,,,,,,,,,,,,,
"Aulas ministradas como professora convidada na Pós-graduação em Canção Popular da FAculdade Santa Marcelina.","",,,,,10,,,,,,,,,,,,,,,
"Apostila desenvolvida para complementação do curso de Canto Popular do Canto do Brasil Atividade e Ensino Musical. Referência Módulo I - estudo sobre a Época de Ouro da Música Popular Brasileira (1920 a 1945), composições e intérpretes.","",,,,,,0,,,,,,,,,,,,,,
"Apostila didática para complementar o trabalho desenvolvido sobre o Módulo II do estudo do Canto Popular no Canto do Brasil Atividade e Ensino Musical. Período estudado referente aos anos de 1946 a 1962 da Música Popular Brasileira.","",,,,,,1,,,,,,,,,,,,,,
"Apostila desenvolvida para complementar os estudos de Canto Popular no Canto do Brasil Atividade e Ensino Musical. Referente ao período de 1962 a 1969 da Música Popular Brasileira. Estudo de repertório e intérpretes.","",,,,,,2,,,,,,,,,,,,,,
"II Encontro realizado na UNICAMP, entre 18 e 23 de maio. Além de mesas redondas, aulas abertas e palestras, o evento, neste segundo ano, recebeu Comunicações para apresentação no formato oral. 
Evento realizado com o apoio FAEPEX, FAPESP, Prefeitura de Campinas, Instituto de Artes, PPG Música e CG Música.","",,,,,,,1,,,,,,,,,,,,,
"Evento que reuniu pesquisadores, jornalistas, produtores e artistas de 11 a 15 de novembro na UNICAMP para aulas abertas, mesas-redondas, apresentações musicais.","Evento que reuniu pesquisadores, jornalistas, produtores e artistas de 11 a 15 de novembro na UNICAMP para aulas abertas, mesas-redondas, apresentações musicais.",,,,,,,2,,,,,,,,,,,,,
"Evento dedicado à voz, realizado pelo SESC Vila Mariana - O Som da Voz, no mês de setembro de 2012.","",,,,,,,,2,,,,,,,,,,,,
"Mesa-redonda e Conferência realizada durante o XII SEMPEM (Seminário Nacional de Pesquisa em Música da UFG.","",,,,,,,,3,,,,,,,,,,,,
"Mesa redonda ocorrida dentro do I Encontro de Estudos do Canto e da Canção Popular realizado de 11 a 15 de novembro de 2013 na UNICAMP.","",,,,,,,,5,,,,,,,,,,,,
"Mesa redonda mediada por Regina Machado, dentro do II encontro de Estudos do canto e da canção Popular ocorrido na Unicamp","",,,,,,,,7,,,,,,,,,,,,
"Participação no Programa Sr Brasil, levado ao ar pela TV Cultura de São Paulo, apresentado por Rolando Boldrin. Entrevista sobre o trabalho realizado no CD Multiplicar-se única-canções de Tom Zé","",,,,,,,,17,,,,,,,,,,,,
"Cd de estréia da cantora Regina Machado que propos um crossover entre a canção popular e a erudita.
www.myspace.com/reginamachado
www.reginamachado.com.br","",,,,,,,,,0,,,,,,,,,,,
"Segunda cd lançado pela cantora Regina Machado, com arranjos de Mario Manga e Swamy Jr.
www.myspace.com/reginamachado
www.reginamachado.com.br","",,,,,,,,,1,,,,,,,,,,,
"Participação como compositora e cantora no cd do Grupo Mawaca, trilha sonora do espetáculo Os Lusíadas, dirigido por Yacoff Hilel.
Composições:
Fado (Regina Machado sobre poema de Luis de Camões adaptado por José Rubens Siqueira
Orientes - Ilhas dos Amores (Regina Machado, Cintia Zanco e Magda Pucci)","Participação como compositora e cantora no cd do Grupo Mawaca, trilha sonora do espetáculo Os Lusíadas, dirigido por Yacoff Hilel.
Composições:
Fado (Regina Machado sobre poema de Luis de Camões adaptado por José Rubens Siqueira
Orientes - Ilhas dos Amores (Regina Machado, Cintia Zanco e Magda Pucci)",,,,,,,,,3,,,,,,,,,,,
"Participação especial como cantora e compositora na faixa "Santa" no cd da percussionista e compositora Cassia Maria.","Participação especial como cantora e compositora na faixa "Santa" no cd da percussionista e compositora Cassia Maria.",,,,,,,,,4,,,,,,,,,,,
"Participação como solista na faixa La Nave e como backing vocal na faixa O Pobre Mowglie da Cidade do compositor Inácio Zatz.","Participação como solista na faixa La Nave e como backing vocal na faixa O Pobre Mowglie da Cidade do compositor Inácio Zatz.",,,,,,,,,5,,,,,,,,,,,
"Direção de voz do compositor, violonista e cantor Chico Saraiva na realização deste terceiro cd solo.","Direção de voz do compositor, violonista e cantor Chico Saraiva na realização deste terceiro cd solo.",,,,,,,,,6,,,,,,,,,,,
"Quarto cd de carreira, dedicado integralmente à obra do compositor baiano Tom Zé, com arranjos de Dante Ozzetti.","",,,,,,,,,7,,,,,,,,,,,
"Participação especial no cd London Poem de Leandro Carvalho com o Britton String Quintet, cantando nas faixas London Poem (Heitor Villa-Lobos) e You don't know me (Caetano Veloso).","Participação especial no cd London Poem de Leandro Carvalho com o Britton String Quintet, cantando nas faixas London Poem (Heitor Villa-Lobos) e You don't know me (Caetano Veloso).",,,,,,,,,8,,,,,,,,,,,
"Produção do show de lançamento do cd "Bons Enontros" de Marco Pereira e Cristóvão Bastos, apresentado no Teatro do Crowne Plaza e que contou com a participação da cantora Gal Costa.","",,,,,,,,,,2,,,,,,,,,,
"Organização da oficina sobre Improvisação Vocal e Cantos Harmônicos ministrada por Stênio Mendes para os alunos da graduação em Música Popular da UNICAMP.","",,,,,,,,,,3,,,,,,,,,,
"Letra: Regina Machado
Música: Silvia Ferreira","",,,,,,,,,,5,,,,,,,,,,
"Letra: Regina Machado[
Música: Silvia Ferreira","",,,,,,,,,,7,,,,,,,,,,
"Letra: Regina Machado
Música: Silvia FErreira","",,,,,,,,,,8,,,,,,,,,,
"Letra: Regina Machado
Música: Silvia Ferreira","",,,,,,,,,,9,,,,,,,,,,
"Letra e música: Regina Machado","",,,,,,,,,,10,,,,,,,,,,
"Letra: Regina Machado
Música: Silvia Ferreira","",,,,,,,,,,11,,,,,,,,,,
"Letra: Regina Machado
Música: Silvia Ferreira","",,,,,,,,,,12,,,,,,,,,,
"Letra: Cassia Maria
Música: Regina Machado","",,,,,,,,,,13,,,,,,,,,,
"Participação na trilha do espetáculo Os Lusíadas, dirigido por Yacof Hilel. Poema de Luis de Camões adaptado por José Rubens Siqueira. Grupo Mawaca e convidados.","",,,,,,,,,,14,,,,,,,,,,
"Composição realizada em parceria com Cintia Zanco e Magda Pucci para a peça Os Lusíadas, dirigida por Hiacov Hillel.","",,,,,,,,,,15,,,,,,,,,,
"Organização da apresentação do compositor Paulo Vanzolini no Canto do Brasil, acompanhado por Italo Peron, Ana Bernardo e Prata.","",,,,,,,,,,16,,,,,,,,,,
"Projeto mensal (toda penúltima sexta-feira do mês) apresentado por Maga Lieri no Canto do Brasil e transmitido pela TV do Canto no site www.cantodobrasil.com.br","",,,,,,,,,,17,,,,,,,,,,
"Projeto mensal apresentado por Maga Lieri no Canto do Brasil e transmitido via internet pela TV do Canto no site www.cantodobrasil.com.br","",,,,,,,,,,18,,,,,,,,,,
"Projeto mensal apresentado por Maga Lieri no Canto do Brasil e transmitido pela TV do Canto no site www.cantodobrasil.com.br","",,,,,,,,,,19,,,,,,,,,,
"Regina Machado direção e concepção do espetáculo "Mulheres à mostra" que reuniu as cantoras, instrumentistas e compositoras Bruna Duarte, Bruna Prado, Elisa Basile, Grá Soares, Janice Pezoa, Luisa Meirelles, Maria Cecília Collaço e Martina Marana para apresentação de repertório autoral sobre a tomada de poder das mulheres em uma sociedade machista. Com especial enfoque para discussão de gênero no meio musical.","",,,,,,,,,,,0,,,,,,,,,
"Cd lançado em 2000 pela gravadora Dabliú Discos, arranjos de Mário Manga.
Instrumentação: voz, violão, quarteto de cordas e percussão
Concepção estética transitória entre a canção popular e a erudita que obteve excelente resposta da crítica especializada, conforme se pode conferir no site www.reginamachado.com.br","",,,,,,,,,,,,0,,,,,,,,
"Segundo cd solo lançado por Regina Machado, com arranjos de Mário Manga e Swamy Jr,lançado pela Canto Discos e distribuido por Tratore.","",,,,,,,,,,,,1,,,,,,,,
"Apresentação do show PULSAR dentro do Projeto Nova Safra da MPB","",,,,,,,,,,,,2,,,,,,,,
"Direção cênica, musical e roteiro do espetáculo Quantas bocas a cidade vai abrir, realizado pelos alunos da graduação em Música POpular sobre canções de Chico Buarque para o teatro musical","",,,,,,,,,,,,16,,,,,,,,
"Aula-show apresentada no Sesc Garanhuns durante a 8a Mostra de Música Leão do Norte. Repertório dedicado ao samba paulista com composições de Kiko Dinucci, Adoniran Barbosa, Paulo Vanzolini e Tom Zé.","Aula-show apresentada no Sesc Garanhuns durante a 8a Mostra de Música Leão do Norte. Repertório dedicado ao samba paulista com composições de Kiko Dinucci, Adoniran Barbosa, Paulo Vanzolini e Tom Zé.",,,,,,,,,,,,17,,,,,,,,
"Estudo sobre a constituição do curso de Música Popular da Universiadad Nacional de Cuyo (Mendoza-AR) e o estudo da canção brasileira por alunos argentinos dessa graduação.
Aprovada em exame de qualificação","",,,,,,,,,,,,,0,,,,,,,
"Pesquisa sobre as interpretações de canção realizadas pelo saxofonista Vitor Assis Brasil, análise dos fonogramas a partir da proposta metodológica desenvolvida pela orientadora e que enfoca os Níveis da Voz; Físico, Técnico e Interpretativo; transpostos nesta pesquisa para a interpretação ao saxofone.","",,,,,,,,,,,,,7,,,,,,,
"Trabalho de conclusão do curso de graduação. Pesquisa e organização de material sobre os Cantos Harmonicos.","",,,,,,,,,,,,,,2,,,,,,
"Trabalho de conclusão de graduação resultante de pesquisa desenvolvida sobre o samba paulista.","",,,,,,,,,,,,,,3,,,,,,
"trabalho de conclusão de graduação com reflexão sobre a performance cenicomusical do cantor popular.","",,,,,,,,,,,,,,4,,,,,,
"Monografia elaborada a partir do processo de confecção de espetáculo cenico-musical.","",,,,,,,,,,,,,,5,,,,,,
"Trabalho de iniciação científica dedicado a analisar parte da obra do compositor Guinga.","",,,,,,,,,,,,,,8,,,,,,
"Pesquisa destinada a observar a prática da Técnica de Alexander aplicada ao canto.","",,,,,,,,,,,,,,9,,,,,,
"Apresentação realizada em 01 de julho de 2013 no Almanaque Café (Barão Geraldo, Campinas). Recital de formatura que contou com as participações de: Guilherme Vieira Alves, Robson Baroli, André Oliveira, Diogo Nazareth, Thomaz Souza, Gabriel Costa, Iago Tojal e Klesley Brandão.","",,,,,,,,,,,,,,10,,,,,,
"Apresentação realizada no Auditório do Instituto de Artes (UNICAMP) em 16 de novembro de 2013 e que contou com as participações de Felipe Trez, Marcos Bacon, Thomaz Souza, Catarina Rossi, Pedro Ghoneim, Murilo Gil, Iago Tojal, Doni Bueno e Telecoteco.","",,,,,,,,,,,,,,11,,,,,,
"Recital de formatura apresentado no Auditório do Instituto de Artes no dia 12 de dezembro de 2013, como parte do trabalho para conclusão da graduação em Música Popular.","",,,,,,,,,,,,,,12,,,,,,
"Show musical de conclusão da graduação em Música Popular","",,,,,,,,,,,,,,15,,,,,,
"Trabalho de conclusão da graduação em Música Popular. Espetáculo com inserção cancional no contexto da dramaturgia.","",,,,,,,,,,,,,,16,,,,,,
"Trabalho de conclusão da graduação em Música Popular. Apresentação musical com repertório autoral.
Produção de texto com reflexão crítica sobre o trabalho realizado.","Trabalho de conclusão da graduação em Música Popular. Apresentação musical com repertório autoral.
Produção de texto com reflexão crítica sobre o trabalho realizado.",,,,,,,,,,,,,,17,,,,,,
"Recital de conclusão da graduação em Música Popular. Trabalho de interpretação e de composição, tendo como centro a relação voz e violão.","Recital de conclusão da graduação em Música Popular. Trabalho de interpretação e de composição, tendo como centro a relação voz e violão.",,,,,,,,,,,,,,18,,,,,,
"Dissertação de mestrado de Paola Cecilia Albano","",,,,,,,,,,,,,,,6,,,,,
"Dissertação de mestrado apresentada ao programa de pós-graduação em Música (IA-UNICAMP) para obtenção do título de mestre.","Dissertação de mestrado apresentada ao programa de pós-graduação em Música (IA-UNICAMP) para obtenção do título de mestre.",,,,,,,,,,,,,,,10,,,,,
"Dissertação de mestrado apresentada ao programa de pós-graduação em Música para obtenção do titulo de Mestre.","Dissertação de mestrado apresentada ao programa de pós-graduação em Música para obtenção do titulo de Mestre.",,,,,,,,,,,,,,,11,,,,,
"Tese de Doutorado apresentada ao Programa de Pós-graduação em Meios e Processos Audiovisuais, na Área de Concentração Cultura Audiovisual e Comunicação, da Escola de Comunicação e Artes da Universidade de São Paulo para obtenção do título de Doutor em Meios e Processos.","",,,,,,,,,,,,,,,,2,,,,
"~Banca de qualificação ao mestrado","",,,,,,,,,,,,,,,,,4,,,
"Exame de qualificação ao mestrado de Ana Paula Lima de Albuquerque.","",,,,,,,,,,,,,,,,,5,,,
"Banca de qualificação ao mestrado de Clenio de Moura Abreu","",,,,,,,,,,,,,,,,,6,,,
"Relatório de qualificação de Henrique Cantalogo Couto cujo trabalho propõe análise sobre as praticas vocais na Seconda Prattica e na Bossa Nova","",,,,,,,,,,,,,,,,,7,,,
"Exame de qualificação ao mestrado de Martina Martins Marana realizado em 15 de agosto de 2016 as 10h na sala 2 da Pós-graduação","",,,,,,,,,,,,,,,,,8,,,
"exame de qualificação ao mestrado. participação como presidente da banca","",,,,,,,,,,,,,,,,,9,,,
"Banca de Monografia como etapa obrigatória do Doutorado em Música","",,,,,,,,,,,,,,,,,10,,,
"Banca de Monografia como parte do processo para qualificação ao doutorado","",,,,,,,,,,,,,,,,,13,,,
"Apresentação de Recital como parte do processo para qualificação ao doutorado em música.","",,,,,,,,,,,,,,,,,14,,,
"Recital apresentado como parte do processo para qualificação ao doutorado","",,,,,,,,,,,,,,,,,15,,,
"Exame de qualificação ao doutorado","",,,,,,,,,,,,,,,,,16,,,
"Trabalho de Conclusão do curso de graduação em Arquitetura e Urbanismo -Disciplina AUP0610-Trablho Final de Graduação","",,,,,,,,,,,,,,,,,,0,,
"Concurso para admissão de professor de Canto Popular no recem criado curso de Música Popular da Universidade Federal da Paraiba.","",,,,,,,,,,,,,,,,,,,0,
"Banca julgadora do concurso público para preenchimento da vaga de Professor de Canto Popular para o curso de Música da Universidade Federal da Bahia.","",,,,,,,,,,,,,,,,,,,2,
"Concurso público para preenchimento de uma função de Professor Associado, categoria MAII, nível D, em RTP, na carreira do Magistério Artístico, na Parte Especial, pelo prazo de dois anos, na Área de Práticas Interpretativas, na disciplina AC-511 Expressão Vocal III. Candidatas: Paula Cristina Masoero Ernandes, Rosane Pellegrina Improta Ferreira e Márcia Cristina Baltazar.","",,,,,,,,,,,,,,,,,,,3,
"Banca para realização da prova de aptidão para ingresso na graduação em Música","",,,,,,,,,,,,,,,,,,,6,
"Banca para admissão de candidato à Pós-graduação em Música","",,,,,,,,,,,,,,,,,,,7,
"Banca de qualificação no Mestrado em Artes da Cena da aluna Caroline Ladeira de Oliveira, realizada em 25 de abril de 2013 na sala 02 -CPG IA.","",,,,,,,,,,,,,,,,,,,,10
