NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,16,,,,
"Luiz Henrique Mazini","Luiz HEnrique Mazini","2","",,,,,,,,,,16,,,,
"Rolando Boldrin","Rolando Boldrin","1","",,,,,,,,,,17,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,17,,,,
"Dante Ozzetti","OZZETTI, D.","3","",,,,,,,,,,17,,,,
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,17,,,,
"Fernando Sagawa","SAGAWA, F.","5","",,,,,,,,,,17,,,,
"Chico Buarque","BUARQUE, C.","1","",,,,,,,,,,,0,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,0,,,
"Robert Schumann","SCHUMANN, R.","3","",,,,,,,,,,,0,,,
"Caetano Veloso","VELOSO, C.","4","",,,,,,,,,,,0,,,
"César Guerra Peixe","PEIXE, C. G.","5","",,,,,,,,,,,0,,,
"Bruno Brighetti","BRIGHETTI, B.","1","",,,,,,,,,,,1,,,
"Chico Buarque","BUARQUE, C.","2","",,,,,,,,,,,1,,,
"BRuno Martino","MARTINO, B.","3","",,,,,,,,,,,1,,,
"Paul McCartney","MCCARTNEY, P.","4","",,,,,,,,,,,1,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","5","1982616485538147",,,,,,,,,,,1,,,
"Silvia Ferreira","FERREIRA, S.","6","",,,,,,,,,,,1,,,
"Caetano Veloso","VELOSO, C.","7","",,,,,,,,,,,1,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,2,,,
"Silvia Ferreira","FERREIRA, S.","2","",,,,,,,,,,,2,,,
"Ítalo Perón de Andrade","ANDRADE, I. P.","3","",,,,,,,,,,,2,,,
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,,2,,,
"Luiz Augusto de Moraes Tatit","Luiz Tatit","5","",,,,,,,,,,,2,,,
"Francisco Saraiva da Silva","Chico Saraiva","6","",,,,,,,,,,,2,,,
"Fabio Rocha Barros","Fabio Barros","7","",,,,,,,,,,,2,,,
"Fred Martins","Fred Martins","8","",,,,,,,,,,,2,,,
"Magda Pucci","PUCCI, M.","1","",,,,,,,,,,,3,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,3,,,
"Cintia Zanco","ZANCO, C.","3","",,,,,,,,,,,3,,,
"Grupo Mawaca","Grupo Mawaca","4","",,,,,,,,,,,3,,,
"Luis de Camões","CAMOES, L.","5","",,,,,,,,,,,3,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,4,,,
"Cassia Maria","MARIA, C.","2","",,,,,,,,,,,4,,,
"Jardel Caetano","Jardel Caetano","3","",,,,,,,,,,,4,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,5,,,
"Inacio Zatz","Zatz, I.","2","",,,,,,,,,,,5,,,
"Mario Augusto Aydar","Mario Manga","3","",,,,,,,,,,,5,,,
"Monica Salmaso","Monica Salmaso","4","",,,,,,,,,,,5,,,
"Chico Saraiva","Chico Saraiva","1","",,,,,,,,,,,6,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,6,,,
"André Magalhães","MAGALHAES, A.","3","",,,,,,,,,,,6,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,7,,,
"Dante Ozzetti","OZZETTI, D.","2","",,,,,,,,,,,7,,,
"Tom Zé","Tom Zé","3","",,,,,,,,,,,7,,,
"Gal Oppido","Gal Oppido","4","",,,,,,,,,,,7,,,
"Silvia Ferreira","FERREIRA, S.","5","",,,,,,,,,,,7,,,
"Heitor Villa-Lobos","Villa-Lobos, H.","1","",,,,,,,,,,,8,,,
"Caetano Veloso","VELOSO, C.","2","",,,,,,,,,,,8,,,
"Leandro Carvalho","Carvalho, L.","3","",,,,,,,,,,,8,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","4","1982616485538147",,,,,,,,,,,8,,,
"Mario Augusto Aydar","Mario Manga","5","",,,,,,,,,,,8,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,0,,
"Elifas Andreatto","Elifas Andreatto","2","",,,,,,,,,,,,0,,
"Basbaum, Ana","BAsbaum, Ana","3","",,,,,,,,,,,,0,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,1,,
"Silvia Ferreira","FERREIRA, S.","2","",,,,,,,,,,,,1,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,2,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,3,,
"Stênio Mendes","Stênio Mendes","2","",,,,,,,,,,,,3,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,4,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,5,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,5,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,6,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,7,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,7,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,8,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,8,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,9,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,9,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,10,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,11,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,11,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,12,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,12,,
"Cassia Maria","MARIA, C.","1","",,,,,,,,,,,,13,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,13,,
"José Rubens Siqueira","SIQUEIRA, J. R.","1","",,,,,,,,,,,,14,,
"Luis de Camões","CAMOES, L.","2","",,,,,,,,,,,,14,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,,,,,,,,14,,
"Magda Pucci","PUCCI, M.","1","",,,,,,,,,,,,15,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,15,,
"Cintia Zanco","ZANCO, C.","3","",,,,,,,,,,,,15,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,16,,
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,16,,
"Paulo Vanzolini","Vanzolini, P","3","",,,,,,,,,,,,16,,
"Maga Lieri","LIERI, M.","1","",,,,,,,,,,,,17,,
"Silvia Ferreira","FERREIRA, S.","2","",,,,,,,,,,,,17,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,,,,,,,,17,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,18,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,18,,
"Maga Lieri","LIERI, M.","3","",,,,,,,,,,,,18,,
"Cassia Maria","MARIA, C.","4","",,,,,,,,,,,,18,,
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,19,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,19,,
"Maga Lieri","LIERI, M.","3","",,,,,,,,,,,,19,,
"Alzira Espíndola","Alzira Espíndola","4","",,,,,,,,,,,,19,,
"Lucina","Lucina","5","",,,,,,,,,,,,19,,
"Regina Machado","MACHADO, REGINA","1","",,,,,,,,,,,,,0,
"José Roberto Zan","ZAN, J.R.","2","",,,,,,,,,,,,,0,
"Bruna Queiroz Prado","PRADO, B. Q.","3","",,,,,,,,,,,,,0,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,0
"Chico Buarque","BUARQUE, C.","2","",,,,,,,,,,,,,,0
"Caetano Veloso","VELOSO, C.","3","",,,,,,,,,,,,,,0
"César Guerra Peixe","PEIXE, C. G.","4","",,,,,,,,,,,,,,0
"Robert Schumann","SCHUMANN, R.","5","",,,,,,,,,,,,,,0
"Heinrich Heine","HEINE, H.","6","",,,,,,,,,,,,,,0
"Guilherme Neves","NEVES, G.","7","",,,,,,,,,,,,,,0
"Silvia Ferreira","FERREIRA, S.","8","",,,,,,,,,,,,,,0
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,1
"Caetano Veloso","VELOSO, C.","2","",,,,,,,,,,,,,,1
"Chico Buarque","BUARQUE, C.","3","",,,,,,,,,,,,,,1
"Silvia Ferreira","FERREIRA, S.","4","",,,,,,,,,,,,,,1
"Edu Lobo","LOBO, E.","5","",,,,,,,,,,,,,,1
"Paul McCartney","MCCARTNEY, P.","6","",,,,,,,,,,,,,,1
"BRuno Martino","MARTINO, B.","7","",,,,,,,,,,,,,,1
"Bruno Brighetti","BRIGHETTI, B.","8","",,,,,,,,,,,,,,1
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,2
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,3
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,4
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,4
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,5
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,5
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,6
"ARAP, Fauzi","ARAP, Fauzi","2","",,,,,,,,,,,,,,6
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,7
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,7
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,8
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,9
"Marcia Ermelindo Taborda","TABORDA, M. E.","2","",,,,,,,,,,,,,,9
"Ítalo Perón de Andrade","ANDRADE, I. P.","3","",,,,,,,,,,,,,,9
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,10
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,10
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,,,,,10
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,11
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,11
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,,,,,11
"Fabio Barros","BARROS, F.","4","",,,,,,,,,,,,,,11
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,12
"Francisco Saraiva da Silva","Chico Saraiva","2","",,,,,,,,,,,,,,12
"Perón, Italo","PERÒN, ITalo","3","",,,,,,,,,,,,,,12
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,,,,,12
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,13
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,13
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,,,,,13
"Dante Ozzetti","OZZETTI, D.","4","",,,,,,,,,,,,,,13
"Fred Martins","Fred Martins","5","",,,,,,,,,,,,,,13
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,14
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,14
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,,,,,14
"Silvia Ferreira","FERREIRA, S.","1","",,,,,,,,,,,,,,15
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,,,,,15
"Perón, Italo","PERÒN, ITalo","3","",,,,,,,,,,,,,,15
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,,,,,15
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,16
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,17
"Norberto Vinhas","VINHAS, N.","2","",,,,,,,,,,,,,,17
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,,,,,18
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,,,,,18
"COLABONE, Carlos","COLABONE, Carlos","3","",,,,,,,,,,,,,,18
