NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Luiz Otávio Braga","Braga, Luís O.","4","",12,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",12,,,,,
"Joana Mariz","MARIZ, J.","4","",,0,,,,
"José Roberto Zan","ZAN, J.R.","2","",,0,,,,
"Antonio Rafael Carvalho dos Santos","SANTOS, A. Rafael C. dos","1","",,0,,,,
"Fausto Borém de Oliveira","BORÉM, F.","3","",,0,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","5","1982616485538147",,0,,,,
"Regina Machado","MACHADO, REGINA","3","",,1,,,,
"Luiz Augusto de Moraes Tatit","Luiz Tatit","1","",,1,,,,
"José Roberto do Carmo Jr","Carmo Jr, J.R.","2","",,1,,,,
"Ricardo Nogueira de Castro Monteiro","Monteiro, Ricardo N. de C","4","",,1,,,,
"Norma Discini de Campos","Discini de Campos, N.","5","",,1,,,,
"Regina Machado","MACHADO, REGINA","5","",,2,,,,
"Ricardo Nogueira de Castro Monteiro","Monteiro, Ricardo N. de C","4","",,2,,,,
"Eduardo Vicente","Vicente, E.","1","",,2,,,,
"Walter Garcia da Silveira Junior",".Garcia, W.","2","",,2,,,,
"João Batista Godoy de Souza","Souza, J.B. G. de","3","",,2,,,,
"Angelo José Fernandes","FERNANDES, A.J.","2","",,,0,,,
"Adriana Giarolla Kayama","Kayama, A.","1","",,,0,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,0,,,
"Sergio L. F. Figueiredo","FIGUEIREDO, S. L. F.","2","",,,1,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,1,,,
"Claudiney Rodrigues Carrasco","CARRASCO, C.R.","1","",,,2,,,
"Orlando Marcos Martins Mancini","MANCINI, O.","2","",,,2,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,2,,,
"José Roberto Zan","ZAN, J.R.","2","",,,3,,,
"Marco Tulio de Paula Pinto","PINTO, M.T.P","3","",,,3,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,3,,,
"Angelo José Fernandes","FERNANDES, A.J.","2","",,,4,,,
"Adriana Mendes","MENDES, A.","3","",,,4,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,4,,,
"Joana Mariz de Souza","Souza, J. Mariz","2","",,,5,,,
"Adriana do Nascimento Araujo Mendes","Mendes, Adriana N A","3","",,,5,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,5,,,
"Angelo José Fernandes","FERNANDES, A.J.","2","",,,6,,,
"Joana Mariz de Souza","Souza, J. Mariz","3","",,,6,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,6,,,
"Edmundo Pacheco Hora","Hora, E.P.","1","",,,7,,,
"Paulo Mugayar Kull","Kull, P. M.","2","",,,7,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,7,,,
"Adriana Giarolla Kayama","Kayama, A.","2","",,,8,,,
"José Alexandre Leme Lopes de Carvalho","Carvalho, José Alexandre L.L","3","",,,8,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,8,,,
"Joana Mariz","MARIZ, J.","2","",,,9,,,
"José Roberto Zan","ZAN, J.R.","3","",,,9,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,9,,,
"José Roberto Zan","ZAN, J.R.","1","",,,10,,,
"Alexandro Henrique Paixão","PAIXÂO, A. H.","2","",,,10,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,10,,,
"Edmundo Pacheco Hora","Hora, E.P.","1","",,,11,,,
"Paulo Mugayar Kull","Kull, P. M.","2","",,,11,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,11,,,
"Regina Machado","MACHADO, REGINA","3","",,,12,,,
"Larissa Sato Turtelli","Turtelli, Larissa S","1","",,,12,,,
"Graziela Estela Fonseca Rodrigues","Rodrigues, Graziela","2","",,,12,,,
"Regina Machado","MACHADO, REGINA","3","",,,13,,,
"Angelo José Fernandes","FERNANDES, A.J.","1","",,,13,,,
"Alexandre Zamith Almeida","ALMEIDA, A. Z.","2","",,,13,,,
"Regina Machado","MACHADO, REGINA","3","",,,14,,,
"Angelo José Fernandes","FERNANDES, A.J.","1","",,,14,,,
"Alexandre Zamith Almeida","ALMEIDA, A. Z.","2","",,,14,,,
"Regina Machado","MACHADO, REGINA","3","",,,15,,,
"José Roberto Zan","ZAN, J.R.","1","",,,15,,,
"Alexandro Henrique Paixão","PAIXÂO, A. H.","2","",,,15,,,
"Regina Machado","MACHADO, REGINA","2","",,,16,,,
"Angelo José Fernandes","FERNANDES, A.J.","1","",,,16,,,
"Adriana Giarolla Kayama","Kayama, A.","3","",,,16,,,
"Regina Machado","MACHADO, REGINA","3","",,,17,,,
"Heloisa de Araujo Duarte Valente","Valente, Heloisa","1","",,,17,,,
"Maria Cristina Castilho Costa","Costa, M.C.Castilho","2","",,,17,,,
"Regina Machado","MACHADO, REGINA","3","",,,18,,,
"José Augusto Mannis","MANNIS, J. A.","2","",,,18,,,
"Antonio Rafael Carvalho dos Santos","SANTOS, A. Rafael C. dos","1","",,,18,,,
"José Augusto Mannis","MANNIS, J. A.","2","",,,19,,,
"Marisa Martins Lambert","Lambert, Marisa M","3","",,,19,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,19,,,
"Minoru Naruto","NARUTO, M.","2","",,,,0,,
"Veronica Meirelles P. Ferriani","FERRIANI, V. M. P.","3","",,,,0,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,0,,
"Pedro Paulo Salles","Salles, P.P.","1","",,,,1,,
"Suzana Cecilia Almeida Igayara de Souza","Souza, Suzana C A I","2","",,,,1,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,1,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,0,
"Christiane Neves","Christiana Neves","2","",,,,,1,
"Silvio Ferraz","Silvio Ferraz","3","",,,,,1,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,1,
"Ivan Vilela","Ivan Vilela","4","",,,,,2,
"Alexei Alves","Alexei Alves","3","",,,,,2,
"Flavio José Gomes de Queiroz","Queiroz, F.J. G.","2","",,,,,2,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,2,
"Mario Alberto de Santana","SANTANA, M. A.","4","",,,,,3,
"Verônica Machado","MACHADO, V.","2","",,,,,3,
"Terezinha Zaratin","ZARATIN, T.","1","",,,,,3,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,3,
"José Augusto Mannis","MANNIS, J. A.","1","",,,,,4,
"Paulo José de Siqueira Tiné","TINE, P. J. S.","2","",,,,,4,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,4,
"Angelo José Fernandes","FERNANDES, A.J.","2","",,,,,5,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,5,
"Angelo José Fernandes","FERNANDES, A.J.","2","",,,,,6,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,6,
"José Alexandre Carvalho","Carvalho, J.A.","1","",,,,,7,
"Hermilson Garcia","Garcia, H.","2","",,,,,7,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,7,
"Angelo José Fernandes","FERNANDES, A.J.","1","",,,,,8,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,8,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,0
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,1
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,2
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,3
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,4
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,5
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,6
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,7
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,8
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,9
"Jorge Luiz Schroeder","Schroeder, J.L.","1","",,,,,,10
"Guilherme do Val Toledo Prado","Prado, Guilherme V.T.","3","",,,,,,10
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,10
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,11
