SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Desenvolvimento Rural","","",,,,,4,,,,,,,,,,,,,
"Desenvolvimento Urbano","","",,,,,5,,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,0,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,1,,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,0,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,1,,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,2,,,,,,,,,,,
"Desenvolvimento Rural","","",,,,,,,,0,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,1,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,2,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,3,,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,0,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,1,,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,2,,,,,,,,,
"Desenvolvimento Rural","","",,,,,,,,,3,,,,,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,9,,,,,,,,,
"Educação","","",,,,,,,,,,1,,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,0,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,1,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,2,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,3,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,4,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,5,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,6,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,7,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,8,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,9,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,10,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,11,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,12,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,13,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,14,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,15,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,16,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,17,,,,,,,
"Educação","","",,,,,,,,,,,18,,,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,19,,,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,20,,,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,21,,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,0,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,1,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,2,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,3,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,4,,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,18,,,,,,
"Desenvolvimento Rural","","",,,,,,,,,,,,,0,,,,,
"Desenvolvimento Rural","","",,,,,,,,,,,,,1,,,,,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,,2,,,,,
"Educação","","",,,,,,,,,,,,,3,,,,,
"Desenvolvimento Rural","","",,,,,,,,,,,,,5,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,6,,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,,0,,,,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,,,7,,,
"Desenvolvimento Rural","","",,,,,,,,,,,,,,,,3,,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,,,,,2,
"Mercado de Trabalho e Mão-De-Obra","","",,,,,,,,,,,,,,,,,12,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,,,,,16,
"Desenvolvimento Urbano","","",,,,,,,,,,,,,,,,,,2
