NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",13,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",14,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",15,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",16,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",17,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",18,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",19,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",19,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",20,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",20,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",21,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","2","8284067987442342",21,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","3","8193784842843418",21,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",22,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",22,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",23,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",23,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",24,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",24,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",25,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",25,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",25,,,,,,,,,,,,,,
"Valeria Baltar","BALTAR, V.","1","",26,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",26,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",27,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",27,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",27,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",28,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",28,,,,,,,,,,,,,,
"Roberto A. Z. Borghi","BORGHI, R. A. Z.","3","0218092571931491",28,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",29,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",29,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",29,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",30,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",30,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",31,,,,,,,,,,,,,,
"Cassiano J. B. M. Trovão","TROVAO, C. J. B. M.","2","1173432616045632",31,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","1","4386580095713306",32,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",32,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",33,,,,,,,,,,,,,,
"Marilane Oliveira Teixeira","TEIXEIRA, M. O.","2","",33,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",34,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",35,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",35,,,,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","3","3697694280982227",35,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",36,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",36,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",36,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","1","4386580095713306",37,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",37,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",38,,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","2","8284067987442342",38,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","3","4386580095713306",38,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",39,,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",39,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",40,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",40,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","",41,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",41,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",42,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",43,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",43,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",44,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",44,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",45,,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",45,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",46,,,,,,,,,,,,,,
"Daphnae Helena Picoli","PICOLI, D. H.","2","",46,,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,0,,,,,,,,,,,,,
"Angela Kageyanma","KAGEYANMA, A.","1","",,1,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,1,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,2,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,3,,,,,,,,,,,,,
"Rodolfo Hoffmann","HOFFMANN, R.","1","4372333117476669",,4,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,4,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,5,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,5,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,6,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,6,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,7,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,7,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,8,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,9,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,9,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",,9,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,10,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,10,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,11,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,11,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,12,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,12,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,13,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,13,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","1","4386580095713306",,14,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,14,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,15,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","2","8284067987442342",,15,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","3","8193784842843418",,15,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,16,,,,,,,,,,,,,
"Anselmo Luís dos Santos","SANTOS, A. L.","2","8578750972825935",,16,,,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","3","3697694280982227",,16,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,16,,,,,,,,,,,,,
"Marcelo W. Proni","PRONI, M. W.","5","2968931622376183",,16,,,,,,,,,,,,,
"Amilton José Moretto","MORETTO, A. J.","6","",,16,,,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","7","8284067987442342",,16,,,,,,,,,,,,,
"Carlos Salas","SALAS, C.","8","",,16,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","1","4386580095713306",,17,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,17,,,,,,,,,,,,,
"Roberto A. Z. Borghi","BORGHI, R. A. Z.","3","0218092571931491",,17,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,18,,,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,18,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,19,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,20,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",,20,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,21,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",,21,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,22,,,,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",,22,,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,23,,,,,,,,,,,,,
"Angela Antonia Kageyama","KAGEYAMA, A. A.","2","2453258400377594",,23,,,,,,,,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,0,,,,,,,,,,,,
"Rosana Baeninger","BAENINGER, R.","2","",,,0,,,,,,,,,,,,
"Lilia Montali","MONTALI, L.","3","",,,0,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,0,,,,,,,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,0,,,,,,,,,,,,
"Claudia Siqueira Baltar","BALTAR, C. S.","6","",,,0,,,,,,,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,1,,,,,,,,,,,,
"Rosana Baeninger","BAENINGER, R.","2","",,,1,,,,,,,,,,,,
"Lilia Montali","MONTALI, L.","3","",,,1,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,1,,,,,,,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,1,,,,,,,,,,,,
"Claudia Siqueira Baltar","BALTAR, C. S.","6","",,,1,,,,,,,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,2,,,,,,,,,,,,
"Rosana Baeninger","BAENINGER, R.","2","",,,2,,,,,,,,,,,,
"Lilia Montali","MONTALI, L.","3","",,,2,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,2,,,,,,,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,2,,,,,,,,,,,,
"Claudia Siqueira Baltar","BALTAR, C. S.","6","",,,2,,,,,,,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,3,,,,,,,,,,,,
"Rosana Baeninger","BAENINGER, R.","2","",,,3,,,,,,,,,,,,
"Lilia Montali","MONTALI, L.","3","",,,3,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,3,,,,,,,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,3,,,,,,,,,,,,
"Claudia Siqueira Baltar","BALTAR, C. S.","6","",,,3,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,4,,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","2","3697694280982227",,,4,,,,,,,,,,,,
"Pedro Henrique Evangelista Duarte","DUARTE, P. H. E.","3","",,,4,,,,,,,,,,,,
"Anselmo Luís dos Santos","SANTOS, A. L.","1","8578750972825935",,,5,,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","2","3697694280982227",,,5,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","3","8193784842843418",,,5,,,,,,,,,,,,
"Carlos Salas","SALAS, C.","4","",,,5,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,6,,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","2","3697694280982227",,,6,,,,,,,,,,,,
"Marilane Oliveira Teixeira","TEIXEIRA, M. O.","3","",,,6,,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,0,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,1,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,2,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,3,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,4,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,5,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,,,5,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,6,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,,,7,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,,,7,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",,,,7,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,8,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,,,8,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",,,,8,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,,,9,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,,,9,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,10,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,,,10,,,,,,,,,,,
"José Dari Krein","KREIN, J. D","3","3697694280982227",,,,10,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,,,11,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,,,11,,,,,,,,,,,
"Alexandre Gori Maia","MAIA, A. G.","3","8284067987442342",,,,11,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,12,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","2","4386580095713306",,,,12,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,13,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,14,,,,,,,,,,,
"Sue Ledwith","LEDWITH, S.","2","",,,,14,,,,,,,,,,,
"Jo Portilho","PORTILHO, J.","3","",,,,14,,,,,,,,,,,
"Marilane Oliveira Teixeira","TEIXEIRA, M. O.","4","",,,,14,,,,,,,,,,,
"Thomas Conti","CONTI, T.","5","",,,,14,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,15,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,16,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,17,,,,,,,,,,,
"Paulo Eduardo de Andrade Baltar","BALTAR, P. E. A.","1","4386580095713306",,,,18,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,,,18,,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,0,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,1,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,2,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,3,,,,,,,,,,
"Paulo Baltar","BALTAR, P.","2","4386580095713306",,,,,3,,,,,,,,,,
"Manuel Alves Filho","ALVES FILHO, M.","1","",,,,,4,,,,,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","2","",,,,,4,,,,,,,,,,
"Rosana Baeninger","BAENINGER, R.","3","",,,,,4,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,4,,,,,,,,,,
"Lilia Montali","MONTALI, L.","5","",,,,,4,,,,,,,,,,
"Stela Maria Telles","TELLES, S. M.","6","",,,,,4,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,5,,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,0,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,1,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,2,,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,0,,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,0,,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,0,,,,,,
"Angela Kageyama","KAGEYAMA, A.","2","2453258400377594",,,,,,,,,0,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,1,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,2,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,3,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,4,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,5,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,6,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,7,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,8,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,,,,,9,,,,,,
"Anselmo Luís dos Santos","SANTOS, A. L.","1","8578750972825935",,,,,,,,,10,,,,,,
"Amilton José Moretto","MORETTO, A. J.","2","",,,,,,,,,10,,,,,,
"Denis Maracci Gimenez","GIMENEZ, D. M.","3","",,,,,,,,,10,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,,,,,10,,,,,,
"Fabiano Lago Garrido","GARRIDO, F. L.","5","",,,,,,,,,10,,,,,,
"Marcelo W. Proni","PRONI, M. W.","6","2968931622376183",,,,,,,,,10,,,,,,
"Ricardo Azevedo","AZEVEDO, R.","7","",,,,,,,,,10,,,,,,
"Walter Barelli","BARELLI, W.","8","",,,,,,,,,10,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,,,,,,,11,,,,,,
"Lilia Montali","MONTALI, L.","2","",,,,,,,,,11,,,,,,
"Rosana Baeninger","BAENINGER, R.","3","",,,,,,,,,11,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,,,,,11,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,,,,,,,11,,,,,,
"Claudia Gomes de Siqueira","SIQUEIRA, C. G.","6","",,,,,,,,,11,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,,,,,,,12,,,,,,
"Lilia Montali","MONTALI, L.","2","",,,,,,,,,12,,,,,,
"Rosana Baeninger","BAENINGER, R.","3","",,,,,,,,,12,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,,,,,12,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,,,,,,,12,,,,,,
"Claudia Gomes de Siqueira","SIQUEIRA, C. G.","6","",,,,,,,,,12,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,,,,,,,13,,,,,,
"Lilia Montali","MONTALI, L.","2","",,,,,,,,,13,,,,,,
"Rosana Baeninger","BAENINGER, R.","3","",,,,,,,,,13,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,,,,,13,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,,,,,,,13,,,,,,
"Claudia Gomes de Siqueira","SIQUEIRA, C. G.","6","",,,,,,,,,13,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,,,,,,,14,,,,,,
"Lilia Montali","MONTALI, L.","2","",,,,,,,,,14,,,,,,
"Rosana Baeninger","BAENINGER, R.","3","",,,,,,,,,14,,,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","4","8193784842843418",,,,,,,,,14,,,,,,
"Stela Maria Telles","TELLES, S. M.","5","",,,,,,,,,14,,,,,,
"Claudia Gomes de Siqueira","SIQUEIRA, C. G.","6","",,,,,,,,,14,,,,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","1","",,,,,,,,,15,,,,,,
