PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"população ativa","Mercado de Trabalho","gênero","","","",,,32,,,,,,,,,,,,,,,,,,
"Mercado de Trabalho","gênero","sindicalização","","","",,,33,,,,,,,,,,,,,,,,,,
"Emprego","Rendimentos","Mercado de Trabalho","gênero","","",,,34,,,,,,,,,,,,,,,,,,
"Mercado de Trabalho","desigualdade de gênero","","","","",,,40,,,,,,,,,,,,,,,,,,
"Agricultura","","","","","",,,,1,,,,,,,,,,,,,,,,,
"gênero","Ocupação","Mercado de Trabalho","","","",,,,3,,,,,,,,,,,,,,,,,
"Distribuição de Renda","Mercado de Trabalho","","","","",,,,4,,,,,,,,,,,,,,,,,
"Demografia","Estudo da população","","","","",,,,11,,,,,,,,,,,,,,,,,
"Mercado de Trabalho","Rendimentos","gênero","escolaridade","","",,,,12,,,,,,,,,,,,,,,,,
"Formalização","Salários","Mercado de Trabalho","Nordeste","Trabalho Feminino","",,,,14,,,,,,,,,,,,,,,,,
"Brasil","Agricultura","Modernização","Emprego","Análise Fatorial","",,,,23,,,,,,,,,,,,,,,,,
"development. labor market, miium wage","","","","","",,,,,5,,,,,,,,,,,,,,,,
"famílias agrícolas","Agricultura","Meio Urbano","","","",,,,,,0,,,,,,,,,,,,,,,
"Pobreza","Trabalho","gênero","","","",,,,,,1,,,,,,,,,,,,,,,
"gênero","Trabalho","","","","",,,,,,2,,,,,,,,,,,,,,,
"Trabalho da Mulher Adulta","Mercado de Trabalho","","","","",,,,,,3,,,,,,,,,,,,,,,
"Emprego Rural","","","","","",,,,,,4,,,,,,,,,,,,,,,
"Emprego","emprego feminino","Distribuição de Renda","","","",,,,,,5,,,,,,,,,,,,,,,
"força de trabalho feminina","","","","","",,,,,,,0,,,,,,,,,,,,,,
"Trabalho Rural","","","","","",,,,,,,1,,,,,,,,,,,,,,
"Trabalho Feminino","","","","","",,,,,,,,0,,,,,,,,,,,,,
"pobreza agrícola","","","","","",,,,,,,,1,,,,,,,,,,,,,
"Economia regional","","","","","",,,,,,,,2,,,,,,,,,,,,,
"Agricultura","zoneamento agrário","pluriatividade","","","",,,,,,,,,0,,,,,,,,,,,,
"emprego feminino","","","","","",,,,,,,,,1,,,,,,,,,,,,
"Trabalho Feminino","","","","","",,,,,,,,,2,,,,,,,,,,,,
"indicadores econômicos","","","","","",,,,,,,,,3,,,,,,,,,,,,
"Mercado de Trabalho","desigualdade de gênero","","","","",,,,,,,,,,34,,,,,,,,,,,
"Trabalho","gênero","","","","",,,,,,,,,,,0,,,,,,,,,,
"Mercado de Trabalho","Juventude - Emprego - Brasil","","","","",,,,,,,,,,,1,,,,,,,,,,
"Família","Trabalho Infantil","","","","",,,,,,,,,,,2,,,,,,,,,,
"emprego feminino","","","","","",,,,,,,,,,,3,,,,,,,,,,
"Mercado de Trabalho","Economia regional","","","","",,,,,,,,,,,9,,,,,,,,,,
"Trabalho","Mercado de Trabalho","Distribuição de Renda","","","",,,,,,,,,,,,1,,,,,,,,,
"IPC","Política Salarial","","","","",,,,,,,,,,,,,0,,,,,,,,
"PEA","gênero","","","","",,,,,,,,,,,,,1,,,,,,,,
"Família","gênero","PEA","Trabalho","","",,,,,,,,,,,,,2,,,,,,,,
"Trabalho","gênero","","","","",,,,,,,,,,,,,3,,,,,,,,
"Trabalho","Ocupação","Renda","gênero","","",,,,,,,,,,,,,4,,,,,,,,
"Trabalho","gênero","","","","",,,,,,,,,,,,,5,,,,,,,,
"Pobreza","","","","","",,,,,,,,,,,,,8,,,,,,,,
"Pobreza","","","","","",,,,,,,,,,,,,9,,,,,,,,
"Trabalho","","","","","",,,,,,,,,,,,,10,,,,,,,,
"Trabalho","","","","","",,,,,,,,,,,,,11,,,,,,,,
"Trabalho","gênero","","","","",,,,,,,,,,,,,12,,,,,,,,
"Trabalho","Ocupação","Renda","gênero","","",,,,,,,,,,,,,13,,,,,,,,
"Trabalho","Ocupação","Renda","gênero","","",,,,,,,,,,,,,14,,,,,,,,
"Trabalho","gênero","","","","",,,,,,,,,,,,,15,,,,,,,,
"Família","gênero","PEA","Trabalho","","",,,,,,,,,,,,,16,,,,,,,,
"PEA","gênero","","","","",,,,,,,,,,,,,17,,,,,,,,
"Educação no Brasil Contemporâneo","","","","","",,,,,,,,,,,,,18,,,,,,,,
"emprego feminino","Família","Renda Familiar","","","",,,,,,,,,,,,,19,,,,,,,,
"Distribuição de Renda","Emprego","emprego feminino","","","",,,,,,,,,,,,,20,,,,,,,,
"Emprego","emprego feminino","Economia regional","","","",,,,,,,,,,,,,21,,,,,,,,
"gênero","Trabalho","Renda","","","",,,,,,,,,,,,,23,,,,,,,,
"gênero","Trabalho","Renda","","","",,,,,,,,,,,,,24,,,,,,,,
"Ocupação","gênero","Renda Familiar","","","",,,,,,,,,,,,,35,,,,,,,,
"Ocupação","gênero","Renda Familiar","","","",,,,,,,,,,,,,36,,,,,,,,
"Mercado de Trabalho","gênero","Renda Familiar","","","",,,,,,,,,,,,,37,,,,,,,,
"gênero","Trabalho","Renda","","","",,,,,,,,,,,,,39,,,,,,,,
"Salários","Indústria de Transformação","Região Metropolitana de Curitiba","","","",,,,,,,,,,,,,,0,,,,,,,
"Trabalho Doméstico","","","","","",,,,,,,,,,,,,,1,,,,,,,
"Renda Familiar","","","","","",,,,,,,,,,,,,,2,,,,,,,
"Emprego Rural","","","","","",,,,,,,,,,,,,,3,,,,,,,
"Mão-de-Obra","Região de Ribeirão Preto","","","","",,,,,,,,,,,,,,4,,,,,,,
"Trabalho Infantil","","","","","",,,,,,,,,,,,,,5,,,,,,,
"polarização","Distribuição de Renda","desigualdade","","","",,,,,,,,,,,,,,9,,,,,,,
"Trabalho Feminino","Regiões Metropolitanas de São Pauloe Recife","","","","",,,,,,,,,,,,,,18,,,,,,,
"Desenvolvimento da Agricultura","","","","","",,,,,,,,,,,,,,,0,,,,,,
"Ocupações Não-Agrícolas","Meio Rural Brasileiro","","","","",,,,,,,,,,,,,,,1,,,,,,
"Pobreza","","","","","",,,,,,,,,,,,,,,2,,,,,,
"Métodos gráficos","Leitura","Educação estatística","","","",,,,,,,,,,,,,,,3,,,,,,
"Aposentadoria","Distribuição de Renda","Pensões","","","",,,,,,,,,,,,,,,4,,,,,,
"Desenvolvimento da Agricultura","Meio Rural Brasileiro","Campinas","","","",,,,,,,,,,,,,,,5,,,,,,
"Emprego","Ocupação","Renda","","","",,,,,,,,,,,,,,,6,,,,,,
"migração feminina","migração interna","","","","",,,,,,,,,,,,,,,7,,,,,,
"Pensões","previdência","","","","",,,,,,,,,,,,,,,,0,,,,,
"gênero","Renda","Ocupação","","","",,,,,,,,,,,,,,,,,7,,,,
"Métodos Quantitativos","","","","","",,,,,,,,,,,,,,,,,25,,,,
"rural","Meio Rural Brasileiro","Modernização agrícola","","","",,,,,,,,,,,,,,,,,,3,,,
"gênero","Ocupação","Renda","","","",,,,,,,,,,,,,,,,,,,2,,
"Emprego","inserção feminina","mulher e trabalho","","","",,,,,,,,,,,,,,,,,,,12,,
"Renda","Ocupação","gênero","","","",,,,,,,,,,,,,,,,,,,16,,
"gênero","Ocupação","Renda","","","",,,,,,,,,,,,,,,,,,,,2,
"São Paulo metropolitan area","","","","","",,,,,,,,,,,,,,,,,,,,4,
"gênero","Mercado de Trabalho","economia feminista","","","",,,,,,,,,,,,,,,,,,,,,1
