NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Jorge Eduardo Levi Mattoso","MATTOSO, J. E. L.","4","",18,,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",18,,,,
"Angela Antonia Kageyama","KAGEYAMA, A. A.","2","2453258400377594",,0,,,
"Henrique Dantas Neder","NEDER, H. D.","3","",,0,,,
"Bastiaan Philip Reydon","REYDON, B. P.","4","",,0,,,
"Sonia Santana Martins","MARTINS, S. S.","5","",,0,,,
"Walter Belik","BELIK, W.","7","",,0,,,
"Shigeo Shiki","SHIKI, S.","6","",,0,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,0,,,
"Rodolfo Hoffmann","HOFFMANN, R.","5","4372333117476669",,1,,,
"Henrique Dantas Neder","NEDER, H. D.","4","",,1,,,
"José Francisco Graziano da Silva","SILVA, J. F. G.","2","",,1,,,
"Antonio Carlos Laurenti","LAURENTI, A. C.","3","",,1,,,
"Walter Belik","BELIK, W.","6","",,1,,,
"Ricardo Abramovay","ABRAMOVAY, R.","7","",,1,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,1,,,
"Rodolfo Hoffmann","HOFFMANN, R.","2","4372333117476669",,2,,,
"Luis Carlos Guedes Pinto","PINTO, L. C. G.","3","",,2,,,
"Marcio Pochmann","POCHMANN, M.","4","",,2,,,
"Paul Israel Singer","SINGER, P. I.","5","",,2,,,
"Angela Maria Cassavia Jorge Correa","CORREA, A. M. C. J.","6","",,2,,,
"Maria Cristina Cacciamali","CACCIAMALI, M. C.","7","",,2,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,2,,,
"Marcia Regina F de Brito","BRITO, M. R. F.","2","",,3,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,3,,,
"Rodolfo Hoffmann","HOFFMANN, R.","2","4372333117476669",,4,,,
"Angela Maria Cassavia Jorge Correa","CORREA, A. M. C. J.","4","",,4,,,
"Alexandre L Mendonça de Barros","BARROS, A. L. M.","3","",,4,,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","5","",,4,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,4,,,
"Angela Antonia Kageyama","KAGEYAMA, A. A.","2","2453258400377594",,5,,,
"Daniel Joseph Hogan","HOGAN, D.J.","3","",,5,,,
"Rosana Baeninger","BAENINGER, R.","4","",,5,,,
"Maria Coleta Ferreira Albino de Oliveira","OLIVEIRA, M. C. F. A.","5","",,5,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,5,,,
"Waldir José de Quadros","QUADROS, W. J.","2","",,6,,,
"João Manoel Cardoso de Melo","MELO, J. M. C.","3","",,6,,,
"Paulo Januzzi","JANUZZI, P.","4","",,6,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,6,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,7,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,8,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,9,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,10,,,
"Rodolfo Hoffmann","HOFFMANN, R.","1","4372333117476669",,11,,,
"Eugenia Troncoso Leone","LEONE, E. T.","2","8193784842843418",,11,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,12,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,13,,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,14,,,
"Rodolfo Hoffmann","HOFFMANN, R.","2","4372333117476669",,,0,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","3","",,,0,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,0,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,1,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,2,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,3,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,4,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,5,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,6,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,7,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,8,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,9,,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,10,,
"Claudio Salvadori Dedecca","DEDECCA, C. S.","2","",,,,0,
"Carlos Antonio Brandão","BRANDAO, C. A.","3","",,,,0,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,0,
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,0
"Rodolfo Hoffmann","HOFFMANN, R.","2","4372333117476669",,,,,1
"Miguel Juan Bacic","BACIC, M. J.","3","",,,,,1
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,1
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,2
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,3
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,4
"Eugenia Troncoso Leone","LEONE, E. T.","1","8193784842843418",,,,,5
