NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PARTITURA-MUSICAL_Id,PREFACIO-POSFACIO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,22
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,23
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,24
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,25
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,26
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,27
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,28
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,29
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,30
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,31
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,32
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,33
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,34
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,35
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,36
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,37
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,38
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,39
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,40
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,41
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,42
"Octavio Paz","PAZ, Octavio","2","",,,,,,,,,,,,,,,,,42
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,43
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,44
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,45
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,46
"Octavio Paz","PAZ, Octavio","2","",,,,,,,,,,,,,,,,,46
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,47
"MENEZES, Simone","Simone Menezes","2","",,,,,,,,,,,,,,,,,47
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,48
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,49
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,50
"MENEZES, Simone","Simone Menezes","2","",,,,,,,,,,,,,,,,,50
"Simioni","SIMIONI,Carlos","3","",,,,,,,,,,,,,,,,,50
"Puccetti","PUCCETTI, Ricardo","4","",,,,,,,,,,,,,,,,,50
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,51
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,52
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,53
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,54
"Octavio Paz","PAZ, Octavio","2","",,,,,,,,,,,,,,,,,54
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,55
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,56
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,57
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,58
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,59
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,60
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,61
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,62
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,63
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,64
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,65
"Carlos Simioni","Carlos Simioni","1","",,,,,,,,,,,,,,,,,66
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,,,,,,,,,,,,,,,66
"Tadashi Endo","Tadashi Endo","3","",,,,,,,,,,,,,,,,,66
"Carlos Simioni","Carlos Simioni","1","",,,,,,,,,,,,,,,,,67
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,,,,,,,,,,,,,,,67
"Tadashi Endo","Tadashi Endo","3","",,,,,,,,,,,,,,,,,67
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,68
"Luis Otávio Burnier","BURNIER, L. O.","2","",,,,,,,,,,,,,,,,,68
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,69
"Daniela Kutschat","KUTSCHAT, D.","2","",,,,,,,,,,,,,,,,,69
"Rejane Cantoni","CANTONI, R.","3","",,,,,,,,,,,,,,,,,69
"Fernando Fogliano","FOGLIANO, F.","4","",,,,,,,,,,,,,,,,,69
"Miltom Sogabe","SOGABE, M.","5","",,,,,,,,,,,,,,,,,69
"Renato Hildebrand","HILDEBRAND, R.","6","",,,,,,,,,,,,,,,,,69
"Rosângela Leote","LEOTE, R.","7","",,,,,,,,,,,,,,,,,69
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,70
"Hermes Renato Hildebrand","Hildebrand, Hermes Renato","2","",,,,,,,,,,,,,,,,,70
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,71
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,72
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,73
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,74
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,75
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,76
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,77
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,78
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,79
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,80
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,81
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,82
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,83
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,84
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,85
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,86
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,87
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,88
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,89
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,90
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,91
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,92
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,93
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,94
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,95
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,96
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,97
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,98
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,99
"Carlos Simioni","Carlos Simioni","2","",,,,,,,,,,,,,,,,,99
"Tadashi Endo","Tadashi Endo","3","",,,,,,,,,,,,,,,,,99
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,100
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,101
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,102
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,103
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,104
"José Ignacio de Campos Junior","CAMPOS JUNIOR, J. I. DE","2","",,,,,,,,,,,,,,,,,104
"Rejane Cantoni","CANTONI, R.","3","",,,,,,,,,,,,,,,,,104
"Daniela Kutschat","KUTSCHAT, D.","4","",,,,,,,,,,,,,,,,,104
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,105
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,106
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,107
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,108
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,109
"Jocy de Oliveira","Jocy de Oliveira","2","",,,,,,,,,,,,,,,,,109
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,110
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,111
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,112
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,113
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,114
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,115
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,116
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,117
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,118
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,119
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,120
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,121
"Luis Otávio Burnier","BURNIER, L. O.","2","",,,,,,,,,,,,,,,,,121
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,122
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,123
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,124
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,125
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,126
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,127
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,128
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,129
"Carlos Simioni","Carlos Simioni","1","",,,,,,,,,,,,,,,,,130
"Tadashi Endo","Tadashi Endo","2","",,,,,,,,,,,,,,,,,130
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,,,,,,,,,,,,,,,130
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,131
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,132
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,133
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,134
"Arthur Kauffmann Novas","NOVAS, A. K.","2","",,,,,,,,,,,,,,,,,134
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,,,,,,,,,,,,,135
