NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,22,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,23,,
"Tadeu Moraes Taffarello","T.M. T","2","",,,23,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,23,,
"Fernando Iazzeta","IAZZETA, F.","3","",,,24,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","1","",,,24,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,24,,
"JONATAS MANZOLLI","Manzolli, Jônatas","3","1648316318310818",,,25,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,25,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,25,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,26,,
"Artemis Maria Francelin Sanchez Moroni","MORONI, A. M. F. S.","3","",,,26,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,26,,
"Claudiney Carrasco","CARRASCO, C.","3","",,,27,,
"Adolfo Maia Júnior","MAIA JR, A.","1","",,,27,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,27,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,28,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","3","",,,28,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,28,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","3","",,,29,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,29,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,29,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,30,,
"Hermes Renato Hildebrand","Hildebrand, Hermes Renato","3","",,,30,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,30,,
"EMERSON LUIZ DE BIAGGI","Luiz de Biaggi, Emerson","2","",,,31,,
"Eduardo Antonio Conde Garcia","Garcia, E.A.C","1","",,,31,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,31,,
"MAURICY MATOS MARTIN","Martin, Mauricy Matos","1","",,,32,,
"Edmundo Pacheco Hora","HORA, E. P.","3","",,,32,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,32,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,33,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,33,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,34,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,34,,
"Adolfo Maia Júnior","MAIA JR, A.","3","",,,34,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","4","5348922588451895",,,34,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","3","",,,35,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,35,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,35,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,36,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,36,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,36,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","2","",,,37,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,37,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,37,,
"MARIA LUCIA SENNA MACHADO PASCOAL","PASCOAL, M. L. S. M.","3","",,,38,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,38,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,38,,
"Claudiney Carrasco","CARRASCO, C.","3","",,,39,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,39,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,39,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,40,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,41,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,42,,
"MARIA LUCIA SENNA MACHADO PASCOAL","PASCOAL, M. L. S. M.","3","",,,42,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,42,,
"José Augusto Mannis","MANNIS, J. A.","1","",,,43,,
"Cinthia Pinheiro Alireti","ALIRETI, C. P.","3","",,,43,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,43,,
"Esdras Rodrigues da Silva","SILVA, E. R. da","3","",,,44,,
"Paulo José de Siqueira Tiné","TINE, P. J. S.","1","",,,44,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,44,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,45,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","3","",,,45,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,45,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,46,,
"Antonio Carlos Silvano Passotti","PASSOTTI, A. C. S.","3","",,,46,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,46,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,47,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","3","",,,47,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,47,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","3","",,,48,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,48,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,48,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,49,,
"Stéphan Oliver Schaub","SCHAUB, S. O.","3","",,,49,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,49,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,50,,
"Adolfo Maia Júnior","MAIA JR, A.","2","",,,50,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,50,,
"JONATAS MANZOLLI","Manzolli, Jônatas","3","1648316318310818",,,51,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,51,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,51,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,52,,
"Stéphan Oliver Schaub","SCHAUB, S. O.","3","",,,52,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,52,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,53,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,53,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,53,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,54,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,54,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,54,,
"JONATAS MANZOLLI","Manzolli, Jônatas","3","1648316318310818",,,55,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,55,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,55,,
"Lygia Arcuri Eluf","ELUF, L. A.","1","",,,56,,
"Marcio Donato Perigo","PERIGO, M. D.","3","",,,56,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,56,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","2","",,,57,,
"Leonardo Adriano Viegas Aldrovandi","ALDROVANDI, L. A. V.","3","",,,57,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,57,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,58,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,59,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,60,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,61,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,62,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,63,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,64,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,65,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,66,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,67,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","1","",,,68,,
"Stéphan Oliver Schaub","SCHAUB, S. O.","3","",,,68,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,68,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","1","",,,69,,
"Rogerio Luiz Moraes Costa","COSTA, R. L. M.","2","",,,69,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,69,,
"LENITA WALDIGE MENDES NOGUEIRA","NOGUEIRA, L. W. M.","1","",,,70,,
"Carlos Wiik da Costa","COSTA, C. W.","3","",,,70,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,70,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,71,,
"Maria Bernadete Castelan Póvoas","POVOAS, M. B. C.","3","",,,71,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,71,,
"José Augusto Mannis","MANNIS, J. A.","1","",,,72,,
"ANTONIO RAFAEL CARVALHO DOS SANTOS","Santos, Antonio Rafael","3","",,,72,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,72,,
"JOSE AUGUSTO MANNIS","Mannis, José Augusto","1","",,,73,,
"Yara Borges Caznok","CAZNOK, Y. B.","3","",,,73,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,73,,
"José Augusto Mannis","MANNIS, J. A.","3","",,,74,,
"Edmundo Pacheco Hora","HORA, E. P.","1","",,,74,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,74,,
"LENITA WALDIGE MENDES NOGUEIRA","NOGUEIRA, L. W. M.","1","",,,75,,
"Lutero Rodrigues Silva","SILVA, L. R.","3","",,,75,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,75,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,76,,
"SILVIO FERRAZ DE MELLO FILHO","Ferraz, S.","3","",,,76,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,76,,
"José Augusto Mannis","MANNIS, J. A.","2","",,,77,,
"Hermilson Garcia do Nascimento","NASCIMENTO, H. G.","3","",,,77,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,77,,
"Mônica Giardini","GIARDINI, M.","2","",,,78,,
"Ivan Eiji Simurra","SIMURRA, I. E.","3","",,,78,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,78,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,79,,
"Tadeu Moraes Taffarello","T.M. T","3","",,,79,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,79,,
"PAULO MUGAYAR KUHL","Mugayar Kuhl, Paulo","1","",,,80,,
"Katia Regina Kato Justi","JUSTI, K. R. K.","3","",,,80,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,80,,
"JONATAS MANZOLLI","Manzolli, Jônatas","2","1648316318310818",,,81,,
"Tadeu Moraes Taffarello","T.M. T","3","",,,81,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,81,,
"JONATAS MANZOLLI","Manzolli, Jônatas","3","1648316318310818",,,82,,
"José Henrique Padovani Velloso","VELLOSO, J. H. P.","2","",,,82,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,82,,
"JONATAS MANZOLLI","Manzolli, Jônatas","1","1648316318310818",,,83,,
"Adolfo Maia Júnior","MAIA JR, A.","3","",,,83,,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,83,,
"José Augusto Mannis","MANNIS, J. A.","2","",,,,0,
"Eduardo Seincman","SEINCMAN, E.","3","",,,,0,
"Claudiney Carrasco","CARRASCO, C.","4","",,,,0,
"Mauricio Dottori","DOTTORI, M.","5","",,,,0,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,0,
"CLAUDINEY RODRIGUES CARRASCO","Carrasco, Claudiney","2","",,,,1,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,1,
"CLAUDINEY RODRIGUES CARRASCO","Carrasco, Claudiney","1","",,,,2,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","2","5348922588451895",,,,2,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,3,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,4,
"Fernando Iazzeta","IAZZETA, F.","2","",,,,5,
"EMERSON LUIZ DE BIAGGI","Luiz de Biaggi, Emerson","5","",,,,5,
"Marcos Branda Lacerda","LACERDA, M. B.","1","",,,,5,
"Yara Borges Caznok","CAZNOK, Y. B.","3","",,,,5,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","4","5348922588451895",,,,5,
"Fernando Iazzeta","IAZZETA, F.","1","",,,,6,
"Sérgio Freire Garcia","FREIRE, S.","4","",,,,6,
"Rodolfo Coelho de Souza","Rodolfo Coelho de Souza","2","",,,,6,
"Fabio Kon","Fabio Kon","5","",,,,6,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","3","5348922588451895",,,,6,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,7,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,8,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,9,
"Estércio Marques da Cunha","CUNHA, E. M.","2","",,,,10,
"Flávia Botelho","BOTELHO, F.","3","",,,,10,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,10,
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,0
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,1
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,2
"Marco Antônio Coelho","COELHO, M. A.","1","",,,,,3
"Luiz Fernando Ramos","RAMOS, L. F.","2","",,,,,3
"Antônio Luiz D. Januzeli","JANUZELI, A. L. D.","3","",,,,,3
"Mário Alberto de Santana","SANTANA, M. A.","5","",,,,,3
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","4","5348922588451895",,,,,3
"Denise Hortência Lopes Garcia","GARCIA, D. H. L.","1","5348922588451895",,,,,4
