ANO_INICIO,ANO_FIM,NOME,SITUACAO,NATUREZA,DESCRICAO
2008,2013,Métodos de Aproximação para Computação Visual,CONCLUIDO,PESQUISA,"O objetivo deste projeto é o desenvolvimento de algoritmos, técnicas
 matemáticas e ferramentas de software para problemas de computação
 visual (processamento de imagens, computação gráfica e visão
 computacional). Minha colaboração será em técnicas de segmentação e
 análise fractal de imagens e vídeos. O projeto envolve vários pesquisadores da UNICAMP. Eu cito alguns."
2008,2012,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade.",CONCLUIDO,PESQUISA,"O BIOCORE essencialmente estende o WebBIOS visando a criação de um
 museu virtual de história natural na UNICAMP e uma infra-estrutura
 para pesquisa de campo usando tablet PC. O projeto envolve vários colaboradores, eu cito alguns. Eu colaboro com técnicas de recuperação de imagens por conteúdo."
2008,2012,ICNTMat - Instituto Nacional de Ciencia e Tecnologia de Matematica,CONCLUIDO,PESQUISA,"A minha colaboração neste projeto é com o incentivo e a divulgação da
área de Computação Visual no Brasil através de palestras, organização de eventos, pesquisa e formação de alunos."
2005,2008,"Processamento, Visualização e Análise de Imagens Médicas",CONCLUIDO,PESQUISA,"Estudo e desenvolvimento de técnicas de processamento, visualização e análise de imagens, com ênfase em duas aplicações: Imagens de Ressonância Magnética do Cérebro Humano e Imagens de Microscopia Óptica de Parasitos Intestinais do Homem."
2009,2011,DAPI -- Automatização do Diagnóstico de Parasitos Intestinais do Homem por Análise de Imagens,CONCLUIDO,PESQUISA,"Este projeto visou o estudo, o desenvolvimento e a validação em laboratório de um
 sistema automatizado para aquisição e análise de imagens de
 microscopia óptica, visando o diagnóstico de parasitos intestinais
 do homem. O projeto envolveu técnicas parasitológicas, técnicas de
 aquisição de imagens com ajuste automático de foco, métodos de
 segmentação de imagens, extração de atributos e reconhecimento de
 padrões para diagnóstico das espécies. O sistema foi validado em laboratório com alta sensibidade diagnóstica, acima de 95%, e está agora em fase de teste de validação de campo."
2009,2011,ARPIs: Aprendizado e Reconhecimento de Padrões em Imagens por Florestas de Caminhos Ótimos,CONCLUIDO,PESQUISA,"Novas tecnologias permitem adquirir e armazenar milhares de imagens
com milhões de pixels cada, gerando grandes volumes de dados para
análise. Técnicas de aprendizado e reconhecimento de padrões em
imagens têm um papel fundamental na análise, mas o custo computacional
elevado para grandes bases de dados (milhões de amostras) compromete a
eficácia dessas técnicas, inviabilizando o uso de métodos populares
(como redes neurais e máquinas de vetores de suporte) em aplicações
onde o aprendizado com milhares de amostras deve ser repetido diversas
vezes durante o processamento dos dados. Este projeto aborda o
problema explorando e estendendo uma técnica recente de projeto de
classificadores de padrões por floresta de caminhos ótimos."
2011,2015,Análise de Padrões em Imagens usando Grafos e Modelos Nebulosos para Objetos e Classes,CONCLUIDO,PESQUISA,"Este projeto visa o estudo e o desenvolvimento de novas técnicas de análise de padrões em imagens, explorando a metodologia de reduzir o problema ao cálculo eficiente de florestas de caminhos ótimos em um grafo, e a construção e uso de modelos nebulosos sobre objetos ou classes. Estes modelos codificam informações globais sobre o problema, melhorando o desempenho dos métodos baseados em florestas de caminhos ótimos. Eles podem indicar, por exemplo, quais regiões da imagem são mais confiáveis para a extração de atributos."
2011,NULL,Modelos e Métodos de eScience para Ciências da Vida e Agrárias,EM_ANDAMENTO,PESQUISA,"Este projeto visa a criação de uma rede colaborativa de eScience para acelerar pesquisa avançada em ciências da vida (biologia, medicina, oceanografia) e ciências agrárias. Está estruturado em torno de cinco linhas de pesquisa biologia de sistemas, planejamento de safras, computação visual, modelagem matemática e bancos de dados. Dentro dessas linhas, serão tratadas questões em aberto associadas às principais componentes de um ambiente de pesquisa em eScience: armazenamento, processamento, análise e visualização de grandes volumes de dados científicos."
2010,2014,Novas Tendências em Reconhecimento de Padrões baseado em Floresta de Caminhos Ótimos,CONCLUIDO,PESQUISA,"Classificadores de padrões tradicionais, tais como Máquinas de Vetores de Suporte (Support Vector Machines - SVM) e redes neurais, pagam o preço de uma etapa de treinamento muito custosa para atingir taxas de exatidão aceitáveis em um conjunto de teste. Ainda assim, são inviáveis em situações que exigem um constante retreinamento dos dados e, principalmente, em aplicações com grande volume de dados (segmentação interativa de imagens de ressonância magnética do cérebro e de partículas de ferro em imagens metalográficas de alta resolução, por exemplo). Recentemente, um novo algoritmo de reconhecimento de padrões denominado Floresta de Caminhos Ótimos (Optimum-Path Forest - OPF) foi proposto na literatura, o qual demonstrou ser superior a redes neurais e classificadores bayesianos e similar às SVM, porém extremamente mais rápido (500x-1000x, dependendo do tamanho da base de dados), sendo ainda contemplado com 3 prêmios no ano de 2009. O classificador OPF modela a tarefa de classificação dos dados como sendo um problema de partição de um grafo induzido pelo espaço de características em árvores de caminhos ótimos (Optimum-Path Tree - OPT), onde cada amostra está mais fortemente conexa à raiz de sua árvore do que a qualquer outra raiz nessa floresta. Amostras pertencentes a uma mesma OPT recebem o mesmo rótulo no processo de classificação dos dados. Embora o classificador OPF tenha sido utilizado em diversas áreas de pesquisa nos últimos 2 anos, tais como sensoriamento remoto, visão computacional (impressão digital e reconhecimento de faces), identificação de doenças parasitárias em humanos e processamento de sinais biomédicos, existem ainda muitas outras que necessitam validar a sua aplicabilidade. O presente projeto de pesquisa objetiva um amplo e completo estudo do classificador OPF, bem como o desenvolvimento de novas variantes do mesmo, sua implementação em GPU (Graphics Processing Unit) e sua aplicação em diversas outras áreas de pesquisa."
2012,NULL,"Reconhecimento Robusto de Faces adequado a Plataforma Móveis. Coordenador: Alexandre Falcão. Samsung, Corea, 2012",EM_ANDAMENTO,PESQUISA,"A pesquisa visa melhorar o método atual de reconhecimento de faces, em
acurácia e escalabilidade para grandes bases de dados, mantendo sua
característica de ser facilmente paralelizável. Para isso é preciso
que a solução apresentada seja capaz de identificar eficientemente os
indivíduos críticos em um determinado banco de dados e atualizar este
classificador quando novos indivíduos aparecem. Por fim, será
realizado um experimento para verificar os resultados em sistema
Android."
2010,2014,Automatização do Diagnóstico de Parasitos Entéricos do Homem por Análise Computadorizada de Imagens,CONCLUIDO,PESQUISA,"Atualmente, não há no mundo um sistema que automatize o diagnóstico das parasitoses da luz intestinal de humanos. Porém, este novo tipo de diagnóstico tem sido uma meta de pesquisa desde 1999, quando membros da equipe desta proposta desenvolveram com sucesso, em projeto FAPESP/PIPE, uma técnica parasitológica inovadora de maior sensibilidade diagnóstica, denominada TF-Test (Three Fecal Test), para a realização de coleta e processamento laboratorial de amostras fecais, a qual foi industrializada e está disponível no mercado. Dando prosseguimento a esta linha de pesquisa, foi concluído recentemente (2011) um projeto de auxílio regular FAPESP, com membros da mesma equipe, que resultou à viabilização técnico/científica de um sistema automatizado, denominado DAPI, para o diagnóstico de grande parte das parasitoses intestinais mais comuns em humanos no país. Este sistema consiste de avanços na citada técnica parasitológica, efetivamente intitulada de TF-Test Modified, cuja permitiu reduzir a quantidade de impurezas em material fecal e possibilitou a aplicação de técnicas computacionais nas imagens, combinados com equipamentos e métodos para aquisição e processamento automatizados de imagens em lâminas de microscopia óptica. A presente proposta (FAPESP/PIPE, proc. 2011/51467-0) tem em vista o prosseguimento da pesquisa com o sistema DAPI, para efetivamente transformá-lo em um produto comercial, com as seguintes atividades em uma pequena empresa: a) ampliação do diagnóstico por computador para as espécies mais prevalentes do Brasil, através de melhorias nas técnicas parasitológicas e computacionais; b) aplicação de modificação (melhoria) do sistema DAPI, visando utilizar componentes mais simples e mais rápidos, já disponíveis no mercado, de maneira a aumentar a sua eficácia diagnóstica, e adicionar a possibilidade de diagnóstico à distância (telediagnóstico); c) criação de pontos de verificação para a detecção de falhas no procedimento laboratorial e no equipamento; d) vali"
2013,NULL,Computação Visual em Biomedicina e Saúde. Edital PRP/PRPG: Laboratórios Integrados de Pesquisa (LIP),EM_ANDAMENTO,PESQUISA,"Este projeto agrega várias linhas de pesquisa entre Computação e
outras Ciências (Biologia, Medicina, Química). Atualmente essas linhas
de pesquisa incluem a análise de imagens de parasitos intestinais em
colaboração com Jancarlo Gomes (Biologia) da UNICAMP e Kátia Bresciani
(Medicina Veterinária) UNESP - Araçatuba; a análise de imagens médicas
em colaboração com Fernando Cendes (Medicina) UNICAMP, com Jayaram
Udupa da University of Pennsylvania (USA), Andre Souza da Carestream
Health (USA), Krzysztof Ciesielski da West Virginia University (USA),NULL
Filip Malmberg da University of Uppsala (Sweeden), e Alexandry Telea
da University of Groningen (Netherlands); e a análise de imagens de
plantas em colaboração com Susan McCouch da Cornell University (USA)."
2013,NULL,Técnicas Eficientes para Anotação de Imagem em Grandes Bases de Dados,EM_ANDAMENTO,PESQUISA,"O tamanho das bases de imagens usadas em várias aplicações ---
diagnóstico médico, pesquisa acadêmica de diversas áreas, sistemas de
segurança, --- cresce rapidamente com os avanços e a variedade das
tecnologias de aquisição de imagens. A organização desses dados é um
problema fundamental para a recuperação de informação e a anotação
manual das imagens, que é a forma mais eficaz de organizar os dados,NULL
se torna inviável com o aumento das bases. Este projeto visa,NULL
portanto, o estudo, o desenvolvimento, e a validação de técnicas
eficientes para a anotação de imagem em grandes bases de dados. A
metodologia proposta combina o conhecimento proveniente de técnicas de
aprendizado de descritores de imagem em profundidade, segmentação de
imagem usando múltiplas escalas, grafos e modelos de objeto,NULL
aprendizados ativo, não-supervisionado, e supervisionado, otimização,NULL
representação e classificação de padrões. Para validação, o projeto
visa aplicações como reconhecimento de faces em dispositivos móveis,NULL
diagnóstico de enteroparasitoses em humanos e animais, diagnóstico de
câncer de pele, diagnóstico de distúrbios do comportamento (e.g.,NULL
autismo), e diagnóstico de osteoartrite. O projeto também envolve a
colaboração com diversos grupos de pesquisa no exterior (EUA, Suécia,NULL
Dinamarca, e Holanda) e pesquisadores brasileiros, visando
principalmente a qualidade da formação acadêmica de novos
pesquisadores brasileiros."
2015,NULL,"Modelos Computacionais para Aprendizado, Representação e Anotação de Conteúdo de Imagem",EM_ANDAMENTO,PESQUISA,"Bases de imagens crescem rapidamente com os avanços e a variedade das tecnologias de aquisição de dados, demandando soluções urgentes para problemas de processamento, organização e recuperação de informação em diversas áreas das Ciências e Engenharias. O processamento aqui visa a anotação do conteúdo semântico das imagens, atribuindo a cada uma delas um ou mais rótulos. A anotação das imagens é crucial para a organização e a recuperação eficazes da informação correspondente. Este projeto tem como objetivos gerais o avanço das técnicas de aprendizado, representação, e anotação de conteúdo de imagem, e das tecnologias de diagnóstico médico por análise de imagem, no cenário atual de grandes bases de dados. A metodologia proposta envolve paralelização de operadores de imagem; técnicas de aprendizado de descritores; segmentação de imagem baseada em múltiplas escalas, hierarquia de superpixels, modelos de aparência de objetos, grafos, com e sem intervenção do usuário; técnicas de
aprendizado ativo, não-supervisionado, semi-supervisionado e supervisionado; algoritmos de otimização, representação e classificação de padrões."
2017,NULL,AnImaLS: Annotation of Images in Large Scale: What can machines and specialists learn from interaction?,EM_ANDAMENTO,PESQUISA,"In many areas of the Sciences and Engineering, images provide important information about real problems and the assignment by a machine of one or multiple labels per image (annotation) leads to a decision about the problem. However, the machine learning process requires the manual isolation and identification (label assignment) of the content of interest, named sample, in training images. As unlabeled images and samples per image grow large in number, their manual annotation becomes infeasible, leading us to the following research questions: What is the most intuitive way specialists can teach machines to annotate images? What are the tasks and challenges involved in this process? How to minimize human effort with maximum efficacy in machine learning? What can machines and specialists learn from their interaction? This thematic project aims at finding answers to these questions by the study and development of methods for image annotation in large scale, and the construction of decision-making systems (with no user participation) and decision-support systems, where machines and specialists cooperate with and learn from each other continuously. The methodology exploits the complementary skills of humans, better in knowledge abstraction, and machines, superior in large scale data processing, in a repetitive way and free of fatigue. The project divides the problem into two steps: sample extraction and interactive machine learning, in view of building a sequence of operations for automated annotation of new images or annotation with minimum user intervention. The study searches to combine image features learned from the data with features that derive from the knowledge of the specialists about the application. The project still aims at technological and scientific innovations for the diagnosis of gastrintestinal parasites in humans and vertebrate animals, by the automated acquisition and annotation of optical microscopy images, and to demonstrate the extension of the methods to other application domains, the project includes studies of medical image annotation using multi-object shape models and interactive annotation of remote sensing images."
1998,2001,Segmentação Assistida de Imagens e Vídeos Digitais,CONCLUIDO,DESENVOLVIMENTO,Este projeto teve como objetivo o desenvolvimento de ferramentas computacionais para segmentação de imagens e vídeos digitais.
2011,2012,Análise de Imagens 3D de Raízes de Plantas visando Associações Genótipo-Fenótipo.,CONCLUIDO,PESQUISA,"Este projeto tem por meta a análise de imagens de raízes de plantas visando o desenvolvimento de técnicas de esqueletonização 3D, extração de medidas de caracterização do fenótipo das plantas, ténicas de agrupamento, e técnicas de associação genótipo-fenótipo.
FAPESP 2011/03110-6, Agosto de 2011 a Julho de 2012, bolsa de pesquisa no exterior."
2015,NULL,SAMSAM: Segmentation for Analysis and Measurements in the Shoot Apical Meristem,EM_ANDAMENTO,PESQUISA,"Problem: The shoot apical meristem is a network of cells located at the top of plants responsible for all above ground plant growth. Since most of what humans eat, such as grains and fruits, is derived from the shoot, biologists around the world investigate the regulatory mechanisms that drive a healthy growth of the meristem and the crops that depend on it. Computer simulations done on phantom models with idealized cell shapes, sizes, and connectivity have recently shown how transport of proteins and hormones responsible for growth in the shoot can be modeled to generate patterns observed in the wet lab. It is desirable, however, to move to more realistic models derived directly from real data. This type of modeling requires the segmentation of hundreds of cells in 3D confocal microscopy images, for posterior cell lineage tracking using time-lapse imaging. Fully automatic segmentation leads to errors that may be propagated to cell lineage tracking if not fixed. Hence, user-assisted object segmentation must be performed to ensure high accuracy, which calls for robust methods that minimize the required amount of user intervention to prevent mistakes caused by weariness and carelessness Proposal: This postdoctoral research project aims to investigate solutions that integrate in an effective and efficient way automatic image segmentation and interactive correction. In this context, we argue that the appearance of the cells in the images calls for methods that attempt to segment them automatically, providing at the same time a set of suitable seed voxels that can be interactively edited for greater effectiveness. We thus propose to develop interactive and automatic techniques derived from the Image Foresting Transform (IFT) framework to this end, a tool for the design of image processing operators based on optimum connectivity. To further reduce user effort and increase robustness of the result, we shall implement our techniques in an on-line collaborative segmentation platform developed at the California Institute of Technology (Caltech). The users will segment smaller portions of the image, which will then be merged through consensus analysis to obtain the final result. Justification and expected results: The project will be developed at Caltech, under the supervision of Prof. Dr. Elliot Meyerowitz and Dr. Alexandre Cunha, thereby increasing the candidate's international experience and our group's international cooperation network. They are interested in long-term collaboration and have great expertise on the subject, while possessing hundreds of images that can be mined for producing the aforementioned models. We expect that the on-line application will be useful for plant biologists worldwide, and that it may be extended to domains such as medical image segmentation, following the principle of integration between automatic and interactive techniques."
