NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",41,,,
"Zanoni Dias","DIAS, Z.","2","",41,,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",41,,,
"Zanoni Dias","Dias, Z.","1","",42,,,
"Anderson Rocha","ROCHA, A.","2","1521815731111261",42,,,
"Siome Goldenstein","Goldenstein, S.","3","3575273076267374",42,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","1","0292740764507528",43,,,
"Zanoni Dias","Dias, Z.","2","",43,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",44,,,
"Zanoni Dias","Dias, Z.","2","",44,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",45,,,
"Zanoni Dias","DIAS, Z.","2","",45,,,
"Zanoni Dias","DIAS, Z.","1","",46,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",46,,,
"LENWOOD SCOTT HEATH","HEATH, L. S.","3","",46,,,
"João Carlos Setubal","SETUBAL, J. C.","4","0527652166877006",46,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",47,,,
"Zanoni Dias","Dias, Z.","2","",47,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",48,,,
"Zanoni Dias","Dias, Z.","2","",48,,,
"Sergio J. R. Ordine","ORDINE, S. J. R.","1","",49,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","2","0292740764507528",49,,,
"Zanoni Dias","Dias, Z.","3","",49,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",50,,,
"Zanoni Dias","DIAS, Z.","2","",50,,,
"Thiago da Silva Arruda","Arruda, T. S.","1","4408949874393794",51,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",51,,,
"Zanoni Dias","Dias, Z.","3","",51,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",52,,,
"Zanoni Dias","Dias, Z.","2","",52,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",53,,,
"Zanoni Dias","DIAS, Z.","2","",53,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",54,,,
"Zanoni Dias","DIAS, Z.","2","",54,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",55,,,
"Zanoni Dias","DIAS, Z.","2","",55,,,
"Thiago da Silva Arruda","Arruda, T. S.","1","4408949874393794",56,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",56,,,
"Zanoni Dias","DIAS, Z.","3","",56,,,
"Ulisses Dias","U. Dias","1","4926594438458702",57,,,
"Andre Rodrigues Oliveira","OLIVEIRA, A. R.","2","9814400643053681",57,,,
"Zanoni Dias","DIAS, Z.","3","",57,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",58,,,
"Zanoni Dias","DIAS, Z.","2","",58,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",59,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",59,,,
"Zanoni Dias","DIAS, Z.","3","",59,,,
"Alberto Arruda de Oliveira","OLIVEIRA, A. A.","1","",60,,,
"Pasquale Ferrara","FERRARA, P.","2","",60,,,
"Alessia De Rosa","ROSA, A.","3","",60,,,
"Alessandro Piva","PIVA, A.","4","",60,,,
"Mauro Barni","BARNI, M.","5","",60,,,
"Siome Goldenstein","Goldenstein, S.","6","3575273076267374",60,,,
"Zanoni Dias","DIAS, Z.","7","",60,,,
"Anderson Rocha","ROCHA, A.","8","1521815731111261",60,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",61,,,
"Christian Baudet","BAUDET, C.","2","2331553018873575",61,,,
"Zanoni Dias","DIAS, Z.","3","",61,,,
"Filipe de Oliveira Costa","COSTA, F. O.","1","9296763269153204",62,,,
"Silvia LAMERI","LAMERI, S.","2","",62,,,
"Paolo BESTAGINI","BESTAGINI, P.","3","",62,,,
"Zanoni Dias","DIAS, Z.","4","",62,,,
"Anderson Rocha","ROCHA, A.","5","1521815731111261",62,,,
"Marco Tagliasacchi","TAGLIASACCHI, M.","6","",62,,,
"Stefano Tubaro","TUBARO, S.","7","",62,,,
"GALVÃO, GUSTAVO RODRIGUES","GALVÃO, GUSTAVO RODRIGUES","1","7906213363972554",63,,,
"Zanoni Dias","DIAS, Z.","2","",63,,,
"Filipe de Oliveira Costa","COSTA, F. O.","1","9296763269153204",64,,,
"Silvia LAMERI","LAMERI, S.","2","",64,,,
"Paolo BESTAGINI","BESTAGINI, P.","3","",64,,,
"Zanoni Dias","DIAS, Z.","4","",64,,,
"Stefano Tubaro","TUBARO, S.","5","",64,,,
"Anderson Rocha","ROCHA, A.","6","1521815731111261",64,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",65,,,
"Christian Baudet","BAUDET, C.","2","2331553018873575",65,,,
"Zanoni Dias","Dias, Z.","3","",65,,,
"Guilherme P. Telles","TELLES, G. P.","1","9783560852644016",,0,,
"Marília D.V. Braga","BRAGA, M. D. V.","2","0188019824603585",,0,,
"Zanoni Dias","DIAS, Z.","3","",,0,,
"Tzy-Li, Lin","Tzy-Li, Lin","4","0781488945777221",,0,,
"José A. A. Quitzau","QUITZAU, J. A. A.","5","",,0,,
"Felipe R. da Silva","SILVA, F. R.","6","5098407619682182",,0,,
"João Meidanis","MEIDANIS, J.","7","1313385414995585",,0,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,1,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",,1,,
"Zanoni Dias","Dias, Z.","3","",,1,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",,2,,
"João Meidanis","MEIDANIS, J.","2","1313385414995585",,2,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",,3,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",,3,,
"Miguel Galves","GALVES, M.","1","3614514304945823",,4,,
"José A. A. Quitzau","QUITZAU, J. A. A.","2","",,4,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",,4,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",,5,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",,5,,
"Lemaitre, C.","Lemaitre, C.","2","",,5,,
"Gautier, C.","Gautier, C.","4","",,5,,
"Tannier, E.","Tannier, E.","5","",,5,,
"Sagot, M.-F.","Sagot, M.-F.","6","1077184162483679",,5,,
"Zanoni Dias","Dias, Z.","1","",,6,,
"Anderson Rocha","ROCHA, A.","2","1521815731111261",,6,,
"Siome Goldenstein","Goldenstein, S.","3","3575273076267374",,6,,
"Zanoni Dias","DIAS, Z.","1","",,7,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",,7,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",,7,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",,8,,
"Zanoni Dias","Dias, Z.","2","",,8,,
"Sagot, M.-F.","Sagot, M.-F.","3","1077184162483679",,8,,
"Layla Farage Martins","MARTINS, L. F.","1","0751197039557876",,9,,
"Eric H. Ostroski","OSTROSKI, E. H.","10","",,9,,
"Guilherme P. Telles","TELLES, G. P.","11","9783560852644016",,9,,
"Zanoni Dias","Dias, Z.","12","",,9,,
"João Batista da Cruz","CRUZ, J. B.","13","6711198385217623",,9,,
"Luiz Juliano","JULIANO, L.","14","6593457386037361",,9,,
"Sergio Verjovski-Almeida","VERJOVSKI-ALMEIDA, S.","15","5508865855321722",,9,,
"Aline Maria da Silva","SILVA, A. M.","16","2653769170795641",,9,,
"João Carlos Setubal","SETUBAL, J. C.","17","0527652166877006",,9,,
"Luciana Principal Antunes","ANTUNES, L. P.","2","",,9,,
"Renata C. Pascon","PASCON, R. C.","3","4203540318082044",,9,,
"Julio Cezar Franco de Oliveira","OLIVEIRA, J. C. F.","4","5745233659737350",,9,,
"Luciano A. Digiampietri","DIGIAMPIETRI, L. A.","5","1689147340536405",,9,,
"Deibs Barbosa","BARBOSA, D.","6","7053401450219768",,9,,
"Bruno Malveira Peixoto","PEIXOTO, B. M.","7","8782940489004393",,9,,
"Marcelo A. Vallim","VALLIM, M. A.","8","4039129182586680",,9,,
"Cristina Viana-Niero","VIANA-NIERO, C.","9","6723968833615135",,9,,
"Zanoni Dias","Dias, Z.","1","",,10,,
"Siome Goldenstein","Goldenstein, S.","2","3575273076267374",,10,,
"Anderson Rocha","ROCHA, A.","3","1521815731111261",,10,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",,11,,
"Zanoni Dias","Dias, Z.","2","",,11,,
"Zanoni Dias","Dias, Zanoni","1","",,12,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","2","3575273076267374",,12,,
"ROCHA, ANDERSON","ROCHA, ANDERSON","3","1521815731111261",,12,,
"Zanoni Dias","Dias, Zanoni","1","",,13,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","2","3575273076267374",,13,,
"ROCHA, ANDERSON","ROCHA, ANDERSON","3","1521815731111261",,13,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",,14,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","2","7906213363972554",,14,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","3","5892586921365513",,14,,
"Zanoni Dias","Dias, Z.","4","",,14,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",,15,,
"Zanoni Dias","DIAS, Z.","2","",,15,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",,16,,
"Zanoni Dias","DIAS, Z.","2","",,16,,
"Zanoni Dias","Dias, Zanoni","1","",,17,,
"DIAS, ULISSES","DIAS, ULISSES","2","4926594438458702",,17,,
"COSTA, FILIPE DE O.","COSTA, FILIPE DE O.","1","",,18,,
"OIKAWA, MARINA A.","OIKAWA, MARINA A.","2","",,18,,
"Zanoni Dias","Dias, Zanoni","3","",,18,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","4","3575273076267374",,18,,
"REZENDE DE ROCHA, ANDERSON","REZENDE DE ROCHA, ANDERSON","5","",,18,,
"GALVÃO, GUSTAVO RODRIGUES","GALVÃO, GUSTAVO RODRIGUES","1","7906213363972554",,19,,
"LEE, ORLANDO","LEE, ORLANDO","2","2985003469291138",,19,,
"Zanoni Dias","Dias, Zanoni","3","",,19,,
"LINTZMAYER, CARLA NEGRI","LINTZMAYER, CARLA NEGRI","1","5892586921365513",,20,,
"FERTIN, GUILLAUME","FERTIN, GUILLAUME","2","",,20,,
"Zanoni Dias","Dias, Zanoni","3","",,20,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",,21,,
"Ulisses Dias","U. Dias","2","4926594438458702",,21,,
"Zanoni Dias","DIAS, Z.","3","",,21,,
"OIKAWA, MARINA A.","OIKAWA, MARINA A.","1","",,22,,
"Zanoni Dias","Dias, Zanoni","2","",,22,,
"DE REZENDE ROCHA, ANDERSON","DE REZENDE ROCHA, ANDERSON","3","",,22,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","4","3575273076267374",,22,,
"DE OLIVEIRA, ALBERTO A.","DE OLIVEIRA, ALBERTO A.","1","",,23,,
"FERRARA, PASQUALE","FERRARA, PASQUALE","2","",,23,,
"DE ROSA, ALESSIA","DE ROSA, ALESSIA","3","",,23,,
"PIVA, ALESSANDRO","PIVA, ALESSANDRO","4","",,23,,
"BARNI, MAURO","BARNI, MAURO","5","",,23,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","6","3575273076267374",,23,,
"Zanoni Dias","Dias, Zanoni","7","",,23,,
"ROCHA, ANDERSON","ROCHA, ANDERSON","8","1521815731111261",,23,,
"OIKAWA, MARINA A.","OIKAWA, MARINA A.","1","",,24,,
"Zanoni Dias","Dias, Zanoni","2","",,24,,
"ROCHA, ANDERSON","ROCHA, ANDERSON","3","1521815731111261",,24,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","4","3575273076267374",,24,,
"Guilherme Marmerola","MARMEROLA, G.","1","",,25,,
"Marina Atsumi Oikawa","OIKAWA, M. A.","2","",,25,,
"Zanoni Dias","DIAS, Z.","3","",,25,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","4","3575273076267374",,25,,
"Anderson Rocha","ROCHA, A.","5","1521815731111261",,25,,
"LINTZMAYER, CARLA NEGRI","LINTZMAYER, CARLA NEGRI","1","5892586921365513",,26,,
"FERTIN, GUILLAUME","FERTIN, GUILLAUME","2","",,26,,
"Zanoni Dias","Dias, Zanoni","3","",,26,,
"COSTA, FILIPE","COSTA, FILIPE","1","",,27,,
"OLIVEIRA, ALBERTO","OLIVEIRA, ALBERTO","2","",,27,,
"FERRARA, PASQUALE","FERRARA, PASQUALE","3","",,27,,
"Zanoni Dias","Dias, Zanoni","4","",,27,,
"GOLDENSTEIN, SIOME","GOLDENSTEIN, SIOME","5","3575273076267374",,27,,
"ROCHA, ANDERSON","ROCHA, ANDERSON","6","1521815731111261",,27,,
"GALVAO, GUSTAVO RODRIGUES","GALVAO, GUSTAVO RODRIGUES","1","",,28,,
"BAUDET, CHRISTIAN","BAUDET, CHRISTIAN","2","",,28,,
"Zanoni Dias","Dias, Zanoni","3","",,28,,
"DA SILVA ARRUDA, THIAGO","DA SILVA ARRUDA, THIAGO","1","",,29,,
"DIAS, ULISSES","DIAS, ULISSES","2","4926594438458702",,29,,
"Zanoni Dias","Dias, Zanoni","3","",,29,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,,0,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",,,0,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",,,,0
"João Meidanis","MEIDANIS, J.","2","1313385414995585",,,,0
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","1","0292740764507528",,,,1
"Miguel Galves","GALVES, M.","2","3614514304945823",,,,1
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",,,,1
"Christian Baudet","BAUDET, C.","1","2331553018873575",,,,2
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",,,,2
"Christian Baudet","BAUDET, C.","1","2331553018873575",,,,3
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",,,,3
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,,,4
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",,,,4
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,,,5
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",,,,5
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",,,,5
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,,,6
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",,,,6
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",,,,6
"Christian Baudet","BAUDET, C.","1","2331553018873575",,,,7
"Zanoni Dias","DIAS, Z.","2","",,,,7
"Ambra Melloni","MELLONI, A.","1","",,,,8
"Marco Tagliasacchi","TAGLIASACCHI, M.","2","",,,,8
"Stefano Tubaro","TUBARO, S.","3","",,,,8
"Filipe de Oliveira Costa","COSTA, F. O.","4","9296763269153204",,,,8
"Marina Atsumi Oikawa","OIKAWA, M. A.","5","",,,,8
"Zanoni Dias","DIAS, Z.","6","",,,,8
"Siome Goldenstein","Goldenstein, S.","7","3575273076267374",,,,8
"Anderson Rocha","ROCHA, A.","8","1521815731111261",,,,8
"Filipe de Oliveira Costa","COSTA, F. O.","1","9296763269153204",,,,9
"Alberto Arruda de Oliveira","OLIVEIRA, A. A.","2","",,,,9
"Pasquale Ferrara","FERRARA, P.","3","",,,,9
"Zanoni Dias","DIAS, Z.","4","",,,,9
"Siome Goldenstein","Goldenstein, S.","5","3575273076267374",,,,9
"Anderson de Rezende Rocha","Rocha, A. de R.","6","1521815731111261",,,,9
"Eduardo Rossetti Donoso","DONOSO, E. R.","1","",,,,10
"Andre Rodrigues Oliveira","OLIVEIRA, A. R.","2","9814400643053681",,,,10
"Ulisses Dias","U. Dias","3","4926594438458702",,,,10
"Zanoni Dias","DIAS, Z.","4","",,,,10
"Christian Baudet","BAUDET, C.","1","2331553018873575",,,,11
"Miguel Galves","GALVES, M.","2","3614514304945823",,,,11
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",,,,11
