NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Boletim Economia Política Internacional: Análise estratégica","Controle de capitais: um bem necessário?","2004","Brasil","Português","MEIO_DIGITAL","http://www.eco.unicamp.br/asp-scripts/boletim_ceri/boletim1.asp","NAO","","","","NAO",11
"Textos para Discussão","Reflexões sobre o financiamento na economia brasileira","2002","Brasil","Português","NAO_INFORMADO","http://www.eco.unicamp.br/publicacoes/textos/t109.html","NAO","","","","NAO",12
"Textos para Discussão","A trajetória do Banco do Brasil no período recente (2001-2006): banco público ou banco estatal "privado"?","2007","Brasil","Português","NAO_INFORMADO","http://www.eco.unicamp.br/publicacoes/textos/t136.html","NAO","","","","NAO",13
"São Paulo em Perspectiva","Pesquisa da atividade econômica paulista: uma metodologia de produção de dados e de conhecimento. Co-autoria com a equipe técnica da PAEP","1999","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",14
"Cadernos da FCECA","Abordagem monetária plural a partir de um ponto de vista heterodoxo","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",15
"Relatório de Pesquisa","Análise dos custos de produção e dos preços recebidos na persicultura de Pelotas-RS. In: Conflitos sociais e transformações sócio-eocnômicas na agricultura do sul. Relatório Técnico-Científico","1992","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",16
"Artigos publicados em Sites da Internet","A Contemporaneidade de Minsky. Dossiê da Crise","2008","Brasil","Português","MEIO_DIGITAL","http://www.ppge.ufrgs.br/akb/dossie-crise.pdf","NAO","","","","NAO",17
"Entrevista IHU - On line","Ainda que seja inevitável que a economia brasileira sofra com essa crise, ela tem boas condições para enfrentá-la","2008","Brasil","Português","NAO_INFORMADO","http://www.unisinos.br/ihuonline/","NAO","","","","NAO",18
"Entrevista","Pacote ajuda, mas não é suficiente","2008","Brasil","Português","NAO_INFORMADO","http://terramagazine.terra.com.br/","NAO","","","","NAO",19
"Entrevista Anima Mundi","A crise internacional e as perspectivas para o Brasil","2009","Brasil","Português","NAO_INFORMADO","www.operamundi.net","NAO","","","","NAO",20
"Relatório de Pesquisa - Mimeografia","Perspectivas do Investimento na Dimensão do Mercosul e da América Latina","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",21
"Artigos publicados em Sites da Internet","O Papel dos Bancos Públicos e a Experiência Brasileira Recente. Dossiê da Crise II","2010","Brasil","Português","MEIO_DIGITAL","http://www.ppge.ufrgs.br/akb/dossie-crise-II.pdf","NAO","","","","NAO",22
"Relatório de Pesquisa","O papel das políticas públicas na formação e internacionalização dos grandes grupos nacionais: a experiência da União Européia países selecionados","2010","Brasil","Português","OUTRO","","NAO","","","","NAO",23
"Relatório de Pesquisa","Fragilidade e crise minskyanas numa economia financeirizada","2010","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",24
"Boletim Economia Política Internacional","Cooperação financeira no Mercosul: um passo imprescindível para o fortalecimento da integração","2011","Brasil","Português","OUTRO","","NAO","","","","NAO",25
"Relatório de Pesquisa","A regulação do sistema financeiro após a crise","2011","Brasil","Português","OUTRO","","NAO","","","","NAO",26
"Leituras de Economia Política","Depoimento.","2011","Brasil","Português","VARIOS","","NAO","","","","NAO",27
"Entrevista","Programa Diálogo sem Fronteira - Tema: América do Sul e cooperação financeira","2011","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",28
"Relatório de Pesquisa","Federal Public Banks in Brazil: historical overview and role in the recent crisis","2012","Brasil","Português","OUTRO","","NAO","","","","NAO",29
"Relatório de Pesquisa","Tendências dos sistemas financeiros após a crise e a possibilidade de política financeira para a economia brasileira","2013","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",30
"Relatório de Pesquisa","Sistema bancário chinês: evolução e internacionalização recente","2013","Brasil","Português","OUTRO","","NAO","","","","NAO",31
"Artigos publicados em Sites da Internet","Transformações no sistema bancário norte-americano e o papel da regulação","2015","Brasil","Português","MEIO_DIGITAL","http://brasildebate.com.br/transformacoes-no-sistema-bancario-norte-americano-e-o-papel-da-regulacao/","NAO","","","","NAO",32
"Relatório de Pesquisa - Mimeografia","Há fragilidade financeira no mercado de crédito no Brasil? Uma contribuição para a discussão a partir da análise do segmento de crédito imobiliário","2015","Brasil","Português","IMPRESSO","","NAO","","","","NAO",33
"Relatório de Pesquisa","Basileia III no Brasil: institucionalidade e efeitos sobre o crédito","2016","Brasil","Português","IMPRESSO","","NAO","","","","SIM",34
"Artigos publicados em Sites da Internet","BNDES, Krugman e as dívidas do setor privado","1999","Brasil","Português","IMPRESSO","http://www10.amcham.com.br/bil","NAO","","","","NAO",35
