NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,4,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,5,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,6,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","3","",,7,,,
"Marco Crocco","CROCCO, M.","4","",,7,,,
"Frederico G. Jayme jr.","JAYME JR., F. G.","2","",,7,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,7,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,8,,,
"José Maria Ferreira Jardim da Silveira","SILVEIRA, J. M. F. J.","2","",,9,,,
"Rosângela Ballini","BALLINI, R.","1","",,9,,,
"Mariano Francisco Laplane","LAPLANE, M. F.","3","",,9,,,
"Jorge Eduardo de Castro Soromenho","SOROMENHO, J. E. C.","4","",,9,,,
"Eleutério Fernando da Silva Prado","Prado, E.F.S.","5","",,9,,,
"Simone Silva de Deos","DEOS, Simone","6","2014231776693159",,9,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,10,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,11,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,11,,,
"vanessa petrelli correia","CORREIA, V. P.","2","",,12,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,12,,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","1","",,13,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","5","5136633901754773",,13,,,
"Eleutério Fernando da Silva Prado","Prado, E.F.S.","3","",,13,,,
"Ramon Vicente Garcia Fernandez","FERNANDEZ, R. V. G.","4","",,13,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,13,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","3","5136633901754773",,14,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,14,,,
"Gentil Corazza","CORAZZA, G.","4","",,14,,,
"vanessa petrelli correia","CORREIA, V. P.","5","",,14,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,14,,,
"Luiz Gonzaga de Mello Belluzzo","BELLUZZO, Luiz Gonzaga de Mello","3","",,15,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","4","2245694745135834",,15,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","2","",,15,,,
"vanessa petrelli correia","CORREIA, V. P.","1","",,15,,,
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",,15,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","3","",,16,,,
"Maryse Farhi","FARHI, Maryse","1","",,16,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","",,16,,,
"Ernani T. Torres Filho","TORRES FILHO, E. T.","4","",,16,,,
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",,16,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","4","5136633901754773",,17,,,
"Fernando Ferrari Filho","FILHO, Fernando Ferrari","2","",,17,,,
"Mariano Francisco Laplane","LAPLANE, M. F.","5","",,17,,,
"Patrícia Helena Fernandes Cunha","CUNHA, P. H. F.","3","",,17,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,17,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","6","2245694745135834",,18,,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","4","",,18,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","5","2245694745135834",,18,,,
"Durand, Cedric","Durand, C","1","",,18,,,
"Robert Guttmann","GUTTMANN, R.","2","",,18,,,
"Eliane Araujo","ARAUJO, E.","3","",,18,,,
"Simone Silva de Deos","DEOS, Simone","7","2014231776693159",,18,,,
"Antonio Carlos Macedo Silva","SILVA, Antonio Carlos Macedo","3","",,,0,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,0,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,0,,
"Célio Hiratuka","HIRATUKA, Célio","2","",,,1,,
"Fernando Sarti","SARTI, Fernando","3","",,,1,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,1,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,2,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,3,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,4,,
"Plínio Soares de Arruda Sampaio Júnior","SAMPAIO JUNIOR, P. S. A.","1","",,,5,,
"Eduardo Barros Mariutti","MARIUTTI, E. B.","3","",,,5,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,5,,
"Célio Hiratuka","HIRATUKA, Célio","1","",,,6,,
"Fernando Sarti","SARTI, Fernando","2","",,,6,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,6,,
"Plínio Soares de Arruda Sampaio Júnior","SAMPAIO JUNIOR, P. S. A.","1","",,,7,,
"Eduardo Barros Mariutti","MARIUTTI, E. B.","3","",,,7,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,7,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,8,,
"Frederico Mathias Mazzucchelli","MAZZUCCHELLI, Frederico Mathias","2","",,,9,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",,,9,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,9,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,10,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,11,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,12,,
"Claudio S. Maciel","MACIEL, C. S.","1","",,,13,,
"Fernando Macedo","Macedo, Fernando","2","",,,13,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,13,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,14,,
"Paulo Sérgio Fracalanza","FRACALANZA, Paulo Sérgio","1","",,,15,,
"Ramon Vicente Garcia Fernandez","FERNANDEZ, R. V. G.","3","",,,15,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,15,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","4","2245694745135834",,,16,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,16,,
"Geraldo di giovanni","GIOVANNI, G.","3","",,,16,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,16,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",,,17,,
"Carlos Eduardo Carvalho","CARVALHO, Carlos Eduardo","2","",,,17,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,17,,
"Célio Hiratuka","HIRATUKA, Célio","2","",,,18,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","3","2245694745135834",,,18,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,18,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,19,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,19,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,19,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,20,,
"Bruno de Conti","Conti, Bruno","2","",,,20,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,20,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,21,,
"Bruno de Conti","Conti, Bruno","3","",,,21,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,21,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","2245694745135834",,,22,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","3","5136633901754773",,,22,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,22,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,23,,
"Antonio Carlos Macedo e Silva","SILVA, A. C. M. E.","2","",,,23,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,23,,
"Maryse Farhi","FARHI, Maryse","1","",,,24,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","",,,24,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,24,,
"Maryse Farhi","FARHI, Maryse","1","",,,25,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","",,,25,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,25,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","2245694745135834",,,26,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,26,,
"Geraldo di giovanni","GIOVANNI, G.","3","",,,26,,
"Simone Silva de Deos","DEOS, Simone","4","2014231776693159",,,26,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,27,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,27,,
"Maria Alejandra Caporali Madi","MADI, Maria Alejandra Caporali Madi","2","",,,,0,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,0,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,1,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,2,
"Maryse Farhi","FARHI, Maryse","2","",,,,3,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,3,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,,,4,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,4,
"Carla Cristiane Lopes Corte","CORTE, Carla Cristiane Lopes","2","",,,,5,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,5,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,,,6,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,6,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","5136633901754773",,,,7,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,7,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,8,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,8,
"André Martins Biancareli","BIANCARELI, André Martins","1","6746804794811630",,,,9,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,9,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,10,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,10,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,,,11,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,11,
"Maryse Farhi","FARHI, Maryse","2","",,,,12,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,12,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,,,13,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,13,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,14,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,14,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,15,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,15,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,16,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,16,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,17,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,17,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,18,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,18,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,19,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,19,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,20,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,20,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,21,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,21,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,22,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,22,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,23,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,23,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,24,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,24,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,25,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,25,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,,26,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,26,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,,27,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,27,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","5136633901754773",,,,28,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,28,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,29,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,29,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,30,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,30,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,,,31,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,31,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,32,
"Felipe Dalcin","Dalcin, Felipe","3","",,,,32,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,32,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,33,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,33,
"MIlena Fernandes de Oliveira","Oliveira, Milena","1","",,,,34,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,34,
"David Dequech","DEQUECH, David","2","",,,,35,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,35,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","",,,,,0
"Antonio Carlos Macedo Silva","SILVA, Antonio Carlos Macedo","1","",,,,,0
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,,,0
"José Rubens Damas Garlipp","GARLIPP, J. R. D.","1","",,,,,1
"Darlene Ramos Dias","DIAS, D. R.","3","",,,,,1
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,,1
"Carlos H. Horn","HORN, C. H.","2","",,,,,2
"Gentil Corazza","CORAZZA, G.","3","",,,,,2
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,2
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,3
"Frederico G. Jayme jr.","JAYME JR., F. G.","3","",,,,,4
"Vanessa Pretrelli Correa","CORREA, V. P.","2","",,,,,4
"Luiz Carlos Delorme Prado","PRADO, L. C. D.","4","",,,,,4
"Carlos Pinkusfeld Bastos","BASTOS, C. P.","5","",,,,,4
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,4
"Cristina Froes Borja Reis","REIS, C. F. B.","2","",,,,,5
"Danilo Ramalho da Silva","Silva, Danilo","3","",,,,,5
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,5
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","3","5136633901754773",,,,,6
"Eleutério Fernando da Silva Prado","Prado, E.F.S.","2","",,,,,6
"Ramon Vicente Garcia Fernandez","FERNANDEZ, R. V. G.","1","",,,,,6
"Carlos Eduardo Suprinyak","Suprinyak, Carlos","4","",,,,,6
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",,,,,6
