NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,2,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,3,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,4,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,5,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,6,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,7,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,0
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,1
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,2
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,3
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,4
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,5
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,6
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,7
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,,,,,,8
