NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","8","6540619386101635",,0,,,
"Ricardo da Silva Torres","TORRES, R. S.","1","",,1,,,
"William Robson Schwartz","SCHWARTZ, W. R.","2","",,1,,,
"Renata de Matos Galante","GALANTE, R. M.","3","",,1,,,
"Helio Pedrini","PEDRINI, H.","4","",,1,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","5","6540619386101635",,1,,,
"Leticia Rittner","RITTNER, Leticia","6","",,2,,,
"Appenzeller, Simone","Appenzeller, Simone","1","6960131838271951",,2,,,
"João Francisco Marques Neto","MARQUES NETO, J. F.","2","",,2,,,
"Fabiano Reis","Reis, F","3","",,2,,,
"Daniela Cristina Carvalho de Abreu","ABREU, D. C. C.","4","",,2,,,
"Eduardo de Souza Meirelles","MEIRELLES, E. S.","5","",,2,,,
"Leticia Rittner","RITTNER, LETÍCIA","6","",,3,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",,3,,,
"Nelson Marcio Gomes Caserta","CASERTA, N. M. G.","2","",,3,,,
"Elisa Maria Brito Pacheco","PACHECO, E. M. B.","3","",,3,,,
"Alexandre Wagner Silva de Souza","SOUZA, A. W. S.","4","",,3,,,
"Paulo Louzada","LOUZADA, P.","5","",,3,,,
"Leticia Rittner","RITTNER, Leticia","2","",,4,,,
"Eduardo Tavares Costa","COSTA, E. T.","1","",,4,,,
"Pedro Xavier de Oliveira","OLIVEIRA, P. X.","5","",,4,,,
"Joaquim Miguel Maia","MAIA, J. M.","3","",,4,,,
"Wagner Coelho de Albuquerque Pereira","PEREIRA, W. C. A.","4","",,4,,,
"Leticia Rittner","RITTNER, L.","1","",,5,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",,5,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","2","9224426261471914",,5,,,
"Romis Ribeiro de Faissol Attux","ATTUX, R.R.F.","6","",,5,,,
"Ana Maria Marques da Silva","SILVA, A. M. M.","3","",,5,,,
"Paulo Mazzoncini de Azevedo Marques","MARQUES, P. M. A.","4","",,5,,,
"Leticia Rittner","RITTNER, LETÍCIA","3","",,,0,,
"Gabriela Castellano","CASTELLANO, G.","1","5993832413749292",,,0,,
"Eduardo Tavares Costa","COSTA, E. T.","2","",,,0,,
"Pedro Xavier de Oliveira","OLIVEIRA, P. X.","4","",,,0,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,,1,,
"Eduardo Tavares Costa","COSTA, E. T.","1","",,,1,,
"Antonio Augusto Fasolo Quevedo","QUEVEDO, A. A. F.","3","",,,1,,
"Marco Antonio Garcia de Carvalho","CARVALHO, M. A. G.","1","",,,2,,
"André Leon Sampaio Gradvohl","GRADVOHL, A. L. S.","3","",,,2,,
"Paulo Sérgio Martins Pedro","PEDRO, P. S. M.","4","",,,2,,
"Vitor Rafael Coluci","COLUCI, V. R.","5","",,,2,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",,,2,,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,0,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,0,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,0,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,1,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,1,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,1,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,2,
"Ranieri Marinho de Souza","SOUZA, R. M.","3","",,,,2,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,2,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,3,
"Ranieri Marinho de Souza","SOUZA, R. M.","3","",,,,3,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,3,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,4,
"Ranieri Marinho de Souza","SOUZA, R. M.","3","",,,,4,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,4,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,5,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,5,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,5,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,6,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,6,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,6,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,7,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,7,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,7,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,8,
"Rodrigo de Almeida Moreira","MOREIRA, R. A.","3","",,,,8,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,8,
"André Luís Bordignon","BORDIGNON, A. L.","2","",,,,9,
"Ranieri Marinho de Souza","SOUZA, R. M.","3","",,,,9,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,9,
"Joelma Cristina Costa","COSTA, J. C.","3","",,,,,0
"José Carlos Magossi","MAGOSSI, J. C.","2","",,,,,0
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",,,,,0
