NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",0,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",0,,,,,,,,,,,,
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",1,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",1,,,,,,,,,,,,
"Neucimar Leite","LEITE, N.","3","8647239680081745",1,,,,,,,,,,,,
"Douglas Zampieri","ZAMPIERI, D.","4","1655951355148873",1,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","5","9224426261471914",1,,,,,,,,,,,,
"André Mendeleck","MENDELECK, A.","6","4092232843157583",1,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",2,,,,,,,,,,,,
"Franklin César flores","FLORES, F. C.","2","0795967777970879",2,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",2,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",3,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","2","9224426261471914",3,,,,,,,,,,,,
"Arthur Miranda Neto","MIRANDA NETO, A.","1","0924465846411495",4,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","2","6540619386101635",4,,,,,,,,,,,,
"Douglas Zampieri","ZAMPIERI, D.","3","1655951355148873",4,,,,,,,,,,,,
"A. Corrêa-Victorino","CORRÊA-VICTORINO, A.","4","7484774106755238",4,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",5,,,,,,,,,,,,
"Bruce Pike","PIKE, B.","2","",5,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",5,,,,,,,,,,,,
"Gabriel Leonard","LEONARD, G.","4","",5,,,,,,,,,,,,
"Martin Veilleux","VEILLEUX, M.","5","",5,,,,,,,,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",5,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",6,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","2","6960131838271951",6,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",6,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",7,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","2","9224426261471914",7,,,,,,,,,,,,
"Jenniffer Campbell","CAMPBELL, Jennifer","3","",7,,,,,,,,,,,,
"Pike, G. Bruce","Pike, G. Bruce","4","",7,,,,,,,,,,,,
"Renan Ricardo Soares Lobo","LOBO, R. R. S.","1","",8,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",8,,,,,,,,,,,,
"Léo Pini Magalhães","MAGALHÃES, L. P.","3","8890614481075559",8,,,,,,,,,,,,
"Renan Ricardo Soares Lobo","LOBO, R. R. S.","1","",9,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",9,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","3","9224426261471914",9,,,,,,,,,,,,
"Léo Pini Magalhães","MAGALHÃES, L. P.","4","8890614481075559",9,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",10,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",10,,,,,,,,,,,,
"Gabriel Leonard","LEONARD, G.","3","",10,,,,,,,,,,,,
"Martin Veilleux","VEILLEUX, M.","4","",10,,,,,,,,,,,,
"Bruce Pike","PIKE, B.","5","",10,,,,,,,,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",10,,,,,,,,,,,,
"Freitas, Pedro","Freitas, Pedro","1","1621073543117959",11,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","2","",11,,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","3","6960131838271951",11,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",11,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",12,,,,,,,,,,,,
"Saude, Andre V.","Saude, Andre V.","2","0854534935631310",12,,,,,,,,,,,,
"Silva, Alexandre G.","Silva, Alexandre G.","3","0400880030173624",12,,,,,,,,,,,,
"Machado, Rubens C.","Machado, Rubens C.","4","3022427606876489",12,,,,,,,,,,,,
"Bento, Mariana P.","Bento, Mariana P.","5","3166488236335695",12,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","6","9224426261471914",12,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",13,,,,,,,,,,,,
"DE ALENCAR LOTUFO, ROBERTO","DE ALENCAR LOTUFO, ROBERTO","2","9224426261471914",13,,,,,,,,,,,,
"PLUIM, JOSIEN P. W.","PLUIM, JOSIEN P. W.","3","",13,,,,,,,,,,,,
"DAWANT, BENOIT M.","DAWANT, BENOIT M.","4","",13,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","1","6960131838271951",14,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",14,,,,,,,,,,,,
"Pike, G. Bruce","Pike, G. Bruce","3","",14,,,,,,,,,,,,
"Gabriel Leonard","LEONARD, G.","4","",14,,,,,,,,,,,,
"Martin Veilleux","VEILLEUX, M.","5","",14,,,,,,,,,,,,
"A. E. Clarke","CLARKE, A. E.","6","",14,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",15,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","10","6960131838271951",15,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",15,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",15,,,,,,,,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",15,,,,,,,,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",15,,,,,,,,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",15,,,,,,,,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",15,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","8","9224426261471914",15,,,,,,,,,,,,
"Fernando Cendes","CENDES, F.","9","4754944655427183",15,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",16,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","10","6960131838271951",16,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",16,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",16,,,,,,,,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",16,,,,,,,,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",16,,,,,,,,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",16,,,,,,,,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",16,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","8","9224426261471914",16,,,,,,,,,,,,
"Fernando Cendes","CENDES, F.","9","4754944655427183",16,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","1","9383028834305330",17,,,,,,,,,,,,
"Fernando Cendes","CENDES, F.","10","4754944655427183",17,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",17,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",17,,,,,,,,,,,,
"Heloisa Ruocco","RUOCCO, H.","4","",17,,,,,,,,,,,,
"Gabriela Castellano","CASTELLANO, G.","5","5993832413749292",17,,,,,,,,,,,,
"Benito Damasceno","DAMASCENO, B.","6","2529820182221048",17,,,,,,,,,,,,
"Lilian Costallat","COSTALLAT, L.","7","",17,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","8","6960131838271951",17,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","9","9224426261471914",17,,,,,,,,,,,,
"Freitas, Pedro","Freitas, Pedro","1","1621073543117959",18,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",18,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",18,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","4","9383028834305330",18,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",18,,,,,,,,,,,,
"wetzel","Wetzel, L.F.","1","",19,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",19,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","9224426261471914",19,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",20,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","2","9383028834305330",20,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",20,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",20,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",20,,,,,,,,,,,,
"Freitas, Pedro","Freitas, Pedro","1","1621073543117959",21,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",21,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",21,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",21,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",22,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",22,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",22,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","4","9383028834305330",22,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","5","9224426261471914",22,,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",23,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","2","9224426261471914",23,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",23,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","1","",24,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","2","9224426261471914",24,,,,,,,,,,,,
"André Luis da Costa","COSTA, A. L.","1","",25,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",25,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","3","9224426261471914",25,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",26,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",26,,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","3","6960131838271951",26,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","4","9224426261471914",26,,,,,,,,,,,,
"Machado, Rubens C.","Machado, Rubens C.","1","3022427606876489",27,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",27,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","9224426261471914",27,,,,,,,,,,,,
"COOK, TESSA S.","COOK, TESSA S.","1","",28,,,,,,,,,,,,
"ZHANG, JIANGUO","ZHANG, JIANGUO","2","",28,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",28,,,,,,,,,,,,
"Bento, Mariana P.","Bento, Mariana P.","4","3166488236335695",28,,,,,,,,,,,,
"COSTA, ANDRÉ L.","COSTA, ANDRÉ L.","5","",28,,,,,,,,,,,,
"SOUZA, ROBERTO M.","SOUZA, ROBERTO M.","6","0692029921953122",28,,,,,,,,,,,,
"Machado, Rubens C.","Machado, Rubens C.","7","3022427606876489",28,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","8","9224426261471914",28,,,,,,,,,,,,
"GIMI, BARJOR","GIMI, BARJOR","1","",29,,,,,,,,,,,,
"MOLTHEN, ROBERT C.","MOLTHEN, ROBERT C.","2","",29,,,,,,,,,,,,
"COSTA, ANDRÉ L.","COSTA, ANDRÉ L.","3","",29,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","4","",29,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","5","9224426261471914",29,,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","6","6960131838271951",29,,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",30,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","2","",30,,,,,,,,,,,,
"MACHADO, RUBENS","MACHADO, RUBENS","3","3022427606876489",30,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",30,,,,,,,,,,,,
"Romulo dos Anjos","ANJOS, Rômulo","1","",31,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",31,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","3","",31,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",31,,,,,,,,,,,,
"Danilo Rodrigues Pereira","PEREIRA, D. R.","1","",32,,,,,,,,,,,,
"Renan Bazuco Fritolli","FRITOLLI, R. B.","2","",32,,,,,,,,,,,,
"Aline Lapa","LAPA, A.","3","9383028834305330",32,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",32,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",32,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","6","",32,,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",33,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","2","",33,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","3","9224426261471914",33,,,,,,,,,,,,
"MACHADO, RUBENS","MACHADO, RUBENS","4","3022427606876489",33,,,,,,,,,,,,
"TAVARES, LUIS A.","TAVARES, LUIS A.","1","",34,,,,,,,,,,,,
"SOUZA, ROBERTO M.","SOUZA, ROBERTO M.","2","0692029921953122",34,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",34,,,,,,,,,,,,
"Machado, Rubens C.","Machado, Rubens C.","4","3022427606876489",34,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","5","9224426261471914",34,,,,,,,,,,,,
"André Luis da Costa","COSTA, A. L.","1","",35,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",35,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","3","9224426261471914",35,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",35,,,,,,,,,,,,
"David Santos","SANTOS, D.","1","",36,,,,,,,,,,,,
"Roberto Medeiros de Souza","SOUZA, R.M.","2","0692029921953122",36,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","3","",36,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",36,,,,,,,,,,,,
"LEITE, MARIANA","LEITE, MARIANA","1","3166488236335695",37,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",37,,,,,,,,,,,,
"David Gobbi","GOBBI, D.","3","",37,,,,,,,,,,,,
"Marina Saluzzi","SALUZZI, M.","4","",37,,,,,,,,,,,,
"Richard Frayne","FRAYNE, R.","5","",37,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","6","9224426261471914",37,,,,,,,,,,,,
"Wendrey Cardoso","CARDOSO, W.","1","",38,,,,,,,,,,,,
"André Luis da Costa","COSTA, A. L.","2","",38,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","3","",38,,,,,,,,,,,,
"LEITE, MARIANA","LEITE, MARIANA","1","3166488236335695",39,,,,,,,,,,,,
"GOBBI, DAVID","GOBBI, DAVID","2","",39,,,,,,,,,,,,
"SALLUZI, MARINA","SALLUZI, MARINA","3","",39,,,,,,,,,,,,
"FRAYNE, RICHARD","FRAYNE, RICHARD","4","",39,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",39,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","6","",39,,,,,,,,,,,,
"Lucas Diogo Mendonça","MENDONCA, L. D.","1","",40,,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",40,,,,,,,,,,,,
"PINHEIRO, GUSTAVO R.","PINHEIRO, GUSTAVO R.","1","",41,,,,,,,,,,,,
"SOARES, GUILHERME S.","SOARES, GUILHERME S.","2","",41,,,,,,,,,,,,
"COSTA, ANDRE LUIS","COSTA, ANDRE LUIS","3","",41,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","4","9224426261471914",41,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","5","",41,,,,,,,,,,,,
"GHAMISI, PEDRAM","GHAMISI, PEDRAM","1","",42,,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","2","0692029921953122",42,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",42,,,,,,,,,,,,
"BENEDIKTSSON, JON A.","BENEDIKTSSON, JON A.","4","",42,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",42,,,,,,,,,,,,
"ZHU, XIAO X.","ZHU, XIAO X.","6","",42,,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",43,,,,,,,,,,,,
"TAVARES, LUIS","TAVARES, LUIS","2","",43,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",43,,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",43,,,,,,,,,,,,
"TAVARES, LUIS A.","TAVARES, LUIS A.","1","",44,,,,,,,,,,,,
"SOUZA, ROBERTO M.","SOUZA, ROBERTO M.","2","0692029921953122",44,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","3","",44,,,,,,,,,,,,
"Machado, Rubens C.","Machado, Rubens C.","4","3022427606876489",44,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","5","9224426261471914",44,,,,,,,,,,,,
"LEITE, MARIANA","LEITE, MARIANA","1","3166488236335695",45,,,,,,,,,,,,
"LAPA, A.T.","LAPA, A.T.","2","",45,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",45,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",45,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","5","",45,,,,,,,,,,,,
"Danilo Rodrigues Pereira","PEREIRA, D. R.","1","",46,,,,,,,,,,,,
"Renan Bazuco Fritolli","FRITOLLI, R. B.","2","",46,,,,,,,,,,,,
"LAPA, A.T.","LAPA, A.T.","3","",46,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","4","6960131838271951",46,,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","5","9224426261471914",46,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","6","",46,,,,,,,,,,,,
"SILVIA COLELLA","COLELLA, S.","1","",47,,,,,,,,,,,,
"SÉRGIO DERTKIGIL","DERTKIGIL, S.","2","",47,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","3","6960131838271951",47,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","4","",47,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","1","",48,,,,,,,,,,,,
"TORIGIAN, DREW A.","TORIGIAN, DREW A.","2","",48,,,,,,,,,,,,
"Jayaram K. Udupa","UDUPA, J. K.","3","",48,,,,,,,,,,,,
"Yan Sym","SYM, Y.","1","",49,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","2","3166488236335695",49,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","3","",49,,,,,,,,,,,,
"SILVIA COLELLA","COLELLA, S.","1","",50,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","2","",50,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",51,,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","2","6960131838271951",51,,,,,,,,,,,,
"Richard Frayne","FRAYNE, R.","3","",51,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",51,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","5","",51,,,,,,,,,,,,
"Mariana Bento","BENTO, M.P.","1","3166488236335695",52,,,,,,,,,,,,
"SALLUZI, MARINA","SALLUZI, MARINA","2","",52,,,,,,,,,,,,
"Richard Frayne","FRAYNE, R.","3","",52,,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R. A.","4","9224426261471914",52,,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","5","",52,,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","1","6540619386101635",53,,,,,,,,,,,,
"Paulo Roberto Stanis Lopes","LOPES, Paulo Roberto Stanis","2","",53,,,,,,,,,,,,
"Yaro Burian Jr","BURIAN JR, Yaro","3","9915600908091542",53,,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",,0,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","2","",,0,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","3","9224426261471914",,0,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","4","9224426261471914",,0,,,,,,,,,,,
"Flores, Franklin C.","Flores, Franklin C.","5","0795967777970879",,0,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",,1,,,,,,,,,,,
"CAMPBELL, JENNIFER S. W.","CAMPBELL, JENNIFER S. W.","2","",,1,,,,,,,,,,,
"FREITAS, PEDRO F.","FREITAS, PEDRO F.","3","1621073543117959",,1,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","4","6960131838271951",,1,,,,,,,,,,,
"BRUCE PIKE, G.","BRUCE PIKE, G.","5","",,1,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","6","9224426261471914",,1,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",,2,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,2,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","3","9224426261471914",,2,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","1","",,3,,,,,,,,,,,
"PEDRO FREITAS","FREITAS, P.","2","1621073543117959",,3,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","3","6960131838271951",,3,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",,3,,,,,,,,,,,
"LEITE, MARIANA","LEITE, MARIANA","1","3166488236335695",,4,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,4,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","3","6960131838271951",,4,,,,,,,,,,,
"RUOCCO, HELOÍSA HELENA","RUOCCO, HELOÍSA HELENA","4","4797898054645264",,4,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",,4,,,,,,,,,,,
"Lapa, Aline Tamires","Lapa, Aline Tamires","1","",,5,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S","10","",,5,,,,,,,,,,,
"Postal, Mariana","Postal, Mariana","2","",,5,,,,,,,,,,,
"SINICATO, NAILÚ ANGÉLICA","SINICATO, NAILÚ ANGÉLICA","3","",,5,,,,,,,,,,,
"FERREIRA, WESLLEY GERALDO","FERREIRA, WESLLEY GERALDO","4","",,5,,,,,,,,,,,
"BELLINI, BRUNA SIQUEIRA","BELLINI, BRUNA SIQUEIRA","5","",,5,,,,,,,,,,,
"FERNANDES, PAULA TEIXEIRA","FERNANDES, PAULA TEIXEIRA","6","",,5,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia;Rittner, Leticia;RITTNER, LETÍCIA;RITTNER, L.;RITTNER, L","7","6540619386101635",,5,,,,,,,,,,,
"Roberto Marini","MARINI, Roberto","8","",,5,,,,,,,,,,,
"Fernando Cendes","CENDES, Fernando","9","",,5,,,,,,,,,,,
"GHAMISI, PEDRAM","GHAMISI, PEDRAM","1","",,6,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","2","0692029921953122",,6,,,,,,,,,,,
"BENEDIKTSSON, JON ATLI","BENEDIKTSSON, JON ATLI","3","",,6,,,,,,,,,,,
"ZHU, XIAO XIANG","ZHU, XIAO XIANG","4","",,6,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","5","",,6,,,,,,,,,,,
"Lotufo, Roberto A.","Lotufo, Roberto A.","6","9224426261471914",,6,,,,,,,,,,,
"Vanessa Testoni","TESTONI, V.","1","",,7,,,,,,,,,,,
"PENATTI, O.A.B.","PENATTI, O.A.B.","2","",,7,,,,,,,,,,,
"ANDALÓ, F.A.","ANDALÓ, F.A.","3","",,7,,,,,,,,,,,
"LIZARRAGA, M.","LIZARRAGA, M.","4","",,7,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","5","",,7,,,,,,,,,,,
"Eduardo Valle","VALLE, E.","6","",,7,,,,,,,,,,,
"AVILA, S.","AVILA, S.","7","",,7,,,,,,,,,,,
"GHAMISI, PEDRAM","GHAMISI, PEDRAM","1","",,8,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","2","0692029921953122",,8,,,,,,,,,,,
"BENEDIKTSSON, JON ATLI","BENEDIKTSSON, JON ATLI","3","",,8,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","4","",,8,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","5","9224426261471914",,8,,,,,,,,,,,
"ZHU, XIAO XIANG","ZHU, XIAO XIANG","6","",,8,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",,9,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","2","",,9,,,,,,,,,,,
"MACHADO, RUBENS","MACHADO, RUBENS","3","3022427606876489",,9,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","4","9224426261471914",,9,,,,,,,,,,,
