AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
33,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
