DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"tese do João Bosco","",61,,,,,,,,,,,,,,,,,,,,,,,,
"Trabalho resultante da tese de doutorado de Marcos de Araujo Paz","",62,,,,,,,,,,,,,,,,,,,,,,,,
"Produto da pesquisa do mestrado de João Bosco Gertrudes","",63,,,,,,,,,,,,,,,,,,,,,,,,
"resultado da tese de mestrado de João Bosco Gertrudes","",64,,,,,,,,,,,,,,,,,,,,,,,,
"resultado da tese de doutorado de Marcos de Araujo Paz","",65,,,,,,,,,,,,,,,,,,,,,,,,
"O trabalho consolida os resultados da tese de mestrado de João Bosco Gertrudes.","",67,,,,,,,,,,,,,,,,,,,,,,,,
"O trabalho consolida os resultados da tese de mestrado de Michel Gonçalves Pinheiro.","",69,,,,,,,,,,,,,,,,,,,,,,,,
"Resultado da tese de doutorado de Afonso José do Prado","",70,,,,,,,,,,,,,,,,,,,,,,,,
"resultado da pesquisa de mestrado de Alexander V. Flores","",71,,,,,,,,,,,,,,,,,,,,,,,,
"Resultado da pesquisa de mestrado de Alexander Flores","",72,,,,,,,,,,,,,,,,,,,,,,,,
"de 14 a 17/10/2007","",75,,,,,,,,,,,,,,,,,,,,,,,,
"de 14 a 17/10/2007","",76,,,,,,,,,,,,,,,,,,,,,,,,
"Resultado do trabalho de mestrado","",77,,,,,,,,,,,,,,,,,,,,,,,,
"resultado do mestrado","",78,,,,,,,,,,,,,,,,,,,,,,,,
"resultado do doutorado","",79,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação mestrado Allan Montanari","",87,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação mestrado Allan Montanari","",88,,,,,,,,,,,,,,,,,,,,,,,,
"expansão do sistema elétrico brasileiro
expansão da Amazônia","",89,,,,,,,,,,,,,,,,,,,,,,,,
"resultados parciais de pesquisa de doutorado","",92,,,,,,,,,,,,,,,,,,,,,,,,
"parte resultado pesquisa mestrado / doutorado","",93,,,,,,,,,,,,,,,,,,,,,,,,
"3o. melhor trabalho no Grupo de proteção, medição, controle e automação em sistema de potência (GPC)","",94,,,,,,,,,,,,,,,,,,,,,,,,
"Consolidação de resultados do doutorado","",95,,,,,,,,,,,,,,,,,,,,,,,,
"resultados parciais de resultados de doutorado","",96,,,,,,,,,,,,,,,,,,,,,,,,
"resultados de pesquisa de mestrado","",97,,,,,,,,,,,,,,,,,,,,,,,,
"resultado parcial de pesquisa de doutorado","",98,,,,,,,,,,,,,,,,,,,,,,,,
"parte de pesquisa de iniciação científica","",99,,,,,,,,,,,,,,,,,,,,,,,,
"resultados apresentados são parte de pesquisa de mestrado","",100,,,,,,,,,,,,,,,,,,,,,,,,
"resultados parciais da pesquisa de doutorado de Gilmário dos Santos","",101,,,,,,,,,,,,,,,,,,,,,,,,
"Resultados parciais da pesquisa de doutorado de Gilmário dos Santos","",102,,,,,,,,,,,,,,,,,,,,,,,,
"Resultado parcial da pesquisa de doutorado de João B. Gertrudes","",103,,,,,,,,,,,,,,,,,,,,,,,,
"resulatado parcial da pesquisa de doutorado de Milton Zevallos","",104,,,,,,,,,,,,,,,,,,,,,,,,
"apresentação oral","",105,,,,,,,,,,,,,,,,,,,,,,,,
"apresentação oral.","",106,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de resultados parciais da pesquisa de doutorado de Milton Zevallos","",107,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação dos resultados parciais da pesquisa de doutorado de Milton Zevallos","",108,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação dos resultados da pesquisa de doutorado de Patricia Mestas","",109,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação da pesquisa de mestrado de Jonas Talaisys","",110,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação dos resultados da pesquisa de doutorado de João Bosco Gertrudes","",111,,,,,,,,,,,,,,,,,,,,,,,,
"Consolidação de parte dos resultados dapesquisa de doutorado.","",112,,,,,,,,,,,,,,,,,,,,,,,,
"Resultados parciais da pesquisa de doutorado de Patricia Mestas.","",113,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de resultado de pesquisa de doutorado","",115,,,,,,,,,,,,,,,,,,,,,,,,
"pesquisa de pós-doutoramento","",116,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de pesquisa de mestrado","",117,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de pesquisa de mestrado","",119,,,,,,,,,,,,,,,,,,,,,,,,
"consolidaçãode pesquisa de doutorado","",120,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de pesquisa de doutorado","",121,,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de parte da pesquisa de doutorado de Milton E. Zevallos","",125,,,,,,,,,,,,,,,,,,,,,,,,
"Pequim, China de 12 a 14 de julho de 2013","",126,,,,,,,,,,,,,,,,,,,,,,,,
"Pequim, China de 12 a 14 de julho de 2013","",127,,,,,,,,,,,,,,,,,,,,,,,,
"Pequim, China de 12 a 14 de julho de 2013","",128,,,,,,,,,,,,,,,,,,,,,,,,
"18-20 Julho, 2013","",129,,,,,,,,,,,,,,,,,,,,,,,,
"18-20 Julho, 2013","",130,,,,,,,,,,,,,,,,,,,,,,,,
"18-20 Julho, 2013","",131,,,,,,,,,,,,,,,,,,,,,,,,
"18-20 Julho, 2013","",132,,,,,,,,,,,,,,,,,,,,,,,,
"18-20 Julho, 2013","",133,,,,,,,,,,,,,,,,,,,,,,,,
"International Conference on Power Systems Transients (IPST?13) em Vancouver, Canadá, 18-20 Julho, 2013","",134,,,,,,,,,,,,,,,,,,,,,,,,
"Grenoble França, 16-20 Junho 2013

Resultado de mestrado de Leandro Gomes.","",135,,,,,,,,,,,,,,,,,,,,,,,,
"SNPTEE em 13 a 16 de outubro de 2013","",136,,,,,,,,,,,,,,,,,,,,,,,,
"; 22 a 25 de abril de 2014, Foz do Iguaçu, PR","",137,,,,,,,,,,,,,,,,,,,,,,,,
"5o Seminário Brasileiro de Sistemas Elétricos SBSE; 22 a 25 de abril de 2014, Foz do Iguaçu, PR","",138,,,,,,,,,,,,,,,,,,,,,,,,
"Consolidação de resultados da pesquisa de mestrado de Athos Povoa Garcia.
Wroclaw, Polônia, 18-22/agosto/2014","",139,,,,,,,,,,,,,,,,,,,,,,,,
"18-21 outubro de 2015
Foz do Iguaçu, PR","",149,,,,,,,,,,,,,,,,,,,,,,,,
"22 a 25 de maio de 2016, Natal, RN","",150,,,,,,,,,,,,,,,,,,,,,,,,
"22 a 25 de maio de 2016, Natal, RN","",151,,,,,,,,,,,,,,,,,,,,,,,,
"22 a 25 de maio de 2016, Natal, RN","",152,,,,,,,,,,,,,,,,,,,,,,,,
"22 a 25 de maio de 2016, Natal, RN","",157,,,,,,,,,,,,,,,,,,,,,,,,
"AUTORES

J PISSOLATO FILHO
CARLOS PORTELA","",,4,,,,,,,,,,,,,,,,,,,,,,,
"This paper shows the importance of optimizing the transmission system parameters from its conception, considering altogether the relevant options and possibilities, in order to have the better cost-performance result. The presented results were obtained in the study of a real transmission system expansion, based on a 865 km long line. The Single-Phase Auto-Reclosing (SPAR) procedure was one of the aspects carefully studied, in order to assure adequate transmission reliability. The secondary arc current was mitigated through the traditional solution of using the neutral reactor on the existing shunt reactor banks, which permitted the reduction of the secondary arc current to acceptable values, assuring natural arc extinction and successful SPAR. The way of obtaining the optimized value for the neutral reactor and its implications on the system performance are important aspects, which are discussed in this paper.","This paper shows the importance of optimizing the transmission system parameters from its conception, considering altogether the relevant options and possibilities, in order to have the better cost-performance result. The presented results were obtained in the study of a real transmission system expansion, based on a 865 km long line. The Single-Phase Auto-Reclosing (SPAR) procedure was one of the aspects carefully studied, in order to assure adequate transmission reliability. The secondary arc current was mitigated through the traditional solution of using the neutral reactor on the existing shunt reactor banks, which permitted the reduction of the secondary arc current to acceptable values, assuring natural arc extinction and successful SPAR. The way of obtaining the optimized value for the neutral reactor and its implications on the system performance are important aspects, which are discussed in this paper.",,9,,,,,,,,,,,,,,,,,,,,,,,
"In this article a representation of soil behaviour for transient studies is presented. Such representation is more accurate than the most common procedures of engineering practice and, in several conditions, lead to results with important differences. The proposed model takes into account the earth conductivity and permittivity frequency dependence, which normally are not considered. One of the aspects covered in the paper is the importance of properly considering the earth's electromagnetic behaviour when calculating transmission line parameters. Some comparisons are presented for an actual 440 kV three-phase transmission line in which the soil behaviour is represented through a unique real value of conductance ( the normal approach ) and through the proposed model.","In this article a representation of soil behaviour for transient studies is presented. Such representation is more accurate than the most common procedures of engineering practice and, in several conditions, lead to results with important differences. The proposed model takes into account the earth conductivity and permittivity frequency dependence, which normally are not considered. One of the aspects covered in the paper is the importance of properly considering the earth's electromagnetic behaviour when calculating transmission line parameters. Some comparisons are presented for an actual 440 kV three-phase transmission line in which the soil behaviour is represented through a unique real value of conductance ( the normal approach ) and through the proposed model.",,10,,,,,,,,,,,,,,,,,,,,,,,
"AUTOR : CARLOS PORTELA

In the presented paper it is shown how the use of a systematic three-phase load flow analysis and three-phase frequency scan can become a helpful tool in an electromagnetic transient study. The present methodology was applied to a study of a real transmission system expansion, and it allowed the identification of some rather severe cases which would be very hard to find out through the ordinary transient study procedure.","",,11,,,,,,,,,,,,,,,,,,,,,,,
"Resultado da tese de doutorado de Sergio Kurokawa","Resultado da tese de doutorado de Sergio Kurokawa",,12,,,,,,,,,,,,,,,,,,,,,,,
"Resultado da tese de doutorado de Sergio Kurokawa","Resultado da tese de doutorado de Sergio Kurokawa",,13,,,,,,,,,,,,,,,,,,,,,,,
"Trabalho consolidando resultados da tese de mestrado de João Bosco Gertrudes.","",,14,,,,,,,,,,,,,,,,,,,,,,,
"dissertação de mestrado de Claudio José dos Santos","",,15,,,,,,,,,,,,,,,,,,,,,,,
"consolidação de pesquisa de mestrado
DOI 10.1016/j.epsr.2009.08.011
on line em 1 outubro 2009","",,16,,,,,,,,,,,,,,,,,,,,,,,
"Consolidação de pesquisa de mestrado
No prelo em 17/03/2009","",,17,,,,,,,,,,,,,,,,,,,,,,,
"Consolidaçãode pesquisa de mestrado
No prelo em 26/02/2009","",,18,,,,,,,,,,,,,,,,,,,,,,,
"Associado à pesquisa de mestrado de Jonas Lemos Talaisys
 
doi 10.1109/TDEI.2014.6832243","",,25,,,,,,,,,,,,,,,,,,,,,,,
"Trabalho desenvolvido durante o pós-doutoramento de Patricia Mestas junto à FEEC/UNICAMP

Versão final submetida em 14/04/2014","",,26,,,,,,,,,,,,,,,,,,,,,,,
"produto da dissertação de mestrado de Fabiano Magrin

link público :http://rdcu.be/m9QK","",,29,,,,,,,,,,,,,,,,,,,,,,,
"produto do mestrado de Ozenir Dias","",,30,,,,,,,,,,,,,,,,,,,,,,,
"IET Generation, Transmission & Distribution, Vol. 11, No. 9, pp. 2261-2268, 2017,

link público http://ietdl.org/t/jGPUA.","",,31,,,,,,,,,,,,,,,,,,,,,,,
"aprovado em 29/08/2017","",,32,,,,,,,,,,,,,,,,,,,,,,,
"aceito para publicação em 15/08/2017
resultado de pesquisa de doutorado financiada pela FAPEAM

Access to the full text article on our platform is completely free to anyone using the following link: http://ietdl.org/t/z_HTwb","",,33,,,,,,,,,,,,,,,,,,,,,,,
"Resultado de pesquisa de mestrado","",,35,,,,,,,,,,,,,,,,,,,,,,,
"link público : http://ietdl.org/t/MlKF1","",,36,,,,,,,,,,,,,,,,,,,,,,,
"P&D ANEEL Estratégico 004/2008
ELETRONORTE/ELETROBRAS
CHESF
ENTE
UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA - UEFS
UNIVERSIDADE FEDERAL DA BAHIA - UFBA
Editor: Tiago Fabris Rendelli
Ilustrador : Alexandre Velloso de Faria 
Link : PDF: http://bit.ly/meia_onda_pdf; EPUB: http://bit.ly/meia_onda_epub.","",,,0,,,,,,,,,,,,,,,,,,,,,,
"Relacionado com a pesquisa de mestrado de Elson Gomes defendida em 28/02/2012","",,,,0,,,,,,,,,,,,,,,,,,,,,
"Divulgação da pesquisa de doutorado de Patricia Mestas defendida em 28/09/2011.","",,,,1,,,,,,,,,,,,,,,,,,,,,
"Divulgação da pesquisa de doutorado da Patricia Mestas defendida em 28/09/2010.","",,,,2,,,,,,,,,,,,,,,,,,,,,
"Texto Original do Jornal da UNICAMP","",,,,3,,,,,,,,,,,,,,,,,,,,,
"Reportagem original publicada no Jornal da UNICAMP","",,,,4,,,,,,,,,,,,,,,,,,,,,
"Programa de rádio para divulgação da pesquisa de mestrado de Elson Costa Gomes.

Gravação em 14/09/2012.","",,,,,0,,,,,,,,,,,,,,,,,,,,
"pesquisa de mestrado","",,,,,,0,,,,,,,,,,,,,,,,,,,
"proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,0,,,,,,,,,,,,,,,,,,
"proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,1,,,,,,,,,,,,,,,,,,
"Carta Patente no. 2009304528 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines"; 

Termos 20 anos a partir de 9/10/2009 

PI0804330-2 data 13/10/2008 Brasil

proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,2,,,,,,,,,,,,,,,,,,
"proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,3,,,,,,,,,,,,,,,,,,
"A presente invenção descreve um método capaz de identificar (ou selecionar) os diversos tipos de falta que podem ocorrer num sistema de transmissão trifásico. Ele se insere no campo da Engenharia Elétrica, especialmente na transmissão e distribuição da energia elétrica e assuntos relacionados.
A identificação do tipo de falta é usada na proteção de distância, no religamento monopolar ou no religamento tripolar. O método tem aplicação desde linhas curtas até linhas muito longas, especialmente aquelas denominadas de ?meio comprimento de onda?, com comprimentos superiores a 2500 km","",,,,,,,4,,,,,,,,,,,,,,,,,,
"O presente pedido de patente de invenção refere-se a um método de determinação do comprimento de arcos elétricos tendo como base o modelo snake-3D.","",,,,,,,5,,,,,,,,,,,,,,,,,,
"The present invention describes an adaptive switching method to reduce overvoltages due to three-phase reclosing of shunt compensated transmission lines. This method identifies the optimal region of the voltage wave, allowing contacts to be closed in the first minimum voltage region of the beat across the circuit breakers, after the protection dead time. The procedure developed works independently of zero voltage crossing, reducing significantly the reclosure dead time.

proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.

CERTIFICADO NO 5229","",,,,,,,6,,,,,,,,,,,,,,,,,,
"The present invention describes an adaptive switching method to reduce overvoltages due to three-phase reclosing of shunt compensated transmission lines. This method identifies the optimal region of the voltage wave, allowing contacts to be closed in the first minimum voltage region of the beat across the circuit breakers, after the protection dead time. The procedure developed works independently of zero voltage crossing, reducing significantly the reclosure dead time.
proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,7,,,,,,,,,,,,,,,,,,
"A presente invenção trata-se de um método de religamento monopolar e tripolar automático adaptativo rápido em linhas de transmissão, com identificação do instante da extinção do defeito e bloqueio para faltas permanentes. Assim, o método detecta a extinção da falta transitória e realiza o religamento automático após um intervalo de segurança. Para faltas permanentes é bloqueado o religamento automático e gerada a abertura das três fases.
O método se insere no campo da engenharia elétrica, com foco nos sistemas de transmissão de energia elétrica e especialmente na ocorrência de faltas e operações de religamento nestes sistemas. Se aplica a linhas de transmissão de todas as naturezas cobrindo linhas aéreas e subterrâneas, com ou sem compensação por reatores em derivação ou série e com controle de manobras monopolar ou tripolar.","",,,,,,,8,,,,,,,,,,,,,,,,,,
"proteção de distância para linhas de meia onda e linhas com comprimento superior a 600 km","",,,,,,,9,,,,,,,,,,,,,,,,,,
"controle adaptativo para religamento tripolar de linhas de transmissão compensadas - aplicação para faltas internas","",,,,,,,10,,,,,,,,,,,,,,,,,,
"Identifica falta interna em transformadores com mais rapidez e maior sensibilidade do que os métodos existente, permitindo identificação de falta envolvendo poucas espiras.","",,,,,,,11,,,,,,,,,,,,,,,,,,
"Identifica faltas internas entre espiras e para a terra com rapidez e alta sensibilidade. Permite identificar defetio entre poucas espirar.","",,,,,,,12,,,,,,,,,,,,,,,,,,
"The present invention describes an adaptive switching method to reduce overvoltages due to three-phase reclosing of shunt compensated transmission lines. This method identifies the optimal region of the voltage wave, allowing contacts to be closed in the first minimum voltage region of the beat across the circuit breakers, after the protection dead time. The procedure developed works independently of zero voltage crossing, reducing significantly the reclosure dead time.

proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,13,,,,,,,,,,,,,,,,,,
"proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.
The present invention describes an adaptive switching method to reduce overvoltages due to three-phase reclosing of shunt compensated transmission lines. This method identifies the optimal region of the voltage wave, allowing contacts to be closed in the first minimum voltage region of the beat across the circuit breakers, after the protection dead time. The procedure developed works independently of zero voltage crossing, reducing significantly the reclosure dead time.","",,,,,,,14,,,,,,,,,,,,,,,,,,
"A invenção refere-se a um método para geração de geometrias não convencionais de feixes de subcondutores de linhas de transmissão capazes de aumentar a capacidade de transmissão de potência das linhas de transmissão aérea através do aumento da potência natural da linha.","",,,,,,,15,,,,,,,,,,,,,,,,,,
"proteção adaptativa para religamento monopolar de linha de transmissão longa com compensação reativa. 
Possível uso generalizado pelas transmissõas do SIN
resultado de pesquisa de doutorado da Dra. Patricia Mestas V.","",,,,,,,16,,,,,,,,,,,,,,,,,,
"INPI. Prot. Patent PI0804330-2 em 13 outubro 2008","",,,,,,,,0,,,,,,,,,,,,,,,,,
"depósito no PCT em 09/10/2009 no. PCT/BR2009/000347
referência ao depósito INPI 13 outubro 2008","",,,,,,,,1,,,,,,,,,,,,,,,,,
"M. C. Tavares, P. Mestas, África do Sul - Pedido de depósito fase nacional no. 2011/03530 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines" em 13/05/2011","",,,,,,,,2,,,,,,,,,,,,,,,,,
"M. C. Tavares, P. Mestas, Austrália - Pedido de depósito fase nacional no. 2009304528 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines" em 13/05/2011","",,,,,,,,3,,,,,,,,,,,,,,,,,
"M. C. Tavares, P. Mestas, Casaquistão - Pedido de depósito fase nacional no. 2011.1545.1 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines" em 13/05/2011.","",,,,,,,,4,,,,,,,,,,,,,,,,,
"M. C. Tavares, P. Mestas, Colômbia - Pedido de depósito fase nacional no. 11.058.805 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines" em 13/05/2011.","",,,,,,,,5,,,,,,,,,,,,,,,,,
"MC. Tavares, P. Mestas, Coréia - Pedido de depósito fase nacional no. 10-2011-7011022 no nome da UNICAMP "Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines" em 13/05/2011.","",,,,,,,,6,,,,,,,,,,,,,,,,,
